Supernova,Adopted r survey override,Reason
ASASSN-14jg,SkyMapper,Manual override after visual review round 2
ASASSN-14mg,PanSTARRS,Manual override after visual review round 2
ASASSN-15be,SkyMapper,Manual override after visual review round 2
CSP13aay,SkyMapper,Manual override after visual review round 2
LSQ13dsm,PanSTARRS,Manual override after visual review round 2
LSQ14foj,SkyMapper,Manual override after visual review round 2
LSQ14ghv,SkyMapper,Manual override after visual review round 2
LSQ15alq,PanSTARRS,Manual override after visual review round 2
PTF14gnl,PanSTARRS,Manual override after visual review round 2
SN1986G,SkyMapper,Manual override after visual review round 2
SN2018hnq,SkyMapper,Manual override after visual review round 2
