###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61083.199480  21.415  1.857    10   18 o  0   0.74 155.38292   8.40587  7220.36  5532.10 2.36 2.10 -60.5 -0.458 19.08 20.74 04a61083o0398o
61083.202214  19.977  0.432    37   16 o  0   1.37 155.38292   8.40587  7200.34  5493.78 2.27 2.06 -54.4 -0.473 19.13 20.75 04a61083o0404o
61083.205382 -20.255  0.531   -29   15 o  0   1.46 155.38292   8.40587  7260.83  5571.77 2.28 2.13 -48.2 -0.453 19.08 20.67 04a61083o0411o
61083.227383 -21.367  1.612   -10   17 o  0   1.46 155.38292   8.40587  7277.90  5457.15 2.43 2.24 -53.0 -0.444 19.06 20.60 04a61083o0458o
61087.003553 -22.290  2.364    -4   10 c  0   1.17 155.38292   8.40587  7229.41  6843.40 2.87 2.59 -53.2 -0.383 19.42 21.52 03a61087o0539c
61087.027229  21.899  1.697     6   11 c  0   1.23 155.38292   8.40587  7252.99  6882.20 2.84 2.50 -59.0 -0.380 19.45 21.47 03a61087o0590c
61087.031312 -20.119  0.329   -32   11 c  0   1.12 155.38292   8.40587  7197.36  6803.24 2.88 2.56 -57.5 -0.379 19.39 21.46 03a61087o0599c
61087.037643  21.076  0.855    14   12 c  0   0.85 155.38292   8.40587  7176.62  6919.29 2.84 2.55 -53.2 -0.378 19.42 21.47 03a61087o0613c
61088.492713 -22.653  2.600    -3    8 c  0   1.47 155.38292   8.40587  1279.71  3218.51 3.12 2.87  50.7 -0.323 19.66 21.62 01a61088o0616c
61088.495911  22.789  2.882     3    8 c  0   1.65 155.38292   8.40587  1300.68  3257.75 3.22 2.91  50.0 -0.316 19.66 21.62 01a61088o0623c
61088.503476  20.954  0.598    15    9 c  0   1.15 155.38292   8.40587  1238.71  3176.72 3.33 2.98  50.5 -0.317 19.60 21.60 01a61088o0639c
61088.537088  20.876  0.573    16    9 c  0   1.39 155.38292   8.40587  1218.19  3288.59 3.32 3.11  56.6 -0.319 19.57 21.57 01a61088o0708c
61089.242742  22.232  2.893     5   13 o  0   1.96 155.38292   8.40587  1371.37  3155.38 2.26 2.00  49.6 -0.411 19.17 20.69 04a61089o0308o
61089.277198 -25.797 101.000    -0   18 o  0   1.00 155.38292   8.40587  1391.94  3195.29 2.30 2.07  57.7 -0.408 19.10 20.62 04a61089o0382o
61089.280039  20.401  0.608    25   15 o  0   1.70 155.38292   8.40587  1329.33  3116.63 2.32 2.00  56.2 -0.412 19.09 20.59 04a61089o0388o
61089.284665  19.839  0.370    42   16 o  0   1.43 155.38292   8.40587  1311.93  3234.04 2.27 1.99  52.8 -0.406 19.12 20.61 04a61089o0398o
61089.974927 -22.646  2.895    -3    9 c  0   1.49 155.38292   8.40587  1406.41  6979.28 2.57 2.38 -70.0 -0.407 19.54 21.41 03a61090o0235c
61090.000638 -20.302  0.448   -28   12 c  0   0.72 155.38292   8.40587  1431.10  7016.57 2.53 2.32 -53.0 -0.411 19.53 21.33 03a61090o0290c
61090.004243  21.064  0.775    14   11 c  0   1.24 155.38292   8.40587  1376.97  6938.72 2.45 2.27 -49.3 -0.408 19.56 21.33 03a61090o0298c
61090.011499 -20.457  0.424   -24   10 c  0   1.30 155.38292   8.40587  1354.97  7054.33 2.48 2.30 -51.6 -0.411 19.55 21.32 03a61090o0314c
61092.402135  20.613  0.775    21   16 o  0   1.23 155.38292   8.40587   987.09  9505.97 3.12 2.02 -77.1 -0.439 19.20 20.85 02a61092o0334o
61092.406092  22.098  2.438     5   13 o  0   1.59 155.38292   8.40587  1004.99  9547.69 2.16 1.82 -46.4 -0.443 19.38 20.82 02a61092o0342o
61092.426888  20.083  0.403    34   14 o  0   1.32 155.38292   8.40587   939.75  9468.18 2.14 1.90 -52.3 -0.453 19.40 20.83 02a61092o0382o
61092.431413  21.382  1.274    10   13 o  0   1.69 155.38292   8.40587   915.11  9588.66 2.09 1.84 -51.1 -0.447 19.43 20.84 02a61092o0392o
61094.466959  22.571  2.762     3    9 c  0   1.04 155.38292   8.40587  9017.07  2811.35 3.06 2.91  28.0 -0.355 19.59 21.54 01a61094o0558c
61094.470627 -23.112  4.385    -2    9 c  0   1.17 155.38292   8.40587  9035.32  2848.89 2.99 2.89  22.6 -0.364 19.62 21.54 01a61094o0566c
61094.502655  20.813  0.574    17   10 c  0   0.85 155.38292   8.40587  8975.85  2768.63 2.99 2.89  26.2 -0.363 19.59 21.46 01a61094o0633c
61094.531027  21.188  0.829    12   10 c  0   0.99 155.38292   8.40587  8949.62  2883.65 3.14 3.00  31.0 -0.345 19.48 21.35 01a61094o0693c
61095.245708  21.045  1.565    14   22 o  0   1.03 155.38292   8.40587  9106.21  2775.11 2.28 1.93  81.5 -0.480 19.11 20.50 04a61095o0519o
61095.249357  20.239  0.645    29   19 o  0   1.70 155.38292   8.40587  9125.98  2814.03 2.34 2.01  78.4 -0.461 19.06 20.49 04a61095o0527o
61095.280809  20.698  1.289    19   25 o  0   0.64 155.38292   8.40587  9069.26  2738.66 2.33 1.95  79.1 -0.475 19.05 20.40 04a61095o0595o
61095.288428  21.991  4.200     6   24 o  0   1.03 155.38292   8.40587  9045.67  2855.03 2.23 1.90  87.3 -0.493 19.03 20.40 04a61095o0611o
61098.896766  20.626  1.293    20   26 o  0   0.86 155.38292   8.40587  1422.25  5705.43 2.28 2.01 -60.5 -0.421 18.78 19.28 03a61099o0329o
61098.916173  19.259  0.362    72   26 o  0   1.04 155.38292   8.40587  1411.83  5666.98 2.38 1.97 -58.8 -0.419 18.76 19.30 03a61099o0371o
61098.924305  19.913  0.517    39   20 o  0   1.68 155.38292   8.40587  1476.12  5744.03 2.38 1.98 -57.5 -0.425 18.73 19.30 03a61099o0389o
61098.936258 -21.908  3.792    -6   24 o  0   0.95 155.38292   8.40587  9054.99  4934.95 2.38 1.98 -57.9 -0.395 18.77 19.49 03a61099o0415o
61104.432114  19.641  0.465    50   24 o  0   1.38 155.38292   8.40587  7584.28  1159.89 2.08 1.76 -62.9 -0.483 18.52 19.08 02a61104o0473o
61104.435291  20.960  1.804    15   27 o  0   1.06 155.38292   8.40587  7564.95  1120.53 2.14 1.81 -62.2 -0.470 18.45 19.07 02a61104o0480o
61104.447927  21.209  2.313    12   28 o  0   0.85 155.38292   8.40587  7626.06  1197.89 2.09 1.76 -63.5 -0.477 18.51 19.09 02a61104o0506o
61104.463300  23.204 12.278     2   23 o  0   1.17 155.38292   8.40587  7646.82  1078.36 2.12 1.75 -62.4 -0.479 18.64 19.20 02a61104o0538o
61104.969589  20.040  0.842    35   30 o  0   0.99 155.38292   8.40587  2884.70  9351.23 2.65 2.26 -42.5 -0.383 18.59 19.04 03a61105o0503o
61104.972764 -20.086  0.859   -34   29 o  0   0.92 155.38292   8.40587  2904.39  9390.61 2.74 2.23 -42.3 -0.370 18.55 19.02 03a61105o0510o
61104.977783 -20.710  1.350   -19   26 o  0   1.15 155.38292   8.40587  2847.49  9311.23 2.62 2.19 -40.9 -0.374 18.60 19.02 03a61105o0521o
61104.991496  19.788  0.615    44   27 o  0   1.63 155.38292   8.40587  2826.25  9427.12 2.67 2.24 -43.4 -0.387 18.48 18.83 03a61105o0551o
61106.452521 -23.238 10.909    -2   20 o  0   0.85 155.38292   8.40587  7081.44  2920.47 3.15 2.64   6.5 -0.364 18.95 19.93 01a61106o0517o
61106.455759  22.086  3.000     5   16 o  0   1.54 155.38292   8.40587  7101.13  2959.00 3.17 2.68   5.2 -0.367 18.94 19.92 01a61106o0524o
61106.473866  19.731  0.331    46   15 o  0   1.48 155.38292   8.40587  7039.10  2880.11 2.51 2.41  42.0 -0.411 18.80 19.67 01a61106o0563o
61106.490781  20.741  2.056    18   38 o  0   0.98 155.38292   8.40587  7017.70  2995.83 2.52 2.42  51.0 -0.409 18.06 18.44 01a61106o0599o
61107.914779  21.293  1.527    11   17 o  0   1.14 155.38292   8.40587  5288.58  6896.15 2.93 2.60 -48.1 -0.385 19.03 20.37 03a61108o0387o
61107.921247  20.051  0.475    35   16 o  0   1.32 155.38292   8.40587  5308.86  6935.00 3.02 2.75 -48.6 -0.386 19.00 20.36 03a61108o0401o
61107.924428 -21.743  2.043    -7   15 o  0   1.17 155.38292   8.40587  5252.86  6855.19 2.59 2.32 -48.8 -0.388 19.14 20.37 03a61108o0408o
61107.937270 -20.118  0.427   -33   14 o  0   1.14 155.38292   8.40587  5234.67  6971.58 2.51 2.19 -48.0 -0.391 19.17 20.32 03a61108o0436o
61110.896885  22.259  2.452     4   11 o  0   1.04 155.38292   8.40587  9158.44  6793.42 2.48 2.12 -53.9 -0.400 19.39 20.79 03a61111o0354o
61110.899604  20.402  0.397    25   10 o  0   1.97 155.38292   8.40587  9179.16  6832.80 2.47 2.04 -58.2 -0.404 19.42 20.78 03a61111o0360o
61110.905067  20.304  0.503    27   14 o  0   0.98 155.38292   8.40587  9121.35  6754.30 2.59 2.10 -58.1 -0.395 19.36 20.76 03a61111o0372o
61110.916043  20.370  0.484    26   12 o  0   1.21 155.38292   8.40587  9104.29  6870.74 2.45 2.01 -57.8 -0.405 19.37 20.66 03a61111o0396o
