###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61084.437225 -18.106  0.099  -208   21 o  0   3.51 191.76117 -24.24481  9056.24  3247.32 2.34 1.99 -65.0 -0.421 19.12 20.22 02a61084o0478o
61084.443136 -19.162  0.221   -79   17 o  0   2.75 191.76117 -24.24481  9074.44  3285.85 2.41 2.03 -67.2 -0.422 19.13 20.30 02a61084o0491o
61084.450445 -17.842  0.058  -265   15 o  0   4.00 191.76117 -24.24481  9013.24  3205.82 2.29 1.95 -63.4 -0.425 19.20 20.39 02a61084o0507o
61084.465017 -19.473  0.239   -59   14 o  0   5.96 191.76117 -24.24481  8989.55  3323.37 2.24 1.94 -65.5 -0.426 19.27 20.44 02a61084o0538o
61086.245297  17.147  0.087   503   44 o  0   3.21 191.76117 -24.24481 10499.56  1467.63 2.75 2.14  78.3 -0.507 18.88 20.30 04a61086o0494o
61086.247574  19.787  0.413    44   18 o  0   5.31 191.76117 -24.24481   667.27  1515.15 2.30 1.97  45.3 -0.424 19.00 20.38 04a61086o0499o
61086.248025  17.627  0.090   323   29 o  0   3.30 191.76117 -24.24481 10479.21  1431.55 2.65 2.45 -42.3 -0.328 18.98 20.37 04a61086o0500o
61086.269548  19.361  0.313    65   20 o  0   6.62 191.76117 -24.24481   644.79  1477.64 2.09 1.89  40.1 -0.465 18.99 20.40 04a61086o0543o
61086.272410  21.501  2.364     9   22 o  0   5.74 191.76117 -24.24481   704.90  1558.51 2.12 1.91  47.9 -0.441 19.02 20.30 04a61086o0549o
61086.277629  18.550  0.142   138   20 o  0   4.52 191.76117 -24.24481   722.47  1441.61 2.19 1.86  51.2 -0.435 18.99 20.28 04a61086o0560o
61089.431644 -19.626  0.307   -51   16 o  0   2.85 191.76117 -24.24481  8554.90  5464.67 3.04 2.88 -73.0 -0.388 18.98 20.84 02a61089o0410o
61089.434849 -21.608  2.107    -8   17 o  0   2.80 191.76117 -24.24481  8572.66  5504.19 3.34 3.24 -37.4 -0.385 18.91 20.86 02a61089o0417o
61089.441263 -19.149  0.215   -80   17 o  0   1.97 191.76117 -24.24481  8513.02  5424.34 3.23 3.02 -35.6 -0.396 18.99 20.88 02a61089o0431o
