###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61102.379824  19.628  1.083    51   55 o  0   1.22 330.50771 -70.04061  2275.21  7932.48 2.63 2.20 -81.0 -0.351 17.76 18.40 04a61102o0802o
61102.382730  22.335 15.105     4   64 o  0   0.90 330.50771 -70.04061  2254.00  7892.23 2.62 2.19 -78.9 -0.366 17.83 18.43 04a61102o0808o
61102.389496 -19.559  0.747   -54   41 o  0   1.51 330.50771 -70.04061  2317.34  7975.89 2.45 2.02 -81.2 -0.367 17.93 18.51 04a61102o0822o
61102.396569  20.230  1.739    29   51 o  0   1.38 330.50771 -70.04061  2337.17  7857.36 2.55 2.14 -77.2 -0.402 17.93 18.54 04a61102o0836o
61102.404503 -18.137  0.282  -202   57 o  0   1.31 330.50771 -70.04061  2295.45  7917.81 2.41 2.04 -82.6 -0.391 17.83 18.49 04a61102o0852o
61103.386203  19.812  1.127    43   49 o  0   1.44 330.50771 -70.04061  2273.87  7931.31 2.40 2.00 -66.5 -0.423 17.95 18.69 04a61103o0814o
61103.391238  19.161  0.481    79   38 o  0   1.66 330.50771 -70.04061  2251.99  7891.56 2.41 1.95 -74.2 -0.395 18.09 18.71 04a61103o0824o
61103.395170  21.754  5.897     7   43 o  0   1.81 330.50771 -70.04061  2314.89  7975.51 2.38 1.92 -74.7 -0.405 18.05 18.64 04a61103o0832o
61103.409334 -19.318  1.808   -68  123 o  0   1.39 330.50771 -70.04061  2335.73  7861.55 2.35 2.00 -77.2 -0.446 16.85 16.76 04a61103o0861o
61109.386853  19.261  0.847    72   61 o  0   1.32 330.50771 -70.04061  1712.12  4119.33 2.18 1.92  54.3 -0.388 17.79 18.51 04a61109o0821o
61109.390876 -18.467  0.640  -149   95 o  0   1.07 330.50771 -70.04061  1693.42  4079.92 2.18 1.94  51.1 -0.388 17.21 17.84 04a61109o0829o
61109.396162 -19.286  0.591   -70   42 o  0   1.69 330.50771 -70.04061  1751.24  4162.88 2.18 1.97  55.1 -0.400 17.39 18.30 04a61109o0840o
61109.406127 -19.116  0.978   -82   80 o  0   1.40 330.50771 -70.04061  1770.09  4046.86 2.28 2.19 -78.6 -0.384 17.02 17.47 04a61109o0861o
61110.125938 -21.771  2.592    -7   18 o  0   3.08 330.50771 -70.04061  6740.86  4439.11 2.31 1.96 -52.6 -0.453 18.85 19.62 03a61110o0838o
61110.129706 -22.236  4.636    -5   22 o  0   1.65 330.50771 -70.04061  6722.31  4402.47 2.26 1.98 -52.7 -0.450 18.86 19.65 03a61110o0846o
61110.136767 -20.358  0.852   -26   22 o  0   1.74 330.50771 -70.04061  6780.61  4479.20 2.36 2.01 -52.2 -0.447 18.83 19.59 03a61110o0861o
61110.151064 -21.540  4.643    -9   41 o  0   1.67 330.50771 -70.04061  6801.28  4366.31 2.45 2.09 -53.5 -0.436 17.82 17.88 03a61110o0891o
61112.392776  19.628  0.655    51   34 o  0   2.00 330.50771 -70.04061  9266.82  9849.19 2.10 1.99 -31.0 -0.485 18.50 19.54 04a61112o0831o
61112.396454 -19.827  0.731   -43   31 o  0   2.92 330.50771 -70.04061  9244.50  9812.84 2.10 2.00 -17.3 -0.493 18.49 19.53 04a61112o0839o
61112.403130  22.617 12.875     3   42 o  0   1.24 330.50771 -70.04061  9311.48  9886.99 2.11 2.02 -26.1 -0.492 18.28 19.07 04a61112o0853o
61112.413103 -18.516  1.393  -142  198 o  0   0.85 330.50771 -70.04061  9331.82  9769.53 2.13 2.05  -2.1 -0.529 16.94 16.87 04a61112o0874o
