###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61084.144324  21.953  3.690     6   22 o  0   0.99 116.30992 -71.40390 10347.39  3393.11 2.26 2.12 -82.1 -0.448 19.16 20.78 04a61084o0276o
61084.147263 -21.146  1.377   -13   17 o  0   1.34 116.30992 -71.40390 10365.93  3435.02 2.27 2.15 -47.0 -0.428 19.16 20.79 04a61084o0282o
61084.152422 -21.619  2.486    -8   20 o  0   1.00 116.30992 -71.40390 10308.84  3349.27 2.36 2.08  84.1 -0.472 19.10 20.76 04a61084o0293o
61084.156612  20.712  0.964    19   18 o  0   0.63 116.30992 -71.40390  1077.67  3192.21 2.19 1.95  54.1 -0.434 19.14 20.81 04a61084o0302o
61084.159476 -20.126  0.608   -32   20 o  0   0.71 116.30992 -71.40390  1098.63  3228.36 2.21 2.00  63.3 -0.427 19.16 20.78 04a61084o0308o
61084.162255 -23.031  7.800    -2   17 o  0   1.41 116.30992 -71.40390 10287.68  3463.22 2.41 1.98  86.2 -0.483 19.11 20.76 04a61084o0314o
61084.164585  20.372  0.647    26   17 o  0   0.97 116.30992 -71.40390  1037.89  3155.92 2.20 1.94  51.6 -0.430 19.14 20.80 04a61084o0319o
61084.176102  21.352  1.542    10   16 o  0   1.02 116.30992 -71.40390  1016.16  3275.33 2.21 1.98  60.5 -0.427 19.17 20.82 04a61084o0344o
61084.397704  19.159  1.428    79  112 o  0   0.79 116.30992 -71.40390  1091.13  3255.89 2.38 2.08  45.8 -0.399 17.16 16.94 04a61084o0805o
61085.142216  21.475  1.886     9   18 o  0   1.31 116.30992 -71.40390 10351.86  3393.69 2.38 2.15 -28.3 -0.407 19.09 20.68 04a61085o0273o
61085.145911 -22.959  9.167    -2   22 o  0   1.14 116.30992 -71.40390 10372.42  3436.16 2.24 2.06  79.1 -0.457 19.09 20.67 04a61085o0281o
61085.151451 -19.654  0.404   -50   20 o  0   1.06 116.30992 -71.40390 10311.02  3349.54 2.28 2.09 -87.5 -0.462 19.07 20.69 04a61085o0293o
61085.158512  21.633  2.304     8   19 o  0   0.89 116.30992 -71.40390  1082.93  3192.63 2.27 1.99  55.2 -0.421 19.05 20.65 04a61085o0308o
61085.161337 -20.246  0.592   -29   17 o  0   0.91 116.30992 -71.40390  1103.64  3228.40 2.32 1.96  50.6 -0.404 19.08 20.64 04a61085o0314o
61085.161812 -20.279  0.842   -28   24 o  0   1.17 116.30992 -71.40390 10289.94  3463.29 2.45 2.00  84.9 -0.496 18.99 20.58 04a61085o0315o
61085.166893 -21.485  1.904    -9   18 o  0   1.01 116.30992 -71.40390  1042.74  3155.95 2.34 2.00  51.9 -0.408 19.07 20.60 04a61085o0326o
61085.179316  22.586  5.833     3   20 o  0   1.11 116.30992 -71.40390  1021.22  3274.50 2.31 2.05  58.7 -0.415 19.06 20.53 04a61085o0353o
