###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61087.103759  18.952  0.086    95    8 c  0  18.67 226.47717  12.74537  5359.18  2004.10 2.37 2.23 -45.8 -0.412 19.58 21.53 03a61087o0757c
61087.122159 -21.251  0.786   -12    9 c  0  13.10 226.47717  12.74537  5348.14  1964.89 2.30 2.13 -44.5 -0.410 19.58 21.42 03a61087o0797c
61087.126261  20.398  0.430    25   11 c  0   4.26 226.47717  12.74537  5408.37  2043.79 2.30 2.16 -44.1 -0.563 19.49 21.17 03a61087o0806c
61087.131246  21.886  2.217     6   14 c  0   3.73 226.47717  12.74537  5430.00  1927.70 2.32 2.16 -47.5 -0.409 19.22 20.50 03a61087o0817c
61088.601565 -19.851  0.162   -42    7 c  0   3.73 226.47717  12.74537  5088.88  5588.46 3.46 3.13  37.9 -0.311 19.62 21.81 01a61088o0845c
61088.603392 -20.340  0.285   -26    8 c  0   3.82 226.47717  12.74537  5068.78  5549.47 3.42 3.10  36.2 -0.314 19.66 21.81 01a61088o0849c
61088.606133  23.753  7.500     1    9 c  0   2.19 226.47717  12.74537  5125.54  5626.55 3.50 3.16  41.4 -0.306 19.58 21.81 01a61088o0855c
61088.614304  21.326  0.754    11    8 c  0   4.17 226.47717  12.74537  5148.25  5509.03 3.39 3.01  47.3 -0.308 19.67 21.80 01a61088o0872c
61089.359424 -20.953  1.025   -15   16 o  0  19.45 226.47717  12.74537  4941.93  5616.22 2.23 2.05 -52.5 -0.463 19.14 20.77 04a61089o0558o
61089.379928 -19.467  0.233   -59   14 o  0   7.48 226.47717  12.74537  4923.54  5579.34 2.46 2.13 -67.2 -0.444 19.15 20.83 04a61089o0601o
61089.384986 -20.642  0.872   -20   18 o  0   9.21 226.47717  12.74537  4981.09  5656.26 2.40 2.23 -45.9 -0.463 18.98 20.56 04a61089o0612o
61089.387239 -22.155  3.667    -5   18 o  0   4.60 226.47717  12.74537  5000.05  5540.43 2.39 2.07 -57.8 -0.434 19.02 20.48 04a61089o0617o
61090.095341 -19.775  0.257   -45   12 c  0   4.22 226.47717  12.74537  1066.78  1626.24 2.42 2.23 -50.1 -0.409 19.56 21.42 03a61090o0496c
61090.098514 -19.467  0.185   -59   11 c  0   5.44 226.47717  12.74537  1051.02  1587.36 2.38 2.21 -54.6 -0.410 19.58 21.42 03a61090o0503c
61090.120171 -19.919  0.282   -39   11 c  0   4.51 226.47717  12.74537  1117.74  1665.48 2.43 2.24 -52.3 -0.408 19.61 21.48 03a61090o0550c
61090.125682 -20.885  0.604   -16   10 c  0   6.80 226.47717  12.74537  1142.13  1548.64 2.38 2.18 -52.6 -0.421 19.58 21.35 03a61090o0562c
61094.586464  21.608  1.000     8    8 c  0   2.98 226.47717  12.74537  7341.46  5981.44 3.34 2.98  32.4 -0.293 19.63 21.68 01a61094o0809c
61094.589661  19.833  0.199    42    8 c  0   2.91 226.47717  12.74537  7321.31  5942.82 3.40 3.06  30.1 -0.285 19.57 21.66 01a61094o0816c
61094.592860 -21.988  1.118    -6    6 c  0   5.78 226.47717  12.74537  7378.06  6019.90 3.31 3.00  33.0 -0.295 19.63 21.64 01a61094o0823c
61094.598342 -19.882  0.218   -40    9 c  0   4.49 226.47717  12.74537  7398.09  5903.92 3.36 3.00  32.0 -0.286 19.62 21.67 01a61094o0835c
61095.353477 -19.640  0.448   -51   23 o  0   5.22 226.47717  12.74537  7201.45  5999.05 2.07 1.92 -55.9 -0.442 19.05 20.46 04a61095o0751o
61095.376503 -19.771  0.469   -45   21 o  0   5.60 226.47717  12.74537  7183.52  5962.61 2.06 1.93 -47.2 -0.449 19.03 20.46 04a61095o0800o
61095.386216  19.698  0.396    48   19 o  0   6.68 226.47717  12.74537  7241.88  6040.63 2.05 1.89 -53.0 -0.452 19.05 20.42 04a61095o0820o
61095.387619 -20.113  0.578   -33   19 o  0   6.46 226.47717  12.74537  7260.53  5924.53 2.18 2.02 -50.1 -0.443 18.95 20.40 04a61095o0823o
61099.056237 -20.428  0.478   -24   12 o  0  12.38 226.47717  12.74537  3468.45  3998.13 2.24 2.07 -63.9 -0.417 19.33 20.63 03a61099o0677o
61099.058989 -18.938  0.150   -96   14 o  0   6.73 226.47717  12.74537  3450.96  3959.52 2.22 2.02 -54.6 -0.418 19.33 20.63 03a61099o0683o
61099.065311 -20.223  0.410   -30   12 o  0  12.66 226.47717  12.74537  3512.07  4039.27 2.19 1.97 -54.9 -0.419 19.37 20.64 03a61099o0697o
61099.079870 -18.862  0.113  -104   12 o  0   9.64 226.47717  12.74537  3538.83  3923.57 2.34 2.22 -59.3 -0.414 19.31 20.69 03a61099o0729o
61101.286451 -18.810  0.384  -109   42 o  0   2.54 226.47717  12.74537  7420.03  9873.68 2.29 2.01 -35.4 -0.398 18.17 18.85 04a61101o0618o
61101.290532 -19.825  1.000   -43   43 o  0   2.55 226.47717  12.74537  7400.02  9835.07 2.38 2.11 -46.3 -0.392 18.18 18.87 04a61101o0627o
61101.298301  19.485  0.703    58   41 o  0   2.14 226.47717  12.74537  7460.47  9914.82 2.25 1.98 -45.0 -0.409 18.21 18.90 04a61101o0644o
61101.302889  20.569  2.216    22   48 o  0   2.33 226.47717  12.74537  7476.72  9798.49 2.17 1.95 -35.8 -0.408 18.22 18.91 04a61101o0654o
61102.003937 -19.061  0.412   -86   36 o  0   1.53 226.47717  12.74537  3068.29  5635.60 2.37 2.12 -53.6 -0.376 18.27 18.62 03a61102o0570o
61102.006678 -20.829  1.907   -17   32 o  0   3.01 226.47717  12.74537  3049.34  5596.48 2.27 2.04 -54.7 -0.385 18.33 18.64 03a61102o0576o
