###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61084.263793 -21.208  1.479   -12   18 o  0   0.87  43.49208 -21.64802  8561.97  2205.25 2.26 1.88 -62.1 -0.466 19.01 20.05 02a61084o0101o
61084.268875  21.116  1.569    13   20 o  0   0.75  43.49208 -21.64802  8542.60  2164.63 2.22 1.82 -61.4 -0.475 19.01 20.02 02a61084o0112o
61084.272083  19.624  0.365    51   19 o  0   0.90  43.49208 -21.64802  8601.74  2242.85 2.28 1.83 -60.8 -0.468 19.03 20.02 02a61084o0119o
61084.287190  20.830  1.023    17   17 o  0   1.16  43.49208 -21.64802  8624.72  2125.69 2.27 1.84 -59.6 -0.469 18.91 19.87 02a61084o0152o
61084.776791  23.951 15.800     1   15 c  0   0.88  43.49208 -21.64802  1922.57  8281.63 2.85 2.51 -43.1 -0.385 19.30 20.91 03a61085o0020c
61084.780447  22.277  2.864     4   13 c  0   1.08  43.49208 -21.64802  1941.20  8320.48 2.95 2.57 -37.1 -0.384 19.43 21.29 03a61085o0028c
61084.787240 -21.886  1.677    -6   11 c  0   1.17  43.49208 -21.64802  1886.85  8242.91 2.94 2.60 -42.0 -0.391 19.51 21.56 03a61085o0043c
61084.805537 -21.738  1.606    -7   12 c  0   1.00  43.49208 -21.64802  1866.32  8360.78 2.98 2.68 -36.0 -0.385 19.47 21.55 03a61085o0083c
61086.039170  19.522  0.299    56   17 o  0   1.19  43.49208 -21.64802  2271.27  3972.54 2.26 2.11  77.7 -0.401 18.96 20.29 04a61086o0056o
61086.042922 -21.088  1.507   -13   20 o  0   0.94  43.49208 -21.64802  2293.32  4011.86 2.22 2.11 -73.1 -0.424 18.88 20.16 04a61086o0064o
61086.047965 -21.643  2.000    -8   16 o  0   1.14  43.49208 -21.64802  2232.43  3934.56 2.29 2.14  72.4 -0.391 18.94 20.26 04a61086o0075o
61086.070649 -22.200  3.423    -5   16 o  0   1.68  43.49208 -21.64802  2211.94  4054.73 2.28 2.11  63.7 -0.387 18.86 20.11 04a61086o0123o
61089.244783  24.521 46.000     1   26 o  0   0.77  43.49208 -21.64802  5521.76 10170.64 3.26 3.08 -47.0 -0.424 18.73 20.37 02a61089o0080o
61089.249890  22.814  7.583     3   21 o  0   1.38  43.49208 -21.64802  5503.20 10130.82 3.02 2.68 -55.4 -0.415 18.89 20.36 02a61089o0091o
61089.259530 -25.132 81.000    -0   26 o  0   0.75  43.49208 -21.64802  5560.61 10208.66 3.52 3.32 -57.7 -0.397 18.58 20.35 02a61089o0112o
61089.262299 -19.835  0.571   -42   24 o  0   1.17  43.49208 -21.64802  5579.61 10091.86 3.28 3.13 -46.9 -0.410 18.67 20.34 02a61089o0118o
61090.254435  22.251  3.966     5   18 o  0   0.90  43.49208 -21.64802  4136.80  6271.70 2.54 2.19  39.3 -0.419 19.08 20.45 02a61090o0094o
61090.259076  22.519  4.304     4   15 o  0   1.29  43.49208 -21.64802  4119.42  6231.99 2.43 2.23  39.2 -0.421 19.05 20.43 02a61090o0104o
61090.266897  21.298  1.250    11   14 o  0   1.92  43.49208 -21.64802  4176.80  6309.59 2.43 2.19  39.8 -0.417 19.09 20.41 02a61090o0121o
61090.276482  20.928  1.088    16   17 o  0   0.95  43.49208 -21.64802  4200.71  6192.71 2.41 2.18  40.9 -0.415 19.07 20.41 02a61090o0142o
61092.041239 -21.733  2.714    -7   20 o  0   1.20  43.49208 -21.64802  6081.84  6750.57 2.34 2.14 -47.8 -0.413 18.88 20.33 04a61092o0010o
61096.248549 -19.939  0.521   -38   20 o  0   1.23  43.49208 -21.64802  6637.90  2312.61 2.12 1.89 -67.8 -0.439 18.73 19.48 02a61096o0071o
61096.251285  20.853  1.372    17   23 o  0   1.05  43.49208 -21.64802  6619.08  2275.50 2.07 1.89 -67.2 -0.434 18.81 19.51 02a61096o0077o
61096.257277  20.697  1.232    19   24 o  0   0.98  43.49208 -21.64802  6675.02  2350.99 2.06 1.90 -69.0 -0.431 18.79 19.47 02a61096o0090o
61096.269183  20.542  0.963    22   21 o  0   1.24  43.49208 -21.64802  6695.80  2233.39 2.11 1.85 -62.9 -0.434 18.70 19.39 02a61096o0116o
61096.795505 -22.602  4.900    -3   16 o  0   1.20  43.49208 -21.64802  3845.86  8219.14 2.65 2.22 -37.2 -0.372 18.95 19.97 03a61097o0105o
61096.808283  21.018  1.408    14   20 o  0   1.02  43.49208 -21.64802  3864.71  8256.51 2.93 2.44 -28.0 -0.356 18.81 19.91 03a61097o0132o
61096.811605  21.138  1.187    13   15 o  0   2.02  43.49208 -21.64802  3809.97  8178.50 2.66 2.25 -40.4 -0.366 18.89 19.88 03a61097o0139o
61096.817219  19.944  0.527    38   20 o  0   1.20  43.49208 -21.64802  3787.52  8294.76 2.77 2.34 -35.5 -0.368 18.81 19.84 03a61097o0151o
61098.021112  20.424  1.068    25   26 o  0   1.66  43.49208 -21.64802  2944.62  1933.88 2.25 2.15  30.3 -0.428 18.51 19.43 04a61098o0037o
61098.024397 -19.707  0.551   -48   26 o  0   1.18  43.49208 -21.64802  2963.83  1973.62 2.26 2.16  35.1 -0.421 18.57 19.52 04a61098o0044o
61098.029518 -20.672  1.274   -20   25 o  0   1.33  43.49208 -21.64802  2905.52  1895.41 2.33 2.10  34.6 -0.413 18.57 19.60 04a61098o0055o
61098.039322  19.358  0.365    66   24 o  0   1.09  43.49208 -21.64802  2882.95  2013.61 2.34 2.11  40.7 -0.402 18.54 19.57 04a61098o0076o
61099.224452  19.634  0.635    51   32 o  0   1.19  43.49208 -21.64802  2835.60  1965.69 3.25 2.75  48.4 -0.410 18.36 18.94 01a61099o0026o
61099.227650 -20.963  1.605   -15   24 o  0   1.25  43.49208 -21.64802  2854.22  2004.81 3.19 2.65  49.7 -0.401 18.56 19.10 01a61099o0033o
61099.234045 -20.830  1.639   -17   28 o  0   1.32  43.49208 -21.64802  2793.07  1928.05 3.44 3.04  51.4 -0.425 18.43 19.11 01a61099o0047o
61099.245017 -20.149  1.396   -32   44 o  0   0.90  43.49208 -21.64802  2765.60  2044.71 3.01 2.53  49.9 -0.426 18.10 18.46 01a61099o0071o
61102.771029 -20.976  2.214   -15   33 o  0   0.63  43.49208 -21.64802  7108.18   372.65 2.34 2.10 -55.1 -0.414 18.41 18.94 03a61103o0059o
