###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61083.239647 -21.481  1.958    -9   18 o  0   1.05 137.34954  -4.72527  3042.31 10126.27 2.70 1.92 -65.1 -0.420 19.10 20.67 04a61083o0484o
61083.267247 -23.768 14.667    -1   17 o  0   0.99 137.34954  -4.72527  3063.67 10167.34 2.64 1.85 -63.2 -0.432 19.07 20.50 04a61083o0543o
61083.274994 -21.536  2.289    -9   20 o  0   0.83 137.34954  -4.72527  3003.75 10088.80 2.85 1.91 -69.1 -0.394 19.01 20.49 04a61083o0560o
61083.288788  24.487 30.000     1   18 o  0   0.86 137.34954  -4.72527  2981.25 10208.56 2.68 1.93 -70.2 -0.417 19.01 20.43 04a61083o0590o
61086.949346  20.850  0.575    17   10 c  0   1.42 137.34954  -4.72527  3246.76  1687.02 2.92 2.77 -59.2 -0.380 19.54 21.92 03a61087o0420c
61086.952974 -22.312  2.250    -4   10 c  0   1.01 137.34954  -4.72527  3268.29  1725.98 2.73 2.55 -57.6 -0.384 19.62 21.90 03a61087o0428c
61086.988158 -20.988  0.560   -15    8 c  0   1.34 137.34954  -4.72527  3215.68  1641.90 2.61 2.53 -65.5 -0.388 19.61 21.81 03a61087o0505c
61086.993584  20.795  0.476    18    8 c  0   1.61 137.34954  -4.72527  3198.12  1760.39 2.59 2.43 -61.7 -0.395 19.63 21.79 03a61087o0517c
61088.436969  20.745  0.477    18    9 c  0   1.31 137.34954  -4.72527  1013.41  8340.69 3.12 2.91  72.6 -0.359 19.71 21.75 01a61088o0497c
61088.440623  21.664  1.149     8    9 c  0   1.08 137.34954  -4.72527  1030.04  8379.61 3.15 2.89  68.4 -0.355 19.72 21.75 01a61088o0505c
61088.445717 -25.781 55.000    -0   10 c  0   0.94 137.34954  -4.72527   971.91  8301.41 3.18 2.99  69.9 -0.358 19.67 21.74 01a61088o0516c
61088.480690 -22.023  1.677    -6    9 c  0   0.98 137.34954  -4.72527   945.47  8411.91 3.25 3.03  76.2 -0.351 19.64 21.68 01a61088o0591c
61089.183706 -21.079  1.026   -13   14 o  0   1.28 137.34954  -4.72527  1077.60  8275.89 2.53 1.97 -76.7 -0.389 19.22 20.84 04a61089o0180o
61089.186001 -20.486  0.577   -23   13 o  0   1.19 137.34954  -4.72527  1094.58  8313.84 2.56 1.99 -73.5 -0.387 19.18 20.87 04a61089o0185o
61089.191531 -20.952  0.940   -15   14 o  0   0.85 137.34954  -4.72527  1037.86  8237.29 2.54 2.02 -75.0 -0.388 19.19 20.84 04a61089o0197o
61089.225445 -22.635  5.824    -3   19 o  0   0.72 137.34954  -4.72527  1020.43  8354.29 2.70 1.99 -75.5 -0.381 19.17 20.81 04a61089o0270o
61089.912769  21.069  0.628    14    8 c  0   1.21 137.34954  -4.72527  7613.93  2090.02 2.53 2.14 -58.0 -0.413 19.74 21.87 03a61090o0099c
61089.917772 -21.651  1.121    -8    9 c  0   1.00 137.34954  -4.72527  7633.12  2130.93 2.44 2.10 -57.2 -0.418 19.77 21.87 03a61090o0110c
61089.924574  21.197  0.807    12   10 c  0   0.70 137.34954  -4.72527  7579.40  2050.83 2.47 2.10 -56.4 -0.411 19.78 21.84 03a61090o0125c
61089.935915 -21.600  1.000    -8    8 c  0   1.44 137.34954  -4.72527  7563.32  2167.56 2.58 2.17 -55.7 -0.408 19.71 21.81 03a61090o0150c
61092.902767  20.828  0.613    17   10 c  0   0.99 137.34954  -4.72527  7171.28  4500.97 2.58 2.28 -59.3 -0.403 19.68 21.93 03a61093o0247c
61092.905482  23.129  4.333     2    9 c  0   1.41 137.34954  -4.72527  7191.82  4540.69 2.66 2.34 -53.9 -0.398 19.65 21.92 03a61093o0253c
61092.910482 -22.196  1.517    -5    7 c  0   2.27 137.34954  -4.72527  7137.87  4461.82 2.64 2.30 -54.9 -0.400 19.67 21.91 03a61093o0264c
61092.945021 -21.742  1.000    -7    7 c  0   1.97 137.34954  -4.72527  7122.04  4574.92 2.60 2.29 -57.0 -0.405 19.64 21.82 03a61093o0339c
61094.387702  22.592  3.440     3   12 o  0   1.51 137.34954  -4.72527  8765.05  7940.62 2.53 2.44 -59.3 -0.445 19.52 20.66 01a61094o0393o
61094.390901 -22.413  3.207    -4   13 o  0   1.13 137.34954  -4.72527  8783.14  7977.33 2.52 2.49 -64.5 -0.443 19.51 20.67 01a61094o0400o
61094.393707  21.007  0.844    14   12 o  0   1.25 137.34954  -4.72527  8725.28  7899.73 2.47 2.45 -12.0 -0.448 19.52 20.70 01a61094o0406o
61094.400213 -20.710  0.650   -19   12 o  0   1.02 137.34954  -4.72527  8708.74  8015.23 2.54 2.50 -70.7 -0.445 19.51 20.73 01a61094o0420o
61095.145890  20.817  1.150    17   20 o  0   1.15 137.34954  -4.72527  8823.30  7890.61 2.31 2.05 -69.7 -0.483 19.18 20.81 04a61095o0304o
61095.150903 -19.807  0.392   -43   17 o  0   2.04 137.34954  -4.72527  8840.94  7930.40 2.26 2.03 -71.9 -0.428 19.17 20.78 04a61095o0315o
61095.160609 -20.642  1.153   -20   23 o  0   1.01 137.34954  -4.72527  8782.14  7851.30 2.20 1.97 -73.3 -0.439 19.17 20.75 04a61095o0336o
61095.163330 -21.358  1.831   -10   19 o  0   1.03 137.34954  -4.72527  8764.56  7968.41 2.03 1.93 -41.7 -0.441 19.21 20.80 04a61095o0342o
