###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61084.254065  20.516  0.764    23   17 o  0   0.98 209.01746 -43.58608  3715.15   391.23 2.19 1.98  47.7 -0.464 19.19 20.86 04a61084o0509o
61084.257221 -20.114  0.570   -33   19 o  0   1.03 209.01746 -43.58608  3696.19   352.71 2.12 1.97  50.4 -0.461 19.20 20.84 04a61084o0515o
61084.284876  20.557  0.930    22   20 o  0   0.94 209.01746 -43.58608  3753.49   438.22 2.22 2.08  46.3 -0.471 19.16 20.83 04a61084o0569o
61084.298400 -22.905  7.769    -2   19 o  0   0.84 209.01746 -43.58608  3772.22   325.32 2.31 2.10  39.4 -0.438 19.15 20.76 04a61084o0597o
61084.310976  22.249  6.900     5   32 o  0   1.18 209.01746 -43.58608  6977.39 10507.55 2.65 1.96 -71.0 -0.442 19.10 20.84 04a61084o0624o
61085.283137   0.000 21.028     0   14 o  0   1.56 209.01746 -43.58608  3723.22   396.90 2.17 1.96  49.3 -0.449 19.15 20.68 04a61085o0568o
61085.300499  21.859  2.829     7   18 o  0   0.71 209.01746 -43.58608  3703.27   360.75 2.15 1.90  48.2 -0.453 19.22 20.79 04a61085o0605o
61085.303888  21.390  1.617    10   16 o  0   1.09 209.01746 -43.58608  3760.64   440.59 2.15 1.95  50.2 -0.459 19.18 20.74 04a61085o0612o
61085.311345 -21.995  3.242    -6   19 o  0   1.09 209.01746 -43.58608  3779.16   321.82 2.18 1.99  51.1 -0.459 19.16 20.80 04a61085o0627o
61085.321804 -21.051  3.215   -14   44 o  0   0.63 209.01746 -43.58608  6982.11 10504.30 2.23 1.91 -58.2 -0.522 19.08 20.67 04a61085o0649o
61087.296781  20.987  1.143    15   17 o  0   0.83 209.01746 -43.58608  4957.95  4774.99 2.17 1.99 -70.0 -0.450 19.22 20.82 04a61087o0602o
61087.300141 -21.030  1.084   -14   15 o  0   0.81 209.01746 -43.58608  4937.33  4736.38 2.13 1.99 -63.6 -0.468 19.19 20.83 04a61087o0609o
61087.310157  20.680  0.878    19   17 o  0   0.83 209.01746 -43.58608  4990.17  4819.57 2.15 2.08 -62.9 -0.460 19.20 20.83 04a61087o0630o
