###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61083.034316  20.918  1.476    16   23 o  0   1.91  62.02971  -8.82700  7037.70  7897.15 2.27 2.03 -57.8 -0.424 19.06 20.57 04a61083o0041o
61083.037105  21.039  1.173    14   16 o  0   5.00  62.02971  -8.82700  7057.91  7935.69 2.16 1.95 -52.7 -0.436 19.09 20.57 04a61083o0047o
61083.044001  21.191  1.373    12   17 o  0   3.53  62.02971  -8.82700  6996.79  7857.16 2.12 1.96 -42.1 -0.446 19.13 20.66 04a61083o0062o
61083.069326  19.526  0.257    56   14 o  0   4.72  62.02971  -8.82700  6979.09  7975.85 2.13 1.97 -47.3 -0.438 19.10 20.68 04a61083o0117o
61086.770760  19.945  0.456    38   17 c  0   2.06  62.02971  -8.82700   740.18  9581.03 2.96 2.65 -39.3 -0.396 19.04 20.33 03a61087o0027c
61086.773925  20.709  0.895    19   17 c  0   1.35  62.02971  -8.82700   760.28  9620.29 3.05 2.71 -40.0 -0.389 19.27 20.87 03a61087o0034c
61086.781604  20.687  0.734    19   14 c  0   1.35  62.02971  -8.82700   707.51  9540.74 2.92 2.62 -38.4 -0.397 19.52 21.53 03a61087o0051c
61086.795198  20.614  0.583    21   12 c  0   1.90  62.02971  -8.82700   686.14  9657.40 2.97 2.63 -42.5 -0.405 19.53 21.68 03a61087o0081c
61088.233692  22.252  2.214     5   10 c  0   2.07  62.02971  -8.82700  5008.93  6085.85 3.11 2.83  43.0 -0.353 19.54 21.30 01a61088o0059c
61088.236889  21.726  1.413     7   10 c  0   1.24  62.02971  -8.82700  5028.95  6124.24 3.08 2.80  46.0 -0.360 19.57 21.31 01a61088o0066c
61088.242372  22.116  2.364     5   12 c  0   1.10  62.02971  -8.82700  4969.91  6046.44 3.00 2.78  47.3 -0.367 19.59 21.35 01a61088o0078c
61088.255194  21.360  0.951    10   10 c  0   1.93  62.02971  -8.82700  4945.79  6160.34 3.11 2.96  49.8 -0.356 19.58 21.43 01a61088o0106c
