###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61083.361374 -21.428  2.146   -10   21 o  0   1.20 226.12488   2.33090  7331.91  3927.66 2.26 2.12 -68.6 -0.447 18.93 20.27 04a61083o0746o
61083.363194  20.553  0.748    22   16 o  0   1.11 226.12488   2.33090  7311.08  3889.56 2.25 2.09 -44.9 -0.454 19.01 20.31 04a61083o0750o
61083.374010  21.468  2.094     9   20 o  0   0.91 226.12488   2.33090  7370.48  3968.25 2.15 2.01 -72.7 -0.431 18.97 20.23 04a61083o0773o
61083.379033  20.546  0.820    22   18 o  0   1.13 226.12488   2.33090  7390.78  3852.51 2.16 2.04 -83.7 -0.421 18.97 20.20 04a61083o0784o
61084.491479 -21.320  1.386   -11   15 o  0   1.23 226.12488   2.33090  6879.66  2580.17 2.38 2.23  24.6 -0.412 19.05 20.36 02a61084o0595o
61084.492845 -20.835  0.803   -17   14 o  0   1.33 226.12488   2.33090  6899.45  2618.05 2.12 1.98  34.6 -0.422 19.19 20.37 02a61084o0598o
61084.518875 -23.194  7.583    -2   14 o  0   1.27 226.12488   2.33090  6835.91  2539.44 2.44 2.33  25.8 -0.417 19.14 20.51 02a61084o0654o
61084.534506  22.496  4.478     4   16 o  0   1.11 226.12488   2.33090  6810.59  2655.82 2.46 2.32  11.1 -0.419 19.15 20.62 02a61084o0688o
61087.101504  23.460  5.727     2    9 c  0   1.69 226.12488   2.33090  3439.18  2127.92 2.30 2.17 -51.5 -0.411 19.67 21.58 03a61087o0752c
61087.103308 -20.303  0.305   -28    8 c  0   1.57 226.12488   2.33090  3423.32  2089.23 2.32 2.18 -52.7 -0.409 19.66 21.57 03a61087o0756c
61087.121707  21.058  0.698    14   10 c  0   1.67 226.12488   2.33090  3488.51  2167.45 2.25 2.14 -45.2 -0.409 19.65 21.48 03a61087o0796c
61087.128078 -23.473  6.818    -2   10 c  0   1.55 226.12488   2.33090  3511.51  2051.09 2.31 2.18 -52.3 -0.405 19.47 21.07 03a61087o0810c
61088.602021  21.381  0.944    10   10 c  0   1.18 226.12488   2.33090  9453.85  5759.07 3.34 3.14  28.4 -0.346 19.58 21.67 01a61088o0846c
61088.605219 -20.994  0.557   -14    8 c  0   1.74 226.12488   2.33090  9433.80  5720.13 3.29 3.07  20.2 -0.353 19.63 21.67 01a61088o0853c
61088.607960  20.350  0.352    26    9 c  0   1.53 226.12488   2.33090  9493.42  5799.18 3.53 3.28  22.1 -0.334 19.53 21.67 01a61088o0859c
61088.614760  22.261  2.048     4    9 c  0   1.68 226.12488   2.33090  9515.13  5678.94 3.53 3.34  34.1 -0.359 19.54 21.67 01a61088o0873c
61089.324918  20.805  1.151    17   20 o  0   1.27 226.12488   2.33090  9298.89  5761.18 2.19 2.12 -82.7 -0.432 19.11 20.71 04a61089o0484o
61089.350195  21.689  2.077     8   16 o  0   1.07 226.12488   2.33090  9280.97  5726.42 2.44 2.26 -16.2 -0.407 19.16 20.83 04a61089o0538o
61089.354860  20.843  1.155    17   19 o  0   1.52 226.12488   2.33090  9339.19  5804.58 2.33 2.22 -17.8 -0.445 19.12 20.78 04a61089o0548o
61089.370102  20.285  0.696    28   19 o  0   1.45 226.12488   2.33090  9359.22  5689.84 2.19 1.95 -89.2 -0.473 19.14 20.80 04a61089o0581o
61090.097603  21.209  0.632    12    8 c  0   2.41 226.12488   2.33090  9261.84  1948.83 2.35 2.14 -46.6 -0.411 19.64 21.46 03a61090o0501c
61090.101245  20.893  0.748    16   12 c  0   1.15 226.12488   2.33090  9243.61  1909.97 2.38 2.15 -51.6 -0.413 19.62 21.46 03a61090o0509c
61090.116036 -21.932  1.533    -6    9 c  0   1.90 226.12488   2.33090  9306.55  1990.30 2.35 2.09 -51.4 -0.412 19.65 21.52 03a61090o0541c
61090.124741 -20.520  0.459   -22   10 c  0   1.22 226.12488   2.33090  9334.29  1874.18 2.43 2.16 -45.5 -0.410 19.61 21.44 03a61090o0560c
61094.585092  22.753  3.062     3    9 c  0   1.68 226.12488   2.33090  1700.63  6143.88 3.35 3.03  41.0 -0.320 19.58 21.55 01a61094o0806c
61094.586921 -22.251  2.308    -5   10 c  0   0.94 226.12488   2.33090  1679.38  6103.81 3.32 2.98  41.4 -0.323 19.58 21.55 01a61094o0810c
61094.590118 -21.453  1.059   -10   10 c  0   1.04 226.12488   2.33090  1737.98  6181.48 3.44 3.08  35.6 -0.314 19.55 21.54 01a61094o0817c
61094.595601  21.045  0.662    14    9 c  0   1.83 226.12488   2.33090  1759.63  6067.09 3.31 2.97  45.7 -0.318 19.58 21.55 01a61094o0829c
61095.352086  20.299  0.547    28   15 o  0   1.72 226.12488   2.33090  1559.71  6185.48 2.25 1.95 -76.4 -0.423 19.07 20.51 04a61095o0748o
61095.374680  23.469 10.875     2   16 o  0   1.29 226.12488   2.33090  1540.44  6148.97 2.20 1.95 -71.3 -0.440 19.08 20.52 04a61095o0796o
61095.376052  21.055  1.065    14   15 o  0   1.40 226.12488   2.33090  1598.45  6225.63 2.20 1.93 -73.4 -0.431 19.08 20.53 04a61095o0799o
61099.054431 -22.507  3.185    -4   12 o  0   1.69 226.12488   2.33090  1554.32  4120.06 2.30 2.07 -66.3 -0.413 19.41 20.74 03a61099o0673o
61099.057142 -22.051  2.357    -6   13 o  0   0.92 226.12488   2.33090  1538.43  4081.17 2.26 2.06 -62.8 -0.416 19.43 20.76 03a61099o0679o
61099.063057 -23.034  5.889    -2   13 o  0   1.29 226.12488   2.33090  1597.94  4161.36 2.19 1.99 -66.4 -0.421 19.43 20.76 03a61099o0692o
61099.078969  21.351  1.000    10   10 o  0   1.32 226.12488   2.33090  1624.49  4046.27 2.28 2.09 -63.8 -0.417 19.40 20.76 03a61099o0727o
61101.271371  20.033  1.294    35   46 o  0   0.98 226.12488   2.33090  8165.47 10035.08 2.27 2.13 -42.5 -0.417 18.22 18.97 04a61101o0585o
61101.284621 -19.977  1.146   -37   42 o  0   1.27 226.12488   2.33090  8144.27  9998.14 2.22 1.95 -28.2 -0.463 18.19 18.98 04a61101o0614o
61101.287360  21.846  5.314     7   35 o  0   1.44 226.12488   2.33090  8203.76 10076.80 2.16 1.99 -32.3 -0.457 18.27 19.04 04a61101o0620o
61101.292386 -20.288  1.662   -28   46 o  0   1.00 226.12488   2.33090  8222.97  9960.46 2.09 1.89 -36.3 -0.505 18.28 19.02 04a61101o0631o
61102.004387 -20.945  1.850   -15   28 o  0   1.26 226.12488   2.33090  7403.19  5881.42 2.24 2.00 -54.2 -0.451 18.43 18.81 03a61102o0571o
61102.007129  22.136  6.289     5   32 o  0   1.17 226.12488   2.33090  7383.64  5842.68 2.26 2.01 -54.0 -0.440 18.46 18.81 03a61102o0577o
61102.012184 -20.389  1.113   -25   28 o  0   1.30 226.12488   2.33090  7441.23  5920.06 2.30 2.03 -51.3 -0.435 18.47 18.87 03a61102o0588o
61102.021702 -19.539  0.510   -56   28 o  0   1.17 226.12488   2.33090  7464.80  5804.67 2.35 2.11 -51.8 -0.432 18.46 18.93 03a61102o0609o
61105.000312 -19.207  0.411   -75   31 o  0   1.69 226.12488   2.33090  3675.83  9678.35 2.57 2.28 -47.1 -0.370 18.31 18.55 03a61105o0570o
61105.005298  21.009  2.345    14   34 o  0   1.10 226.12488   2.33090  3656.30  9637.69 2.56 2.25 -52.0 -0.379 18.42 18.68 03a61105o0581o
61105.008015  21.890  5.306     6   34 o  0   1.62 226.12488   2.33090  3712.33  9717.41 2.68 2.33 -44.1 -0.368 18.33 18.56 03a61105o0587o
61105.020668 -20.209  1.043   -30   31 o  0   1.30 226.12488   2.33090  3736.08  9599.65 2.59 2.21 -47.4 -0.375 18.48 18.72 03a61105o0615o
61108.053291 -22.522  5.154    -4   18 o  0   1.71 226.12488   2.33090  5378.82  2075.62 2.27 2.16 -53.9 -0.427 18.83 19.43 03a61108o0689o
61108.056015  20.796  1.223    17   21 o  0   1.00 226.12488   2.33090  5362.72  2034.76 2.32 2.23 -50.7 -0.431 18.80 19.42 03a61108o0695o
61108.066089  19.921  0.484    39   19 o  0   1.44 226.12488   2.33090  5424.07  2114.94 2.16 2.03 -53.4 -0.435 18.86 19.46 03a61108o0717o
61108.071051  21.220  1.727    12   20 o  0   1.00 226.12488   2.33090  5446.48  1998.22 2.25 2.17 -42.3 -0.423 18.82 19.46 03a61108o0728o
61111.062361 -20.009  0.493   -36   18 o  0   0.84 226.12488   2.33090  1501.21  2174.86 2.31 2.05 -51.6 -0.408 19.21 20.24 03a61111o0714o
61111.066433  20.443  0.718    24   17 o  0   0.68 226.12488   2.33090  1481.20  2137.10 2.43 2.06 -59.8 -0.401 19.18 20.23 03a61111o0723o
61111.071407  20.958  1.060    15   16 o  0   1.06 226.12488   2.33090  1541.31  2215.66 2.30 2.02 -45.8 -0.412 19.21 20.23 03a61111o0734o
61111.085841 -20.465  0.746   -24   18 o  0   0.93 226.12488   2.33090  1572.91  2098.42 2.36 2.05 -49.6 -0.410 19.16 20.16 03a61111o0765o
