###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61084.033241 -22.004  2.677    -6   15 o  0   1.20  35.06042 -40.88475  5976.01  4907.98 2.24 2.05 -40.0 -0.464 19.00 20.50 04a61084o0039o
61084.035976  20.253  0.510    29   15 o  0   1.35  35.06042 -40.88475  5995.78  4947.24 2.24 2.06 -45.0 -0.461 19.05 20.65 04a61084o0045o
61084.045900 -21.908  2.485    -6   16 o  0   0.98  35.06042 -40.88475  5938.53  4871.28 2.35 2.10 -48.3 -0.441 19.07 20.70 04a61084o0066o
61084.068022  20.969  1.098    15   16 o  0   1.35  35.06042 -40.88475  5921.46  4991.01 2.08 1.98 -43.8 -0.486 19.11 20.59 04a61084o0113o
61085.032476 -19.906  0.432   -40   17 o  0   1.42  35.06042 -40.88475  5980.04  4909.67 2.26 2.08 -39.0 -0.456 18.96 20.41 04a61085o0039o
61085.035213 -19.903  0.488   -40   19 o  0   0.73  35.06042 -40.88475  6000.06  4948.74 2.28 2.09 -31.0 -0.462 18.97 20.52 04a61085o0045o
61085.045015 -20.831  0.809   -17   14 o  0   1.97  35.06042 -40.88475  5943.35  4872.62 2.24 2.03 -46.1 -0.451 19.07 20.57 04a61085o0066o
61085.056410  24.211 20.500     1   15 o  0   2.01  35.06042 -40.88475  5924.86  4990.42 2.23 2.03 -26.0 -0.459 19.04 20.53 04a61085o0090o
61088.024967  21.058  1.394    14   19 o  0   1.61  35.06042 -40.88475   352.63  7216.47 2.59 2.19  88.9 -0.376 18.81 20.08 04a61088o0027o
61088.028763  19.801  0.469    44   20 o  0   0.93  35.06042 -40.88475   372.57  7256.05 2.63 2.12  89.5 -0.384 18.98 20.45 04a61088o0035o
61088.034054 -19.812  0.379   -43   16 o  0   1.11  35.06042 -40.88475   314.84  7181.84 2.70 2.16  85.7 -0.378 19.10 20.72 04a61088o0046o
61088.056280 -20.309  0.606   -27   17 o  0   1.02  35.06042 -40.88475   297.69  7304.56 2.72 2.22  84.2 -0.371 19.11 20.75 04a61088o0092o
61091.015279 -18.900  0.665  -100   66 o  0   1.22  35.06042 -40.88475  8527.11   871.49 2.66 2.33 -41.5 -0.405 17.78 18.14 04a61091o0012o
61091.018026  18.962  0.486    94   46 o  0   1.54  35.06042 -40.88475  8546.30   910.69 2.68 2.33 -42.1 -0.390 18.13 18.83 04a61091o0018o
61091.023579 -21.442  2.146   -10   21 o  0   1.73  35.06042 -40.88475  8483.59   831.12 2.53 2.25 -48.9 -0.429 18.64 19.91 04a61091o0030o
61091.033481 -20.288  0.584   -28   16 o  0   1.45  35.06042 -40.88475  8463.55   951.30 2.52 2.26 -43.7 -0.424 19.00 20.50 04a61091o0051o
61091.795237 -23.688  6.875    -1    8 c  0   1.47  35.06042 -40.88475  8938.73  3527.12 2.52 2.11 -61.7 -0.402 19.60 21.57 03a61092o0024c
61093.028215  20.942  1.443    15   22 o  0   1.35  35.06042 -40.88475  9033.27  3321.80 2.36 2.15 -45.3 -0.429 18.78 20.07 04a61093o0043o
61093.054187  21.104  1.833    13   24 o  0   0.69  35.06042 -40.88475  9053.56  3365.22 2.35 2.08 -32.2 -0.447 18.87 20.31 04a61093o0098o
61093.057519  22.269  4.364     4   20 o  0   1.20  35.06042 -40.88475  8995.78  3286.21 2.33 2.09 -35.5 -0.447 18.86 20.31 04a61093o0105o
61093.078910  20.150  0.671    32   21 o  0   1.13  35.06042 -40.88475  8974.77  3404.96 2.13 1.97 -53.9 -0.449 18.92 20.32 04a61093o0146o
61100.046273  20.561  1.514    22   33 o  0   1.00  35.06042 -40.88475  6967.15  2898.07 2.31 2.11 -33.1 -0.445 18.28 19.20 04a61100o0093o
61100.049083  19.791  0.714    44   31 o  0   1.59  35.06042 -40.88475  6985.67  2937.27 2.27 2.09 -31.9 -0.460 18.28 19.16 04a61100o0099o
61100.075338  19.353  0.512    66   34 o  0   1.42  35.06042 -40.88475  6926.51  2863.20 2.30 2.13 -27.8 -0.462 18.12 18.94 04a61100o0155o
61100.090473 -20.803  2.312   -17   40 o  0   1.20  35.06042 -40.88475  6907.35  2981.53 2.30 2.13 -28.8 -0.454 18.03 18.80 04a61100o0187o
61100.755195 -15.770  0.283 -1786  506 o  0   0.86  35.06042 -40.88475  6951.95  2972.07 2.81 2.55 -19.6 -0.417 15.92 16.27 03a61101o0002o
61100.757912 -18.306  0.584  -173  101 o  0   0.81  35.06042 -40.88475  6969.61  3010.92 3.35 2.57  -1.7 -0.378 17.44 18.10 03a61101o0008o
61100.762996 -17.369  0.917  -410  376 o  0   0.79  35.06042 -40.88475  6913.01  2933.32 3.25 2.77 -15.2 -0.353 16.15 17.18 03a61101o0019o
61100.774229 -18.393  0.216  -160   34 o  0   1.19  35.06042 -40.88475  6891.99  3049.44 3.24 3.01 -38.5 -0.393 18.11 19.06 03a61101o0043o
61103.007352  20.570  3.253    22   70 o  0   1.14  35.06042 -40.88475  2343.58  7065.55 2.48 2.18 -65.4 -0.405 17.62 17.96 04a61103o0016o
61103.010093 -20.676  2.738   -20   53 o  0   1.12  35.06042 -40.88475  2361.87  7104.27 2.36 2.10 -58.6 -0.427 17.88 18.38 04a61103o0022o
61103.017063  19.905  0.956    40   38 o  0   1.30  35.06042 -40.88475  2305.07  7029.15 2.41 2.16 -61.7 -0.414 18.14 18.84 04a61103o0037o
61103.026902 -25.570 174.000    -0   37 o  0   1.65  35.06042 -40.88475  2284.68  7146.91 2.38 2.12 -70.3 -0.420 18.13 18.90 04a61103o0058o
61103.802004  18.694  0.269   121   32 o  0   0.93  35.06042 -40.88475  1037.32  3159.76 2.56 2.34 -65.0 -0.366 18.38 18.92 03a61104o0130o
61103.804917 -19.913  0.796   -39   31 o  0   1.42  35.06042 -40.88475  1055.63  3199.13 2.55 2.33 -66.3 -0.372 18.38 18.89 03a61104o0136o
61103.815762 -20.067  0.959   -34   33 o  0   1.37  35.06042 -40.88475   996.78  3122.84 2.56 2.31 -72.4 -0.369 18.33 18.76 03a61104o0159o
61103.836401  19.865  1.052    41   43 o  0   1.26  35.06042 -40.88475   974.47  3243.76 2.66 2.52 -61.1 -0.376 18.13 18.56 03a61104o0199o
61106.016295  21.576  2.872     8   24 o  0   1.06  35.06042 -40.88475  6163.86  6850.38 2.22 2.06 -30.5 -0.482 18.69 19.98 04a61106o0041o
61106.042692 -22.928 11.273    -2   28 o  0   1.32  35.06042 -40.88475  6183.92  6894.77 2.32 2.14 -35.0 -0.423 18.47 19.67 04a61106o0097o
61106.056314  19.526  0.479    56   27 o  0   2.21  35.06042 -40.88475  6126.47  6819.95 2.38 2.18 -33.2 -0.407 18.28 19.36 04a61106o0126o
61106.067222  19.713  0.838    47   40 o  0   1.12  35.06042 -40.88475  6106.69  6936.58 2.37 2.17 -24.5 -0.406 18.14 19.18 04a61106o0149o
61109.020466  19.950  0.424    38   16 c  0   1.27  35.06042 -40.88475  2393.10   666.47 2.87 2.17  38.0 -0.380 18.95 20.82 04a61109o0055c
61109.023771 -19.919  0.401   -39   16 c  0   1.52  35.06042 -40.88475  2413.14   706.28 2.84 2.15  38.7 -0.389 18.97 20.84 04a61109o0062c
61109.030683 -21.736  2.400    -7   18 c  0   1.20  35.06042 -40.88475  2350.01   630.44 2.90 2.10  39.1 -0.378 19.00 20.80 04a61109o0077c
61109.045798 -22.509  6.000    -4   22 c  0   0.96  35.06042 -40.88475  2329.65   751.92 3.00 2.12  40.2 -0.372 18.90 20.73 04a61109o0109c
61112.023077 -20.634  0.792   -20   16 c  0   1.05  35.06042 -40.88475  4108.86  5018.31 2.36 2.22 -80.7 -0.370 18.92 20.65 04a61112o0066c
61112.025867  19.911  0.414    39   16 c  0   1.10  35.06042 -40.88475  4128.32  5058.05 2.36 2.23 -78.4 -0.367 18.92 20.64 04a61112o0072c
61112.051631 -22.418  4.467    -4   18 c  0   1.34  35.06042 -40.88475  4069.91  4987.31 2.46 2.38 -69.4 -0.371 18.75 20.40 04a61112o0126c
