###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61084.422814  20.323  0.635    27   17 o  0   1.01 140.86675 -23.16965   457.19  9387.51 2.28 1.99 -47.5 -0.485 19.22 20.62 02a61084o0447o
61084.457939  21.260  1.286    11   15 o  0   0.87 140.86675 -23.16965   429.33  9346.43 2.24 1.95 -53.0 -0.479 19.31 20.76 02a61084o0523o
61084.460756  21.827  2.816     7   19 o  0   0.89 140.86675 -23.16965   490.66  9427.90 2.19 1.97 -48.8 -0.491 19.30 20.76 02a61084o0529o
61084.482173 -21.260  1.544   -11   18 o  0   0.76 140.86675 -23.16965   512.27  9312.25 2.29 2.05 -51.3 -0.472 19.26 20.70 02a61084o0575o
61086.187726  20.925  1.061    16   16 o  0   1.63 140.86675 -23.16965  8019.03  6917.06 2.26 2.06 -35.6 -0.460 19.09 20.55 04a61086o0375o
61086.190044  21.729  2.306     7   17 o  0   1.39 140.86675 -23.16965  8038.41  6954.40 2.38 2.14 -48.3 -0.440 19.05 20.54 04a61086o0380o
61086.195078 -20.627  0.826   -20   17 o  0   1.23 140.86675 -23.16965  7981.85  6877.65 2.27 2.04 -31.4 -0.452 19.10 20.54 04a61086o0391o
61086.228956 -20.760  1.072   -18   19 o  0   0.95 140.86675 -23.16965  7968.51  6995.24 2.20 2.08 -47.1 -0.454 19.06 20.43 04a61086o0461o
61087.931864 -21.524  3.273    -9   29 c  0   0.92 140.86675 -23.16965  8142.13  3467.96 3.17 2.94 -40.1 -0.380 18.08 20.33 03a61088o0037c
61087.935481  19.078  1.484    85  126 c  0   1.58 140.86675 -23.16965  8160.53  3507.49 2.95 2.63 -31.3 -0.377 16.69 18.80 03a61088o0045c
61087.940620 -18.649  5.000  -126  630 c  0   0.82 140.86675 -23.16965  8105.95  3427.45 2.69 2.25 -59.3 -0.394 15.34 17.32 03a61088o0056c
61089.411343 -20.944  0.947   -15   14 o  0   0.66 140.86675 -23.16965  2426.48  7172.93 2.48 2.39  44.1 -0.419 19.29 21.13 02a61089o0366o
61089.446476  21.002  1.072    14   16 o  0   0.97 140.86675 -23.16965  2399.33  7133.69 2.82 2.72  46.7 -0.416 19.11 21.19 02a61089o0442o
61089.449697 -20.228  0.483   -29   14 o  0   1.01 140.86675 -23.16965  2457.39  7213.18 2.77 2.62  64.9 -0.414 19.14 21.16 02a61089o0449o
61089.457903  23.069  5.357     2   12 o  0   1.51 140.86675 -23.16965  2478.90  7103.65 2.48 2.27  42.4 -0.416 19.31 21.13 02a61089o0467o
61090.414734  21.051  0.932    14   13 o  0   0.98 140.86675 -23.16965  8304.96  3316.12 2.28 2.15 -62.5 -0.413 19.38 21.06 02a61090o0443o
61090.448462  24.490 22.250     1   13 o  0   1.02 140.86675 -23.16965  8277.23  3278.88 2.35 2.21 -68.8 -0.404 19.28 20.99 02a61090o0516o
