###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61083.328620 -20.494  0.714   -23   16 o  0   1.48 184.58271   0.25483  3578.47   459.40 2.28 2.02  37.5 -0.429 19.12 20.55 04a61083o0675o
61083.363843 -21.001  1.207   -14   17 o  0   1.18 184.58271   0.25483  3600.07   497.90 2.14 2.07  45.3 -0.425 18.99 20.37 04a61083o0751o
61083.379675 -21.624  2.000    -8   16 o  0   1.14 184.58271   0.25483  3543.22   419.13 2.22 2.01  43.5 -0.413 18.99 20.31 04a61083o0785o
61083.382392 -21.269  1.234   -11   14 o  0   1.88 184.58271   0.25483  3521.52   537.42 2.22 2.00  36.1 -0.415 18.98 20.22 04a61083o0791o
61086.923838  21.928  1.793     6   11 c  0   1.18 184.58271   0.25483  2923.06  8248.49 2.94 2.60 -38.4 -0.373 19.47 21.60 03a61087o0364c
61086.925657 -24.461 16.667    -1   10 c  0   1.44 184.58271   0.25483  2903.92  8209.37 2.87 2.52 -40.5 -0.374 19.55 21.61 03a61087o0368c
61086.928829  21.392  1.286    10   13 c  0   0.85 184.58271   0.25483  2958.57  8287.69 3.17 2.81 -29.5 -0.357 19.43 21.62 03a61087o0375c
61086.934261 -21.402  1.000   -10   10 c  0   1.62 184.58271   0.25483  2981.78  8171.97 3.25 2.93 -26.1 -0.359 19.40 21.63 03a61087o0387c
61088.423100  21.750  1.325     7   10 c  0   0.93 184.58271   0.25483  9091.19  1734.19 3.10 3.01 -27.1 -0.387 19.55 21.48 01a61088o0468c
61088.426308  21.627  1.298     8   10 c  0   1.19 184.58271   0.25483  9072.89  1697.33 3.06 2.94 -17.5 -0.378 19.56 21.51 01a61088o0475c
61088.459427  21.348  1.038    10   11 c  0   0.81 184.58271   0.25483  9133.93  1772.85 3.28 3.21 -37.4 -0.427 19.56 21.60 01a61088o0545c
61088.471816 -23.913  9.333    -1    9 c  0   0.96 184.58271   0.25483  9155.52  1654.74 3.01 2.89 -33.7 -0.390 19.67 21.62 01a61088o0572c
61089.310950  21.511  1.346     9   12 o  0   1.61 184.58271   0.25483  1613.99  8797.59 2.48 1.93 -68.9 -0.403 19.22 20.79 04a61089o0454o
61089.314176 -21.628  1.957    -8   16 o  0   0.95 184.58271   0.25483  1634.29  8836.99 2.50 1.95 -74.4 -0.401 19.23 20.78 04a61089o0461o
61089.348652 -20.695  0.618   -19   12 o  0   1.60 184.58271   0.25483  1576.51  8758.91 2.54 1.94 -71.3 -0.403 19.16 20.78 04a61089o0535o
61089.373122 -25.713 70.000    -0   13 o  0   1.34 184.58271   0.25483  1555.83  8877.51 2.64 1.96 -73.1 -0.386 19.19 20.84 04a61089o0587o
61090.019499  22.446  2.407     4    9 c  0   1.17 184.58271   0.25483  8749.48  8086.20 2.43 2.19 -58.1 -0.403 19.69 21.48 03a61090o0331c
61090.024498 -21.990  1.462    -6    8 c  0   1.46 184.58271   0.25483  8733.84  8046.59 2.55 2.21 -55.6 -0.399 19.66 21.50 03a61090o0342c
61090.025857 -21.139  0.697   -13    9 c  0   1.33 184.58271   0.25483  8792.21  8126.07 2.47 2.17 -54.4 -0.399 19.67 21.50 03a61090o0345c
61090.058714 -21.724  1.265    -7    9 c  0   1.12 184.58271   0.25483  8829.28  8013.27 2.57 2.23 -56.7 -0.396 19.67 21.50 03a61090o0416c
61090.134479  20.232  0.444    29   13 c  0   2.02 184.58271   0.25483  1805.97  2481.62 2.43 2.25 -67.5 -0.400 19.12 20.31 03a61090o0581c
61092.918884 -22.244  2.040    -5    9 c  0   1.39 184.58271   0.25483  4120.00  5566.27 2.67 2.43 -43.1 -0.373 19.48 21.54 03a61093o0282c
61092.923931 -21.089  0.705   -13    9 c  0   1.26 184.58271   0.25483  4100.95  5527.16 2.58 2.34 -43.6 -0.376 19.54 21.54 03a61093o0293c
61092.926673  20.680  0.419    19    8 c  0   1.94 184.58271   0.25483  4155.96  5605.27 2.68 2.45 -37.4 -0.377 19.48 21.55 03a61093o0299c
61092.958263 -22.569  2.579    -3    9 c  0   1.45 184.58271   0.25483  4186.35  5488.49 2.63 2.45 -52.0 -0.369 19.49 21.59 03a61093o0368c
61094.485529  21.666  1.156     8    9 c  0   1.05 184.58271   0.25483  1312.57  2106.97 3.34 2.99  41.8 -0.313 19.60 21.55 01a61094o0597c
61094.488288 -22.306  2.192    -4   10 c  0   0.89 184.58271   0.25483  1292.36  2069.18 3.26 2.91  47.5 -0.321 19.62 21.55 01a61094o0603c
61094.523443  21.521  1.160     9   10 c  0   1.06 184.58271   0.25483  1345.88  2149.88 3.36 3.07  41.3 -0.306 19.56 21.52 01a61094o0677c
61094.535819  23.066  4.000     2    9 c  0   1.44 184.58271   0.25483  9255.07  8526.38 3.24 2.99  40.8 -0.367 19.60 21.46 01a61094o0702c
61095.296211 -22.193  3.958    -5   19 o  0   1.81 184.58271   0.25483  9384.35  8406.00 2.05 1.99 -16.3 -0.441 19.11 20.57 04a61095o0628o
61095.298955 -21.344  1.623   -10   17 o  0   1.45 184.58271   0.25483  9404.85  8444.85 1.90 1.87 -56.2 -0.495 19.11 20.49 04a61095o0634o
61095.321910 -19.886  0.524   -40   21 o  0   0.86 184.58271   0.25483  9345.43  8368.26 1.86 1.76 -61.6 -0.500 19.08 20.52 04a61095o0683o
61095.328807  20.441  0.742    24   18 o  0   2.35 184.58271   0.25483  9325.34  8486.78 1.85 1.66 -67.9 -0.557 19.00 20.53 04a61095o0698o
61098.871503 -20.086  0.911   -34   31 o  0   1.68 184.58271   0.25483  1018.98 10267.64 2.83 2.39 -49.8 -0.437 18.76 19.44 03a61099o0274o
61098.873309 -19.696  0.433   -48   21 o  0   1.62 184.58271   0.25483  1220.26    68.74 2.29 2.12 -59.2 -0.443 18.72 19.35 03a61099o0278o
61098.874259  21.894  4.125     6   26 o  0   1.79 184.58271   0.25483  1002.86 10227.31 2.66 2.22 -55.2 -0.452 18.78 19.48 03a61099o0280o
61098.879328 -19.668  0.705   -49   35 o  0   1.09 184.58271   0.25483  1056.59 10307.86 2.79 2.40 -44.9 -0.440 18.77 19.50 03a61099o0291o
61098.882552  21.064  1.722    14   24 o  0   1.58 184.58271   0.25483  1262.33   108.84 2.38 2.17 -57.3 -0.436 18.71 19.39 03a61099o0298o
61098.911145  19.814  0.616    43   27 o  0   1.06 184.58271   0.25483  1075.23 10187.87 2.57 2.21 -53.8 -0.451 18.96 19.69 03a61099o0360o
61101.176399  21.133  4.238    13   54 o  0   1.09 184.58271   0.25483  6563.46  6010.36 2.24 2.04 -36.5 -0.434 18.01 18.32 04a61101o0382o
61101.179169 -20.334  1.569   -27   42 o  0   1.45 184.58271   0.25483  6542.52  5972.45 2.20 2.03 -34.6 -0.432 18.07 18.50 04a61101o0388o
61101.188381 -20.726  2.275   -19   42 o  0   1.22 184.58271   0.25483  6601.74  6050.77 2.16 2.01 -28.1 -0.430 18.05 18.36 04a61101o0407o
61101.195124  20.128  1.434    32   46 o  0   1.06 184.58271   0.25483  6620.64  5934.92 2.26 2.09 -42.3 -0.436 18.05 18.53 04a61101o0421o
61106.496332 -18.703  0.540  -120   65 o  0   0.82 184.58271   0.25483  7368.73  8549.29 3.07 2.84   8.0 -0.388 17.79 18.01 01a61106o0611o
61106.499618 -19.355  0.832   -66   55 o  0   1.23 184.58271   0.25483  7391.28  8590.24 2.85 2.62   8.3 -0.406 17.88 17.97 01a61106o0618o
61106.505142  18.670  0.747   124   92 o  0   1.10 184.58271   0.25483  7331.65  8510.12 3.04 2.64   7.2 -0.389 17.11 16.93 01a61106o0630o
61106.541541  22.801 12.200     3   34 o  0   1.06 184.58271   0.25483  7311.71  8622.60 3.00 2.72  54.0 -0.386 18.41 18.98 01a61106o0706o
61107.990324 -21.006  1.226   -14   18 o  0   1.03 184.58271   0.25483  5675.63  2374.60 2.58 2.45 -45.9 -0.411 19.00 20.07 03a61108o0552o
61107.993484  21.844  2.579     7   17 o  0   1.18 184.58271   0.25483  5696.47  2414.32 2.59 2.45 -54.2 -0.445 18.99 20.07 03a61108o0559o
61108.025741  21.480  1.722     9   16 o  0   1.36 184.58271   0.25483  5647.19  2331.81 2.58 2.42 -51.6 -0.418 18.95 20.00 03a61108o0629o
61108.032182 -22.808  6.222    -3   17 o  0   1.11 184.58271   0.25483  5626.70  2448.56 2.46 2.24 -51.2 -0.418 19.03 19.98 03a61108o0643o
61110.936279 -21.945  1.927    -6   12 o  0   2.01 184.58271   0.25483   976.71  8301.30 2.50 2.15 -58.5 -0.399 19.35 20.64 03a61111o0440o
61110.938986 -20.513  0.538   -23   12 o  0   1.62 184.58271   0.25483   957.65  8261.94 2.48 2.14 -58.6 -0.397 19.38 20.63 03a61111o0446o
61110.941696  20.085  0.408    34   14 o  0   1.32 184.58271   0.25483  1015.58  8340.68 2.43 2.09 -61.1 -0.404 19.38 20.63 03a61111o0452o
61110.965148 -19.983  0.371   -37   14 o  0   1.20 184.58271   0.25483  1050.58  8223.80 2.52 2.14 -54.8 -0.398 19.36 20.57 03a61111o0503o
