###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61084.230501  18.557  0.241   137   33 o  0  12.45 144.15083 -63.94839  3675.71  8911.04 2.60 2.00 -65.0 -0.493 18.91 20.71 04a61084o0459o
61084.234140  18.924  0.453    98   44 o  0   3.58 144.15083 -63.94839  3693.72  8949.41 2.64 2.00 -65.9 -0.468 18.95 20.76 04a61084o0467o
61084.271873  20.938  2.414    15   37 o  0   4.54 144.15083 -63.94839  3649.40  8874.96 2.33 1.98 -59.4 -0.563 18.92 20.73 04a61084o0542o
61084.276504  18.986  0.527    92   49 o  0   1.54 144.15083 -63.94839  3631.13  8991.19 2.53 1.99 -63.3 -0.499 18.91 20.74 04a61084o0552o
61085.218885 -19.554  1.065   -55   58 o  0   0.90 144.15083 -63.94839  3678.03  8911.76 2.59 1.91 -68.5 -0.460 18.94 20.50 04a61085o0437o
61085.221638  20.814  2.648    17   45 o  0   2.51 144.15083 -63.94839  3696.87  8949.42 2.68 1.98 -67.1 -0.475 18.87 20.51 04a61085o0443o
61085.240825  22.003  9.296     6   53 o  0   1.59 144.15083 -63.94839  3645.08  8874.57 2.56 1.87 -72.9 -0.454 18.88 20.49 04a61085o0481o
61085.245872  19.992  0.957    37   35 o  0   3.57 144.15083 -63.94839  3630.09  8992.01 2.60 1.92 -67.5 -0.465 18.87 20.48 04a61085o0492o
61085.959830  19.164  0.269    78   21 c  0   2.37 144.15083 -63.94839  5705.17  4597.33 2.77 2.53 -51.0 -0.399 19.56 21.95 03a61086o0437c
61085.962995  18.319  0.087   171   15 c  0   8.10 144.15083 -63.94839  5724.11  4636.32 2.82 2.62 -58.4 -0.395 19.50 21.97 03a61086o0444c
61087.195394  20.773  2.168    18   39 o  0   3.51 144.15083 -63.94839  5705.34  4543.04 2.22 2.02 -52.1 -0.466 19.11 20.81 04a61087o0388o
61087.227896  22.045  8.939     6   49 o  0   0.98 144.15083 -63.94839  5732.32  4583.84 2.21 2.02 -61.3 -0.466 19.08 20.72 04a61087o0456o
