###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61084.528527 -23.871 22.167    -1   23 o  0   2.63 204.16683 -33.96702  6696.67  1716.94 2.46 2.42 -67.8 -0.417 18.98 20.34 02a61084o0675o
61084.531265  20.563  1.871    22   40 o  0   1.18 204.16683 -33.96702  6713.95  1756.93 2.34 2.31 -62.0 -0.415 19.02 20.34 02a61084o0681o
61084.538640  23.257 19.000     2   34 o  0   0.95 204.16683 -33.96702  6654.51  1678.35 2.23 2.15 -62.3 -0.432 19.12 20.49 02a61084o0697o
61084.552219  20.276  1.168    28   33 o  0   1.76 204.16683 -33.96702  6628.70  1793.99 1.94 1.91  72.6 -0.437 19.29 20.65 02a61084o0726o
61086.280797  18.556  0.249   137   34 o  0   1.99 204.16683 -33.96702  2276.76  3050.81 2.12 1.97  60.4 -0.421 18.98 20.28 04a61086o0567o
61086.283543  21.093  2.312    13   31 o  0   3.62 204.16683 -33.96702  2259.64  3011.98 2.15 2.02  66.2 -0.419 18.95 20.23 04a61086o0573o
61086.288540  19.492  0.537    58   31 o  0   3.63 204.16683 -33.96702  2315.67  3091.04 2.14 2.00  61.3 -0.431 18.97 20.27 04a61086o0584o
61086.298877  18.974  0.407    93   38 o  0   2.81 204.16683 -33.96702  2333.87  2976.03 2.10 1.97  63.8 -0.431 19.02 20.36 04a61086o0606o
61089.488307  18.627  0.234   129   30 o  0   3.14 204.16683 -33.96702  6554.24  3946.55 3.10 2.97  50.9 -0.425 18.88 20.56 02a61089o0533o
61089.491023  19.464  0.401    60   24 o  0   2.70 204.16683 -33.96702  6572.37  3985.03 2.85 2.63  37.2 -0.419 19.00 20.58 02a61089o0539o
61089.507442  18.615  0.246   130   32 o  0   3.47 204.16683 -33.96702  6507.30  3906.04 3.21 3.13  72.3 -0.432 18.87 20.63 02a61089o0574o
61089.514741  18.085  0.124   212   26 o  0   3.66 204.16683 -33.96702  6486.25  4020.96 3.22 3.14  57.6 -0.434 18.91 20.66 02a61089o0590o
61090.500113  20.179  1.111    31   34 o  0   2.49 204.16683 -33.96702  2519.81  7836.29 2.70 2.62  79.2 -0.412 18.94 20.40 02a61090o0628o
61090.503312  21.754  4.956     7   36 o  0   0.70 204.16683 -33.96702  2538.33  7874.35 2.38 2.37  75.0 -0.410 19.00 20.39 02a61090o0635o
61090.509225  19.242  0.432    73   32 o  0   1.90 204.16683 -33.96702  2481.47  7797.28 2.63 2.59  30.7 -0.405 18.94 20.43 02a61090o0648o
61090.524617  19.899  0.876    40   35 o  0   1.48 204.16683 -33.96702  2458.91  7913.57 2.46 2.33  18.4 -0.403 19.05 20.48 02a61090o0681o
61091.020449  18.652  0.139   126   17 c  0   4.36 204.16683 -33.96702  8066.80  2785.53 2.83 2.52 -55.5 -0.386 19.57 21.85 03a61091o0309c
61091.045044  15.831  0.010  1689   17 c  0 360.10 204.16683 -33.96702  8059.52  2746.43 2.85 2.60 -51.9 -0.405 19.55 21.77 03a61091o0355c
61091.048807  19.419  0.315    62   20 c  0   2.72 204.16683 -33.96702  8112.97  2824.51 2.74 2.53 -60.8 -0.398 19.56 21.76 03a61091o0363c
61091.053408  19.341  0.326    67   22 c  0   1.47 204.16683 -33.96702  8136.32  2708.87 2.68 2.41 -57.8 -0.399 19.58 21.76 03a61091o0373c
61092.261922 -22.205  6.920    -5   33 o  0   3.71 204.16683 -33.96702  2815.96   330.90 2.31 1.99  47.9 -0.436 19.01 20.52 04a61092o0471o
61092.264661 -20.129  0.799   -32   26 o  0   4.86 204.16683 -33.96702  2796.17   291.61 2.28 2.01  46.8 -0.416 18.99 20.53 04a61092o0477o
61092.271843  21.611  3.512     8   29 o  0   3.48 204.16683 -33.96702  2853.75   371.35 2.32 2.07  45.5 -0.425 19.01 20.49 04a61092o0491o
61092.297477  20.083  0.833    34   28 o  0   6.36 204.16683 -33.96702  2872.08   256.25 2.12 1.95  48.7 -0.433 19.08 20.55 04a61092o0543o
61092.301350 -17.445  0.417  -382  159 o  0   5.31 204.16683 -33.96702  9970.10 10481.71 2.50 2.01 -73.9 -0.533 18.96 20.85 04a61092o0551o
61092.302713 -18.275  0.493  -178   88 o  0   5.03 204.16683 -33.96702  9947.61 10443.15 2.57 2.02 -72.6 -0.500 18.92 20.83 04a61092o0554o
61092.305439 -17.322  0.354  -428  151 o  0   3.00 204.16683 -33.96702 10009.60 10521.57 2.43 2.06 -67.6 -0.528 18.97 20.84 04a61092o0560o
61092.331899  17.762  0.136   285   39 o  0   8.77 204.16683 -33.96702 10026.83 10406.24 2.50 1.91 -75.1 -0.556 19.05 20.61 04a61092o0613o
61095.522136  19.784  0.461    44   20 o  0   2.71 204.16683 -33.96702  4332.34  3631.73 2.08 1.80  23.1 -0.464 19.40 20.83 02a61095o0126o
61096.490678 -19.026  0.494   -89   44 o  0   0.73 204.16683 -33.96702  8685.47  1638.23 2.12 1.71 -65.9 -0.485 19.04 19.98 02a61096o0598o
61096.494798  21.129  2.844    13   36 o  0   1.13 204.16683 -33.96702  8705.11  1678.39 2.19 1.83 -64.1 -0.461 19.01 20.04 02a61096o0607o
61096.499835 -19.245  0.413   -73   30 o  0   2.35 204.16683 -33.96702  8644.40  1599.23 2.20 1.81 -66.6 -0.471 19.12 20.13 02a61096o0618o
61096.509889 -20.192  1.153   -30   35 o  0   1.70 204.16683 -33.96702  8622.68  1715.57 2.09 1.77 -66.0 -0.464 19.24 20.35 02a61096o0640o
61096.989903 -20.283  0.655   -28   18 c  0   2.41 204.16683 -33.96702  1798.48  8833.35 2.58 2.26 -44.0 -0.395 19.68 21.77 03a61097o0509c
61096.993927  19.012  0.203    90   18 c  0   4.04 204.16683 -33.96702  1778.03  8793.37 2.70 2.40 -45.6 -0.385 19.60 21.73 03a61097o0516c
61097.000002  20.204  0.657    30   20 c  0   3.34 204.16683 -33.96702  1836.60  8872.78 2.70 2.42 -48.3 -0.392 19.62 21.71 03a61097o0528c
61098.196770  19.084  0.399    84   34 o  0   3.41 204.16683 -33.96702   407.02  5034.44 2.29 2.17 -66.1 -0.430 18.67 19.94 04a61098o0412o
61098.200064  20.134  0.968    32   31 o  0   1.87 204.16683 -33.96702   382.71  4999.58 2.33 2.04  60.9 -0.376 18.77 19.98 04a61098o0418o
61098.205314  19.825  0.774    43   33 o  0   4.64 204.16683 -33.96702   441.25  5079.85 2.39 2.10  68.7 -0.373 18.77 20.02 04a61098o0429o
61098.212813 -18.292  0.282  -175   49 o  0   4.35 204.16683 -33.96702 10223.03  4998.38 2.33 1.96 -89.7 -0.553 18.67 19.93 04a61098o0445o
61098.215133  19.387  0.497    64   32 o  0   6.47 204.16683 -33.96702   459.54  4965.13 2.28 2.02  72.1 -0.394 18.84 20.04 04a61098o0450o
61098.215584 -19.575  0.835   -54   45 o  0   2.68 204.16683 -33.96702 10200.00  4962.94 2.38 2.18 -27.2 -0.438 18.79 20.00 04a61098o0451o
61098.221201 -20.522  1.845   -22   41 o  0   3.74 204.16683 -33.96702 10259.95  5039.20 2.37 2.11 -17.4 -0.455 18.81 20.04 04a61098o0463o
61098.246109 -19.943  1.255   -38   48 o  0   5.56 204.16683 -33.96702 10276.97  4928.73 2.39 2.16 -25.7 -0.457 18.92 20.31 04a61098o0513o
61099.522211  19.357  2.406    66  158 o  0   1.17 204.16683 -33.96702   518.80  5009.94 2.88 2.57  39.3 -0.342 16.38 16.33 01a61099o0673o
61099.524045  21.506 26.182     9  237 o  0   1.07 204.16683 -33.96702   497.80  4971.35 2.93 2.70  47.5 -0.363 16.14 16.05 01a61099o0677o
61099.526791 -18.476  1.636  -148  242 o  0   0.94 204.16683 -33.96702   555.17  5050.01 2.60 2.40  41.2 -0.388 16.23 15.94 01a61099o0683o
61099.536399 -17.829  0.602  -268  161 o  0   1.53 204.16683 -33.96702   576.95  4935.64 2.61 2.40  45.9 -0.379 16.60 16.45 01a61099o0704o
61099.537313  17.924  1.158   246  284 o  0   0.85 204.16683 -33.96702 10344.80  4996.46 2.69 2.60 -47.4 -0.410 16.24 16.14 01a61099o0706o
61099.539142  18.256  1.816   181  329 o  0   1.41 204.16683 -33.96702 10326.08  4958.50 2.76 2.68 -24.2 -0.413 15.78 15.66 01a61099o0710o
61099.541883  20.176  3.438    31  106 o  0   1.21 204.16683 -33.96702 10384.72  5034.05 2.56 2.47 -12.8 -0.403 16.88 16.83 01a61099o0716o
61099.553769 -21.055  4.644   -14   64 o  0   3.13 204.16683 -33.96702 10409.97  4917.41 2.61 2.29 -61.4 -0.441 17.47 17.46 01a61099o0741o
61102.979078  18.925  2.556    98  250 o  0   1.16 204.16683 -33.96702  2018.59  6614.05 2.61 2.31 -60.0 -0.425 15.83 15.47 03a61103o0492o
61102.987003  21.119  5.552    13   72 o  0   1.92 204.16683 -33.96702  2005.17  6571.13 2.52 2.20 -60.0 -0.396 17.62 17.93 03a61103o0507o
61102.989721 -20.203  1.382   -30   42 o  0   4.87 204.16683 -33.96702  2060.37  6652.99 2.40 2.09 -58.5 -0.391 18.49 18.74 03a61103o0513o
61103.001165  20.384  3.929    26  100 o  0   1.53 204.16683 -33.96702  2086.14  6536.94 2.51 2.19 -59.9 -0.394 17.31 17.05 03a61103o0534o
61104.235463 -19.882 10.164   -40  412 o  0   0.37 204.16683 -33.96702   916.59   382.81 2.13 1.86  28.0 -0.519 17.46 17.68 04a61104o0503o
61104.236829  20.227  6.000    30  177 o  0   0.84 204.16683 -33.96702   896.15   344.47 2.19 1.88  43.6 -0.483 17.04 17.27 04a61104o0506o
61104.241563  19.151  7.704    79  612 o  0   1.19 204.16683 -33.96702   953.06   424.53 2.32 1.88  48.2 -0.472 15.20 14.82 04a61104o0515o
