###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61083.303652  24.187 23.000     1   18 o  0   1.28 197.65156  -4.48574  1843.27   893.00 1.98 1.90  37.0 -0.466 19.07 20.48 04a61083o0621o
61083.306368  21.064  1.372    14   19 o  0   0.90 197.65156  -4.48574  1825.94   853.46 2.03 1.92  22.8 -0.460 19.07 20.45 04a61083o0627o
61083.309074  21.645  2.600     8   21 o  0   0.98 197.65156  -4.48574  1885.33   932.34 2.03 1.93  12.0 -0.463 19.04 20.42 04a61083o0633o
61083.320921 -21.048  1.096   -14   15 o  0   1.47 197.65156  -4.48574  1903.50   814.39 2.07 2.00  -8.6 -0.458 19.01 20.45 04a61083o0659o
61086.936515  21.565  1.462     9   13 c  0   1.11 197.65156  -4.48574  3316.44  9246.60 3.02 2.63 -37.1 -0.362 19.46 21.53 03a61087o0392c
61086.939684  23.722 10.400     1   12 c  0   1.62 197.65156  -4.48574  3298.94  9207.05 3.13 2.71 -41.1 -0.363 19.43 21.54 03a61087o0399c
61086.942848 -20.815  0.680   -17   12 c  0   1.50 197.65156  -4.48574  3355.24  9285.65 3.09 2.71 -39.3 -0.360 19.46 21.56 03a61087o0406c
61086.961707  20.941  0.701    15   11 c  0   1.44 197.65156  -4.48574  3375.20  9166.79 2.87 2.55 -45.1 -0.374 19.56 21.63 03a61087o0447c
61088.472764 -20.879  0.510   -16    8 c  0   1.94 197.65156  -4.48574  3984.87  2717.83 3.01 2.83  38.1 -0.365 19.62 21.53 01a61088o0574c
61088.474592 -21.498  1.098    -9   10 c  0   1.16 197.65156  -4.48574  3968.58  2679.38 3.24 2.99  41.8 -0.344 19.56 21.53 01a61088o0578c
61088.508940 -20.662  0.478   -20    9 c  0   1.15 197.65156  -4.48574  4031.43  2755.36 3.18 3.00  48.4 -0.351 19.61 21.61 01a61088o0650c
61088.517204  20.442  0.433    24   10 c  0   1.26 197.65156  -4.48574  4047.34  2641.16 3.37 3.12  42.6 -0.343 19.55 21.62 01a61088o0668c
61089.244754 -21.694  2.133    -8   16 o  0   0.93 197.65156  -4.48574  3824.58  2748.22 2.07 2.03  44.7 -0.448 19.17 20.66 04a61089o0312o
61089.260121 -22.880  6.357    -3   16 o  0   1.33 197.65156  -4.48574  3806.73  2710.34 2.11 2.07  56.8 -0.461 19.11 20.58 04a61089o0345o
61089.262848 -19.938  0.361   -38   14 o  0   1.94 197.65156  -4.48574  3864.72  2788.48 2.06 2.05  25.3 -0.453 19.15 20.62 04a61089o0351o
61089.269231 -22.695  5.438    -3   16 o  0   1.46 197.65156  -4.48574  3881.92  2673.54 2.19 2.11 -41.8 -0.441 19.09 20.67 04a61089o0365o
61089.944223 -20.571  0.504   -22   11 c  0   2.07 197.65156  -4.48574  9153.77  9069.26 2.83 2.35 -57.3 -0.414 19.53 21.41 03a61090o0168c
61089.946991 -21.427  1.280   -10   12 c  0   1.16 197.65156  -4.48574  9136.58  9030.36 2.86 2.39 -58.5 -0.407 19.54 21.41 03a61090o0174c
61089.981863 -20.283  0.429   -28   12 c  0   1.26 197.65156  -4.48574  9193.79  9112.29 2.75 2.29 -59.8 -0.406 19.61 21.42 03a61090o0250c
61089.999114  20.777  0.613    18   11 c  0   1.28 197.65156  -4.48574  9212.73  8997.96 2.61 2.26 -61.1 -0.406 19.64 21.43 03a61090o0287c
61090.133573 -20.800  0.842   -17   15 c  0   1.38 197.65156  -4.48574  1380.71  1486.29 2.47 2.34 -63.4 -0.402 19.28 20.67 03a61090o0579c
61094.515504 -20.671  0.487   -20   10 c  0   1.47 197.65156  -4.48574  6321.00  3113.91 3.25 2.98  19.2 -0.306 19.58 21.52 01a61094o0660c
61094.520645 -20.738  0.490   -18    9 c  0   1.65 197.65156  -4.48574  6304.02  3074.82 3.30 3.04  32.4 -0.303 19.53 21.49 01a61094o0671c
61094.522928  21.946  1.606     6   10 c  0   1.35 197.65156  -4.48574  6360.54  3152.52 3.35 3.13  32.6 -0.298 19.51 21.49 01a61094o0676c
61094.557491 -22.472  2.429    -4    9 c  0   1.27 197.65156  -4.48574  4246.66  7552.76 3.42 3.03  51.8 -0.282 19.56 21.45 01a61094o0748c
61095.234181 -20.123  0.435   -32   14 o  0   1.80 197.65156  -4.48574  6160.70  3130.04 2.11 2.03 -88.3 -0.498 19.12 20.53 04a61095o0494o
61095.258409 -20.960  1.000   -15   15 o  0   1.95 197.65156  -4.48574  6143.33  3095.73 2.11 2.01 -80.4 -0.492 19.06 20.52 04a61095o0546o
61095.262029  22.072  3.192     5   17 o  0   1.44 197.65156  -4.48574  6203.25  3173.36 2.19 2.08 -64.0 -0.504 19.07 20.58 04a61095o0554o
61095.267045  25.677 91.000     0   18 o  0   2.18 197.65156  -4.48574  6221.27  3057.59 2.12 2.05 -65.8 -0.475 19.10 20.58 04a61095o0565o
61099.002867 -21.461  1.768   -10   17 o  0   1.10 197.65156  -4.48574  6239.45  1183.93 2.10 1.91 -50.2 -0.442 19.16 20.07 03a61099o0560o
61099.006479 -19.997  0.389   -36   14 o  0   1.06 197.65156  -4.48574  6223.96  1145.03 2.08 1.93 -53.4 -0.438 19.20 20.11 03a61099o0568o
61099.009218 -20.021  0.422   -36   15 o  0   1.21 197.65156  -4.48574  6281.89  1223.25 2.11 1.96 -48.1 -0.440 19.19 20.13 03a61099o0574o
61099.020548 -20.013  0.371   -36   13 o  0   1.46 197.65156  -4.48574  6307.21  1107.64 2.09 1.92 -42.7 -0.438 19.22 20.24 03a61099o0599o
61101.209326  20.090  1.063    33   36 o  0   0.92 197.65156  -4.48574  1779.54  7006.98 2.31 2.01 -68.4 -0.422 18.22 18.76 04a61101o0452o
61101.212555 -20.784  1.971   -18   35 o  0   1.31 197.65156  -4.48574  1759.28  6969.16 2.35 1.97 -76.8 -0.396 18.28 18.82 04a61101o0459o
61101.237734  20.842  2.360    17   39 o  0   0.82 197.65156  -4.48574  1839.31  6933.42 2.38 2.08 -71.8 -0.407 18.23 18.88 04a61101o0512o
61101.935867 -21.890  6.075    -6   39 o  0   1.26 197.65156  -4.48574  2020.23  2740.53 2.52 2.29 -64.5 -0.410 18.16 18.50 03a61102o0422o
61101.938575  19.662  0.589    50   29 o  0   1.67 197.65156  -4.48574  2005.20  2700.19 2.36 2.23 -66.9 -0.410 18.25 18.59 03a61102o0428o
