###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61084.267016 -19.797  0.408   -44   18 o  0 116.66  33.64096  -0.76577  2584.63  1969.94 2.13 1.99 -74.5 -0.451 18.94 19.89 02a61084o0108o
61084.278035 -19.941  0.537   -38   21 o  0  59.14  33.64096  -0.76577  2568.35  1931.58 2.11 1.95 -70.2 -0.453 18.96 19.80 02a61084o0132o
61084.281229 -19.924  0.479   -39   19 o  0 118.15  33.64096  -0.76577  2626.32  2009.18 2.17 2.01 -68.6 -0.448 18.89 19.78 02a61084o0139o
61084.292678 -19.512  0.375   -57   21 o  0  58.03  33.64096  -0.76577  2645.62  1891.47 2.17 2.00 -66.9 -0.458 18.83 19.71 02a61084o0164o
61089.274727  16.650  0.048   795   38 o  0   3.96  33.64096  -0.76577  8294.51  9962.12 4.65 4.36 -50.9 -0.414 18.35 20.27 02a61089o0145o
61089.284768  17.421  0.115   390   45 o  0   2.72  33.64096  -0.76577  8274.41  9921.53 5.93 5.63 -50.1 -0.332 18.12 20.20 02a61089o0167o
61089.287480  17.476  0.101   371   37 o  0   3.04  33.64096  -0.76577  8333.92  9999.57 4.83 4.53 -52.9 -0.408 18.20 20.17 02a61089o0173o
61090.246583 -18.859  0.196  -104   20 o  0  37.31  33.64096  -0.76577  8089.71  6067.00 2.34 2.25  48.3 -0.418 19.12 20.34 02a61090o0077o
61090.249343 -21.030  1.089   -14   15 o  0  79.03  33.64096  -0.76577  8070.85  6026.26 2.38 2.34  84.4 -0.426 19.10 20.34 02a61090o0083o
61090.255818  20.946  1.287    15   20 o  0  28.66  33.64096  -0.76577  8128.89  6104.65 2.35 2.30  61.7 -0.420 19.09 20.34 02a61090o0097o
61090.268264 -18.793  0.167  -110   18 o  0  51.27  33.64096  -0.76577  8151.55  5987.44 2.43 2.40  63.6 -0.421 19.05 20.31 02a61090o0124o
61096.222459  19.759  1.147    45   52 o  0   3.96  33.64096  -0.76577   628.02  2051.46 2.11 1.92 -67.8 -0.451 17.66 17.84 02a61096o0014o
61096.227489  18.697  0.196   120   24 o  0  21.81  33.64096  -0.76577   608.18  2012.71 2.09 1.93 -67.3 -0.458 18.34 18.90 02a61096o0025o
61096.231152  18.820  0.243   108   26 o  0  13.97  33.64096  -0.76577   668.10  2091.53 2.11 1.92 -65.9 -0.457 18.62 19.21 02a61096o0033o
61096.242548  18.646  0.224   126   28 o  0  22.23  33.64096  -0.76577   690.10  1974.10 2.13 1.87 -63.1 -0.469 18.71 19.35 02a61096o0058o
