###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61084.128005  24.558 36.000     0   20 o  0   0.82  96.91088 -54.45669   987.17   749.42 2.23 1.83  40.3 -0.479 19.25 20.89 04a61084o0241o
61084.130905  23.916 20.400     1   20 o  0   0.89  96.91088 -54.45669  1010.49   788.21 2.17 1.95  25.8 -0.533 19.12 20.89 04a61084o0247o
61084.136013 -21.929  3.656    -6   22 o  0   0.74  96.91088 -54.45669   947.07   711.63 2.29 1.82  40.1 -0.469 19.21 20.89 04a61084o0258o
61084.145852  22.396  3.850     4   15 o  0   1.92  96.91088 -54.45669   927.62   831.62 2.32 1.90  46.2 -0.459 19.18 20.91 04a61084o0279o
61085.125512  20.252  0.637    29   18 o  0   1.79  96.91088 -54.45669   989.78   750.73 2.61 1.94  44.0 -0.468 19.13 20.83 04a61085o0237o
61085.128772  20.902  1.349    16   21 o  0   0.94  96.91088 -54.45669  1010.96   789.12 2.63 1.95  44.5 -0.470 19.14 20.80 04a61085o0244o
61085.133820  20.559  0.795    22   17 o  0   1.13  96.91088 -54.45669   950.45   712.91 2.57 1.87  45.2 -0.469 19.18 20.80 04a61085o0255o
61085.145010 -23.382 12.750    -2   20 o  0   0.88  96.91088 -54.45669   933.06   831.96 2.31 1.82  46.7 -0.476 19.19 20.77 04a61085o0279o
61085.844345 -21.636  1.464    -8   12 c  0   0.93  96.91088 -54.45669  9118.57  6745.56 3.51 3.18 -63.1 -0.377 19.43 22.10 03a61086o0186c
61085.847555 -21.643  1.520    -8   12 c  0   0.94  96.91088 -54.45669  9136.40  6785.41 3.77 3.43 -61.0 -0.350 19.33 22.11 03a61086o0193c
61085.853491 -21.015  0.857   -14   12 c  0   0.81  96.91088 -54.45669  9082.18  6703.54 3.55 3.22 -56.0 -0.370 19.40 22.11 03a61086o0206c
61085.863976 -21.669  1.500    -8   12 c  0   1.16  96.91088 -54.45669  9063.54  6818.88 3.78 3.46 -60.7 -0.348 19.38 22.13 03a61086o0229c
61087.105447  21.472  2.293     9   21 o  0   1.01  96.91088 -54.45669  9188.38  6604.93 2.29 2.12 -75.0 -0.458 19.14 20.89 04a61087o0197o
61087.108211  21.176  1.623    12   20 o  0   1.18  96.91088 -54.45669  9205.80  6644.76 2.24 2.10 -29.8 -0.469 19.19 20.89 04a61087o0203o
61087.113303  21.170  1.525    12   19 o  0   1.21  96.91088 -54.45669  9148.44  6563.79 2.10 2.00 -66.3 -0.482 19.21 20.90 04a61087o0214o
61087.122568 -21.355  1.714   -10   18 o  0   0.99  96.91088 -54.45669  9132.05  6679.72 2.26 2.15 -33.9 -0.466 19.16 20.90 04a61087o0233o
61088.118006  20.667  0.723    20   14 o  0   0.98  96.91088 -54.45669  7754.26  2959.26 2.55 2.35 -32.4 -0.390 19.20 20.95 04a61088o0223o
61088.120849  20.598  0.740    21   16 o  0   0.96  96.91088 -54.45669  7773.45  2999.05 2.60 2.46 -32.3 -0.378 19.08 20.96 04a61088o0229o
61088.125930  22.655  5.333     3   17 o  0   0.92  96.91088 -54.45669  7718.77  2920.29 2.82 2.69 -29.1 -0.378 19.06 21.00 04a61088o0240o
61088.135712  22.665  4.688     3   15 o  0   1.00  96.91088 -54.45669  7696.17  3036.05 2.45 2.25 -29.7 -0.396 19.21 20.98 04a61088o0261o
61088.868772 -21.541  1.167    -9   10 c  0   1.01  96.91088 -54.45669  7789.00  3078.56 2.46 2.17 -61.1 -0.417 19.69 21.81 03a61089o0144c
61088.871996 -21.787  1.196    -7    8 c  0   1.50  96.91088 -54.45669  7807.32  3117.60 2.38 2.11 -58.6 -0.416 19.72 21.80 03a61089o0151c
61088.877509 -21.232  0.670   -12    8 c  0   1.84  96.91088 -54.45669  7753.19  3036.44 2.36 2.05 -59.4 -0.420 19.72 21.79 03a61089o0163c
61088.888183  21.548  1.000     9    9 c  0   1.28  96.91088 -54.45669  7731.96  3150.77 2.37 2.09 -58.1 -0.417 19.73 21.78 03a61089o0186c
61090.109417 -22.206  3.682    -5   18 o  0   0.82  96.91088 -54.45669  3520.94  6786.58 2.55 2.14 -67.5 -0.423 19.12 21.11 04a61090o0210o
61090.112224  20.816  0.960    17   16 o  0   1.49  96.91088 -54.45669  3539.59  6824.68 2.47 2.13 -61.4 -0.450 19.12 21.05 04a61090o0216o
61090.117372 -21.144  1.267   -13   16 o  0   1.26  96.91088 -54.45669  3480.94  6748.46 2.49 2.14 -66.1 -0.420 19.11 21.10 04a61090o0227o
61090.132041 -20.668  0.786   -20   15 o  0   1.21  96.91088 -54.45669  3464.05  6865.58 2.37 2.02 -70.8 -0.432 19.13 20.99 04a61090o0258o
61091.858992  22.503  2.400     4    9 c  0   1.15  96.91088 -54.45669  5529.45  9250.81 2.52 2.15 -54.3 -0.397 19.81 22.31 03a61092o0159c
61091.862233 -21.083  0.633   -13    8 c  0   1.03  96.91088 -54.45669  5545.69  9289.72 2.54 2.21 -56.7 -0.391 19.82 22.26 03a61092o0166c
61091.867221  22.174  1.676     5    8 c  0   0.87  96.91088 -54.45669  5496.45  9210.23 2.48 2.19 -55.9 -0.393 19.80 22.24 03a61092o0177c
61091.878743 -22.799  3.053    -3    8 c  0   1.41  96.91088 -54.45669  5477.75  9326.15 2.48 2.17 -59.7 -0.396 19.81 22.16 03a61092o0202c
61093.109426  20.960  1.125    15   17 o  0   0.89  96.91088 -54.45669  5702.46  9204.62 2.32 1.96 -66.2 -0.416 19.14 20.98 04a61093o0209o
61093.112262  21.351  1.667    10   17 o  0   1.26  96.91088 -54.45669  5721.36  9244.00 2.25 1.96 -59.3 -0.426 19.05 20.95 04a61093o0215o
