###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61085.413417 -20.828  0.772   -17   13 o  0   1.25 136.66492  19.33809   282.30   233.27 2.20 1.78 -59.9 -0.464 19.38 21.01 02a61085o0433o
61085.417209  20.687  0.667    19   13 o  0   0.79 136.66492  19.33809   262.51   191.62 2.12 1.74 -62.5 -0.471 19.48 21.12 02a61085o0440o
61085.422325  22.911  4.300     2   11 o  0   1.86 136.66492  19.33809   324.29   271.64 2.21 1.80 -62.5 -0.466 19.40 21.07 02a61085o0451o
61085.424750 -21.472  1.682    -9   16 o  0   1.31 136.66492  19.33809  6524.15 10450.22 2.21 2.00 -61.3 -0.454 19.37 20.99 02a61085o0456o
61085.425201  21.907  2.613     6   16 o  0   1.22 136.66492  19.33809 10501.65   270.95 2.33 1.35 -63.1 -0.569 19.49 21.17 02a61085o0457o
61085.430841  23.311  7.375     2   13 o  0   2.38 136.66492  19.33809 10479.81   230.46 2.29 1.35 -63.8 -0.607 19.49 21.16 02a61085o0468o
61085.431294 -21.658  1.571    -8   12 o  0   1.45 136.66492  19.33809  6504.07 10410.66 2.18 2.01 -59.5 -0.447 19.48 21.15 02a61085o0469o
61085.432752 -21.195  0.864   -12   10 o  0   1.33 136.66492  19.33809   342.01   152.83 2.08 1.72 -66.0 -0.479 19.47 21.16 02a61085o0472o
61085.435466  20.322  0.711    27   19 o  0   1.74 136.66492  19.33809  6558.65 10489.09 2.16 1.95 -65.3 -0.454 19.46 21.15 02a61085o0478o
61085.469372 -21.057  0.947   -14   13 o  0   1.08 136.66492  19.33809  6564.13 10369.26 2.28 1.98 -59.8 -0.448 19.37 21.01 02a61085o0546o
61090.415479 -22.841  3.500    -3    9 c  0   1.12 136.66492  19.33809  8407.60  6233.52 3.17 2.91  34.3 -0.346 19.68 21.72 01a61090o0442c
61090.421979 -23.682  6.857    -1    8 c  0   1.58 136.66492  19.33809  8427.33  6271.01 3.19 3.05  42.0 -0.345 19.63 21.71 01a61090o0456c
61090.425176 -21.863  1.179    -6    8 c  0   1.53 136.66492  19.33809  8369.15  6193.49 3.20 2.92  41.1 -0.344 19.67 21.71 01a61090o0463c
61090.437453  21.287  0.815    11    9 c  0   1.31 136.66492  19.33809  8347.05  6307.51 3.14 2.99  46.6 -0.352 19.65 21.69 01a61090o0488c
61091.430569  21.273  1.238    11   14 o  0   1.23 136.66492  19.33809  2170.90  4362.66 2.71 2.21  22.8 -0.423 19.18 21.01 02a61091o0004o
61091.462314 -23.305 14.500    -2   25 o  0   1.04 136.66492  19.33809  2183.29  4243.86 2.30 2.18  33.1 -0.445 18.50 20.04 02a61091o0063o
61092.351051 -23.914 13.625    -1   13 o  0   1.10 136.66492  19.33809  4262.18  8669.22 2.10 2.03 -48.3 -0.434 19.39 20.89 02a61092o0278o
61096.360163 -21.015  1.018   -14   14 o  0   1.09 136.66492  19.33809  8554.09   340.24 2.45 2.35 -47.5 -0.460 19.28 20.29 01a61096o0302o
61096.368916 -20.245  0.470   -29   14 o  0   1.42 136.66492  19.33809  8529.47   300.86 2.44 2.35 -42.3 -0.449 19.24 20.24 01a61096o0321o
61096.389623  20.317  0.541    27   15 o  0   1.13 136.66492  19.33809  2026.11 10207.15 2.56 2.33  87.5 -0.424 19.27 20.27 01a61096o0364o
61096.392863  21.140  1.059    13   14 o  0   1.25 136.66492  19.33809  5903.20    36.69 2.46 2.41  78.9 -0.446 19.27 20.27 01a61096o0371o
61096.393362 -22.338  3.909    -4   16 o  0   0.79 136.66492  19.33809  2007.81 10324.38 2.58 2.38 -89.5 -0.426 19.30 20.27 01a61096o0372o
61096.396559  22.927  5.500     2   14 o  0   1.22 136.66492  19.33809  5923.47    74.67 2.45 2.36  52.7 -0.443 19.29 20.28 01a61096o0379o
61096.430471 -22.594  3.870    -3   13 o  0   1.01 136.66492  19.33809  5846.81   107.94 2.48 2.39  79.6 -0.440 19.22 20.49 01a61096o0444o
61103.399450 -17.956  1.974  -238  471 o  0   1.73 136.66492  19.33809   268.99  8317.86 2.09 2.04  30.6 -0.517 16.27 16.31 02a61103o0407o
61103.402633 -17.343  0.886  -419  372 o  0   2.11 136.66492  19.33809   248.83  8279.81 2.22 1.95  37.0 -0.485 16.53 16.57 02a61103o0414o
61103.407998 -17.717  1.484  -297  441 o  0   1.28 136.66492  19.33809   305.73  8357.66 2.13 2.04  11.4 -0.493 16.43 16.44 02a61103o0425o
61103.410280  16.528  0.811   889  720 o  0   1.66 136.66492  19.33809 10296.34  8362.28 2.40 2.28 -72.1 -0.564 16.00 16.11 02a61103o0430o
61103.413739  18.244  4.525   183  828 o  0   1.01 136.66492  19.33809 10272.30  8323.38 2.36 2.12 -78.7 -0.662 16.28 16.35 02a61103o0437o
61103.417915 -16.243  0.569 -1156  658 o  0   1.13 136.66492  19.33809   322.89  8240.98 2.15 2.01  11.0 -0.576 16.15 16.16 02a61103o0446o
61103.419754 -16.183  1.460 -1222 1783 o  0   1.16 136.66492  19.33809 10329.94  8403.25 2.42 2.19 -84.5 -0.635 15.49 15.60 02a61103o0450o
61103.429871  18.136  4.518   202  913 o  0   1.75 136.66492  19.33809 10346.67  8286.54 2.45 2.18 -70.4 -0.724 15.72 15.76 02a61103o0472o
61104.386266  20.257  0.707    29   20 o  0   0.98 136.66492  19.33809  4320.11  1996.72 2.07 1.90  37.0 -0.448 18.90 19.56 02a61104o0376o
61104.391492 -21.418  2.012   -10   20 o  0   1.31 136.66492  19.33809  4298.43  1955.64 2.13 2.00  42.0 -0.435 18.80 19.56 02a61104o0387o
61104.394715 -21.224  1.515   -12   18 o  0   1.07 136.66492  19.33809  4359.22  2033.48 2.09 1.99  42.5 -0.435 18.82 19.56 02a61104o0394o
61104.409123  21.852  3.250     7   21 o  0   1.19 136.66492  19.33809  4378.95  1919.16 2.15 1.98  37.5 -0.443 18.81 19.54 02a61104o0425o
61105.378391 -20.368  0.713   -26   18 o  0   0.80 136.66492  19.33809  4320.01  1992.69 2.13 1.97  37.1 -0.442 19.05 19.95 02a61105o0358o
61105.383665  23.082  7.421     2   16 o  0   1.61 136.66492  19.33809  4297.88  1952.48 2.10 1.93  37.3 -0.441 19.05 19.94 02a61105o0369o
61105.389498  20.055  0.444    34   15 o  0   1.35 136.66492  19.33809  4358.35  2032.13 2.15 1.96  39.2 -0.442 19.02 19.92 02a61105o0381o
61105.400903  21.638  2.081     8   17 o  0   1.09 136.66492  19.33809  4379.61  1918.12 2.08 1.89  35.5 -0.445 19.04 19.89 02a61105o0405o
61108.382719  23.919  9.875     1   10 o  0   1.53 136.66492  19.33809  2325.49  6059.50 2.57 2.27  48.3 -0.426 19.62 20.96 01a61108o0356o
61108.385349 -20.780  0.619   -18   11 c  0   1.24 136.66492  19.33809  8216.60  4540.14 2.46 2.40  44.7 -0.396 19.51 21.68 02a61108o0373c
61108.386144 -22.940  3.950    -2   10 o  0   1.19 136.66492  19.33809  2344.16  6098.14 2.59 2.23  49.6 -0.421 19.60 20.95 01a61108o0362o
61108.388580  20.825  0.682    17   12 c  0   1.09 136.66492  19.33809  8198.85  4503.29 2.49 2.41  45.4 -0.393 19.43 21.59 02a61108o0380c
61108.391350 -21.347  1.058   -10   11 c  0   1.40 136.66492  19.33809  8255.32  4578.79 2.43 2.37  55.3 -0.395 19.40 21.58 02a61108o0386c
61108.394605 -22.431  2.923    -4   11 c  0   1.57 136.66492  19.33809  8276.06  4464.97 2.48 2.37  39.5 -0.393 19.44 21.54 02a61108o0393c
