###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61084.247577  18.810  0.199   109   22 o  0   6.49 193.45112 -39.69710  6974.71  7925.35 2.29 1.98 -60.1 -0.454 19.27 20.96 04a61084o0495o
61084.250357  19.245  0.288    73   21 o  0   2.66 193.45112 -39.69710  6954.00  7887.35 2.19 2.02 -63.3 -0.446 19.24 20.99 04a61084o0501o
61084.256260  19.165  0.353    78   28 o  0   2.88 193.45112 -39.69710  7014.45  7964.80 2.27 2.03 -54.0 -0.449 19.19 20.95 04a61084o0513o
61084.281807  19.695  0.553    48   27 o  0   0.66 193.45112 -39.69710  7035.19  7852.00 2.21 2.02 -50.2 -0.468 19.17 20.91 04a61084o0563o
61085.259358  18.708  0.243   119   29 o  0   4.34 193.45112 -39.69710  6979.10  7927.76 2.15 2.01 -47.9 -0.464 19.14 20.66 04a61085o0520o
61085.272547  20.839  1.409    17   24 o  0   3.80 193.45112 -39.69710  6956.54  7897.59 2.19 1.96 -60.8 -0.441 19.20 20.75 04a61085o0546o
61085.276298  20.904  1.864    16   29 o  0   4.34 193.45112 -39.69710  7017.14  7974.50 2.26 1.94 -58.1 -0.467 19.15 20.76 04a61085o0554o
61085.281784  19.760  0.463    45   21 o  0   1.64 193.45112 -39.69710  7039.52  7853.15 2.10 1.95 -57.0 -0.458 19.20 20.76 04a61085o0565o
61087.266441  19.507  0.351    57   20 o  0   1.79 193.45112 -39.69710  5892.74  2138.82 2.16 2.13 -86.6 -0.459 19.25 20.90 04a61087o0538o
61087.269415 -25.063 56.000    -0   19 o  0   2.01 193.45112 -39.69710  5872.65  2101.51 2.12 2.09 -61.6 -0.464 19.25 20.90 04a61087o0544o
61087.276908  24.964 64.500     0   24 o  0   2.51 193.45112 -39.69710  5926.57  2183.61 2.17 2.08 -79.5 -0.474 19.23 20.90 04a61087o0560o
61087.287189 -19.707  0.500   -48   24 o  0   1.90 193.45112 -39.69710  5943.83  2068.45 2.16 2.12 -15.3 -0.480 19.24 20.89 04a61087o0582o
