###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61084.530812 -19.479  0.493   -59   29 o  0   4.75 210.91275 -33.97850  7388.36  1746.28 3.13 2.86 -63.1 -0.409 18.73 20.27 02a61084o0680o
61084.539092  20.613  0.938    21   19 o  0  22.62 210.91275 -33.97850  7408.31  1784.97 2.17 2.00 -68.9 -0.437 19.14 20.38 02a61084o0698o
61084.541824 -20.509  1.025   -23   23 o  0  17.31 210.91275 -33.97850  7346.72  1706.26 2.24 2.15 -54.0 -0.425 19.10 20.42 02a61084o0704o
61084.552673 -19.307  0.342   -69   24 o  0  15.16 210.91275 -33.97850  7325.33  1822.38 2.05 1.96 -74.8 -0.429 19.26 20.58 02a61084o0727o
61086.287170 -20.948  2.011   -15   30 o  0   8.63 210.91275 -33.97850  1236.87  3006.62 2.18 2.00  51.2 -0.425 18.94 20.26 04a61086o0581o
61086.290357  19.621  0.609    52   31 o  0   7.90 210.91275 -33.97850  1217.12  2967.67 2.15 1.92  54.0 -0.428 18.97 20.25 04a61086o0588o
61086.296043 -18.675  0.231  -123   28 o  0   7.95 210.91275 -33.97850  1275.70  3047.73 2.19 2.00  57.2 -0.426 18.96 20.27 04a61086o0600o
61086.309052  21.188  1.944    12   24 o  0  20.10 210.91275 -33.97850  1293.03  2932.85 2.20 1.98  53.8 -0.427 19.00 20.37 04a61086o0626o
61089.492832  18.073  0.120   214   26 o  0   5.53 210.91275 -33.97850  7421.59  3977.56 3.02 2.88  54.7 -0.408 18.90 20.50 02a61089o0543o
61089.509251  18.237  0.143   184   26 o  0   3.48 210.91275 -33.97850  7433.10  4014.39 3.26 3.13  82.1 -0.417 18.81 20.58 02a61089o0578o
61089.512931  17.979  0.116   234   27 o  0   5.14 210.91275 -33.97850  7373.83  3936.03 3.33 3.24  23.8 -0.423 18.77 20.59 02a61089o0586o
61089.519317 -18.635  0.227  -128   29 o  0   4.72 210.91275 -33.97850  7353.24  4051.57 3.56 3.46  89.8 -0.472 18.72 20.62 02a61089o0600o
61090.510129  20.150  0.742    32   23 o  0   7.68 210.91275 -33.97850  3562.19  7842.67 2.54 2.46  32.0 -0.407 18.99 20.35 02a61090o0650o
61090.513324  18.063  0.116   216   25 o  0   6.79 210.91275 -33.97850  3580.48  7881.66 2.56 2.39  33.7 -0.406 19.02 20.39 02a61090o0657o
61090.523703 -19.984  0.706   -37   26 o  0   7.55 210.91275 -33.97850  3519.11  7804.45 2.73 2.60  34.3 -0.401 18.95 20.43 02a61090o0679o
61090.530521 -18.195  0.141  -192   27 o  0  12.90 210.91275 -33.97850  3497.21  7920.55 2.61 2.41  33.3 -0.417 19.03 20.44 02a61090o0694o
61091.057650 -17.561  0.042  -343   15 c  0  10.49 210.91275 -33.97850  7036.86  2757.80 2.70 2.45 -57.5 -0.401 19.54 21.69 03a61091o0382c
61091.060957 -17.350  0.049  -417   20 c  0   7.34 210.91275 -33.97850  7020.40  2719.39 2.66 2.44 -56.0 -0.403 19.55 21.68 03a61091o0389c
61091.064583 -17.718  0.051  -297   15 c  0  10.62 210.91275 -33.97850  7077.67  2797.53 2.65 2.40 -56.7 -0.405 19.58 21.67 03a61091o0397c
61091.070169 -17.740  0.040  -291   12 c  0  16.52 210.91275 -33.97850  7102.67  2681.45 2.63 2.37 -57.7 -0.404 19.60 21.67 03a61091o0409c
61092.268436  17.571  0.090   340   30 o  0  17.55 210.91275 -33.97850  1606.31   282.12 2.28 1.93  42.5 -0.456 19.02 20.47 04a61092o0485o
