###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61084.427145  18.519  0.145   142   21 o  0  10.51 154.07854 -33.56366  7421.11   941.59 2.21 1.83 -67.2 -0.450 19.19 20.35 02a61084o0456o
61084.428505 -19.601  0.367   -52   19 o  0  12.89 154.07854 -33.56366  7440.66   980.34 2.31 1.88 -66.5 -0.446 19.17 20.36 02a61084o0459o
61084.433562  18.083  0.084   212   18 o  0  10.42 154.07854 -33.56366  7381.60   900.31 2.16 1.76 -65.1 -0.461 19.24 20.40 02a61084o0470o
61084.446795  18.124  0.103   204   21 o  0   6.18 154.07854 -33.56366  7361.28  1015.48 2.20 1.78 -63.9 -0.460 19.28 20.44 02a61084o0499o
61086.257076  18.122  0.112   205   23 o  0  10.43 154.07854 -33.56366  6226.85  6696.30 2.35 2.02 -49.7 -0.436 19.00 20.46 04a61086o0518o
61086.260578  18.605  0.207   131   27 o  0   7.44 154.07854 -33.56366  6245.70  6735.47 2.37 2.10 -45.5 -0.447 19.00 20.41 04a61086o0525o
61086.265311 -19.274  0.321   -71   23 o  0  13.85 154.07854 -33.56366  6188.22  6657.83 2.23 2.00 -43.4 -0.451 19.02 20.34 04a61086o0535o
61086.301236 -18.848  0.193  -105   20 o  0  13.30 154.07854 -33.56366  6174.76  6778.80 2.17 1.94 -52.5 -0.461 19.02 20.38 04a61086o0610o
61089.424838  20.835  1.200    17   20 o  0   2.73 154.07854 -33.56366  5853.50  3158.39 2.67 2.63  62.4 -0.428 19.14 20.89 02a61089o0395o
61089.426193 -19.718  0.492   -47   23 o  0   2.10 154.07854 -33.56366  5872.66  3197.65 2.96 2.90  74.0 -0.432 19.03 20.89 02a61089o0398o
61089.436244  18.600  0.143   132   19 o  0   3.47 154.07854 -33.56366  5814.13  3120.15 2.94 2.79  85.9 -0.417 19.05 20.90 02a61089o0420o
61089.450618  18.899  0.167   100   17 o  0   4.30 154.07854 -33.56366  4731.16  7317.54 2.73 2.57  40.5 -0.421 19.12 20.98 02a61089o0451o
61090.428688  18.488  0.124   146   18 o  0   5.38 154.07854 -33.56366   420.37  7087.64 2.43 2.26 -52.3 -0.400 19.17 20.69 02a61090o0473o
61090.430044  18.533  0.148   140   21 o  0   5.14 154.07854 -33.56366   440.11  7124.10 2.49 2.30 -53.0 -0.404 19.15 20.68 02a61090o0476o
61090.432758  18.177  0.109   195   21 o  0   8.28 154.07854 -33.56366   381.74  7048.09 2.36 2.15 -51.5 -0.397 19.28 20.75 02a61090o0482o
61090.440083  18.141  0.110   201   22 o  0   6.04 154.07854 -33.56366   360.95  7164.15 2.42 2.18 -58.6 -0.386 19.25 20.74 02a61090o0498o
61090.453439  18.569  0.131   136   18 o  0   9.22 154.07854 -33.56366   217.61  3428.34 2.50 2.35 -58.2 -0.416 19.13 20.75 02a61090o0527o
61090.457100  19.656  0.351    50   18 o  0   7.64 154.07854 -33.56366   197.82  3390.25 2.36 2.21 -58.8 -0.410 19.06 20.64 02a61090o0535o
61090.488965  17.895  0.069   252   17 o  0  13.37 154.07854 -33.56366   247.23  3467.09 2.42 2.22 -62.4 -0.402 19.15 20.63 02a61090o0604o
61090.517628  19.004  0.220    91   20 o  0   5.10 154.07854 -33.56366   261.81  3352.70 2.75 2.57 -60.3 -0.398 18.93 20.53 02a61090o0666o
61090.987589 -19.429  0.186   -61   12 c  0   5.31 154.07854 -33.56366 10265.58  7244.34 2.73 2.36 -58.3 -0.385 19.75 22.13 03a61091o0244c
61090.990300 -19.341  0.184   -67   12 c  0   5.95 154.07854 -33.56366 10285.24  7284.75 2.83 2.31 -62.2 -0.384 19.77 22.11 03a61091o0250c
61091.025556 -20.248  0.415   -29   12 c  0   5.84 154.07854 -33.56366 10234.88  7206.82 2.88 2.42 -55.1 -0.379 19.65 21.93 03a61091o0317c
61091.030270  19.165  0.191    78   15 c  0   3.14 154.07854 -33.56366   425.15  6972.28 2.74 2.45 -55.4 -0.386 19.69 21.93 03a61091o0327c
61091.031894 -18.748  0.099  -115   11 c  0   5.02 154.07854 -33.56366 10215.54  7319.72 3.02 2.46 -56.8 -0.386 19.63 21.88 03a61091o0330c
61091.033502  19.308  0.208    69   14 c  0   3.13 154.07854 -33.56366   444.80  7010.75 2.76 2.51 -55.3 -0.387 19.64 21.91 03a61091o0333c
61091.039447  20.840  0.793    17   13 c  0   3.07 154.07854 -33.56366   390.00  6932.37 2.86 2.57 -60.1 -0.383 19.61 21.87 03a61091o0345c
61091.075017  18.715  0.114   119   14 c  0   4.30 154.07854 -33.56366   370.07  7050.06 2.77 2.43 -47.3 -0.388 19.57 21.68 03a61091o0419c
61092.239322 -20.026  0.662   -35   24 o  0   5.77 154.07854 -33.56366  4352.59  9411.34 2.66 1.93 -72.0 -0.438 19.07 20.67 04a61092o0423o
61092.242077  20.535  1.274    22   28 o  0   3.67 154.07854 -33.56366  4370.94  9448.57 2.62 1.94 -68.1 -0.451 19.05 20.63 04a61092o0429o
