###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61084.158565 -22.750  5.588    -3   16 o  0   1.14 112.03342 -62.35803  2471.58  5862.55 2.28 1.99 -70.8 -0.413 19.20 20.83 04a61084o0306o
61084.161337 -20.976  1.358   -15   20 o  0   0.81 112.03342 -62.35803  2491.54  5900.09 2.33 2.06 -71.9 -0.419 19.19 20.86 04a61084o0312o
61084.167851 -21.235  1.309   -12   15 o  0   1.03 112.03342 -62.35803  2434.90  5825.42 2.27 2.01 -73.7 -0.413 19.23 20.88 04a61084o0326o
61084.177503 -20.017  0.414   -36   15 o  0   1.27 112.03342 -62.35803  2416.99  5943.61 2.27 2.03 -73.0 -0.423 19.21 20.86 04a61084o0347o
61085.149589 -24.241 25.250    -1   18 o  0   0.97 112.03342 -62.35803  2476.77  5863.25 2.40 2.13 -79.6 -0.389 19.15 20.77 04a61085o0289o
61085.152837 -21.134  1.632   -13   21 o  0   0.56 112.03342 -62.35803  2495.69  5901.02 2.41 2.15 -78.9 -0.393 19.10 20.76 04a61085o0296o
61085.158058  20.394  0.655    25   17 o  0   1.08 112.03342 -62.35803  2438.42  5826.33 2.27 2.02 -76.3 -0.405 19.14 20.73 04a61085o0307o
61085.169621 -23.436 10.556    -2   16 o  0   1.36 112.03342 -62.35803  2420.49  5943.17 2.30 1.99 -74.4 -0.402 19.17 20.66 04a61085o0332o
61085.870793  20.869  0.687    16   11 c  0   0.96 112.03342 -62.35803  6387.33  1549.54 3.26 3.02 -61.2 -0.377 19.43 22.12 03a61086o0244c
61085.874407  19.083  0.136    84   12 c  0   2.34 112.03342 -62.35803  6407.12  1589.48 3.43 3.28 -66.2 -0.365 19.40 22.10 03a61086o0252c
61085.880791 -21.511  1.385    -9   12 c  0   1.42 112.03342 -62.35803  6349.33  1508.74 3.07 2.90 -54.4 -0.382 19.55 22.10 03a61086o0266c
61085.891837  21.515  1.136     9   10 c  0   1.32 112.03342 -62.35803  6328.98  1625.55 2.91 2.67 -59.1 -0.387 19.57 22.09 03a61086o0290c
61087.138328  20.552  0.848    22   18 o  0   1.22 112.03342 -62.35803  6309.81  1472.40 2.23 2.18 -56.4 -0.461 19.18 20.88 04a61087o0266o
