###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61084.462573 -20.429  0.667   -24   16 o  0   1.16 145.42850 -28.20249   628.52  9805.79 2.26 1.92 -51.3 -0.494 19.28 20.71 02a61084o0533o
61084.483990  21.573  1.898     8   16 o  0   1.06 145.42850 -28.20249   603.66  9766.94 2.23 1.98 -53.0 -0.492 19.24 20.64 02a61084o0579o
61084.486758 -21.478  2.048    -9   19 o  0   0.90 145.42850 -28.20249   665.23  9850.45 2.36 1.97 -52.7 -0.487 19.19 20.62 02a61084o0585o
61084.515493  21.019  1.215    14   17 o  0   1.28 145.42850 -28.20249   676.48  9726.68 2.29 2.04 -56.8 -0.489 19.09 20.48 02a61084o0647o
61086.199570  23.252 10.100     2   18 o  0   1.00 145.42850 -28.20249  4197.72  6479.71 2.26 1.98 -67.3 -0.438 19.10 20.69 04a61086o0400o
61086.231677  20.096  0.569    33   19 o  0   1.26 145.42850 -28.20249  4223.15  6518.80 2.24 2.00 -65.7 -0.443 19.03 20.46 04a61086o0467o
61086.234424  21.109  1.459    13   19 o  0   0.65 145.42850 -28.20249  4163.31  6441.06 2.22 1.98 -62.2 -0.440 19.06 20.45 04a61086o0473o
61086.254107  22.668  5.688     3   18 o  0   1.13 145.42850 -28.20249  4147.01  6558.32 2.34 2.03 -70.2 -0.434 19.03 20.42 04a61086o0512o
61087.944289  19.817  5.545    43  238 c  0   1.31 145.42850 -28.20249  4153.38  2931.13 2.55 2.35 -49.3 -0.385 16.03 18.07 03a61088o0064c
61089.452444 -22.912  4.769    -2   12 o  0   1.50 145.42850 -28.20249  6436.88  7622.18 2.76 2.52  48.5 -0.424 19.23 21.09 02a61089o0455o
61089.456058 -20.544  0.717   -22   16 o  0   1.06 145.42850 -28.20249  6415.98  7580.56 2.81 2.67  47.8 -0.429 19.16 21.05 02a61089o0463o
61089.461562  20.496  0.592    23   14 o  0   1.65 145.42850 -28.20249  6474.79  7661.38 2.63 2.42  42.4 -0.433 19.28 21.05 02a61089o0475o
61089.496199 -20.586  0.673   -21   14 o  0   1.31 145.42850 -28.20249  6483.14  7544.42 2.76 2.50  42.3 -0.422 19.16 20.90 02a61089o0550o
61090.450270  23.764 13.000     1   15 o  0   0.81 145.42850 -28.20249  2211.93  3712.90 2.25 2.09  44.0 -0.437 19.24 20.87 02a61090o0520o
61090.452987  21.140  1.080    13   14 o  0   1.33 145.42850 -28.20249  2190.82  3674.32 2.31 2.17  45.5 -0.429 19.20 20.89 02a61090o0526o
61090.488511  22.734  4.550     3   13 o  0   1.56 145.42850 -28.20249  2241.34  3750.94 2.32 2.22  36.4 -0.435 19.19 20.67 02a61090o0603o
61090.517174  20.802  1.089    17   19 o  0   1.14 145.42850 -28.20249  2257.04  3635.85 2.83 2.75  51.2 -0.417 18.86 20.50 02a61090o0665o
61090.939173  21.346  0.739    10    8 c  0   1.59 145.42850 -28.20249  8272.37  6914.22 2.65 2.23 -56.5 -0.390 19.82 22.14 03a61091o0146c
61090.941883 -21.331  0.765   -11    8 c  0   1.16 145.42850 -28.20249  8292.35  6953.37 2.69 2.26 -62.5 -0.392 19.80 22.14 03a61091o0152c
61090.947472 -21.731  1.095    -7    8 c  0   1.33 145.42850 -28.20249  8238.02  6875.79 2.82 2.41 -60.5 -0.390 19.73 22.13 03a61091o0164c
61090.983967 -21.782  1.293    -7    9 c  0   1.20 145.42850 -28.20249  8225.42  6992.72 2.77 2.38 -59.0 -0.389 19.72 22.09 03a61091o0236c
61092.191509  20.683  0.784    19   15 o  0   0.97 145.42850 -28.20249  2110.88  9217.59 2.69 1.93 -71.2 -0.404 19.17 20.84 04a61092o0327o
61092.197196  20.928  1.139    16   18 o  0   0.98 145.42850 -28.20249  2127.84  9256.87 2.65 1.96 -71.6 -0.415 19.18 20.80 04a61092o0339o
