###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61084.310562  20.835  1.236    17   21 o  0   0.89  47.79900  -8.46956  6802.35  7405.28 2.22 2.10  54.1 -0.436 19.02 20.00 02a61084o0203o
61084.314207 -20.352  0.809   -26   21 o  0   0.68  47.79900  -8.46956  6781.61  7365.93 2.21 2.07  56.2 -0.438 18.99 19.97 02a61084o0211o
61084.323790  20.020  0.474    36   17 o  0   1.38  47.79900  -8.46956  6842.21  7443.95 2.19 2.05  49.2 -0.443 19.04 20.00 02a61084o0232o
61084.337135 -21.217  1.838   -12   22 o  0   0.88  47.79900  -8.46956  6860.12  7326.82 2.15 2.06  60.6 -0.443 18.85 19.78 02a61084o0261o
61088.217689 -19.324  0.341   -68   23 c  0   1.05  47.79900  -8.46956  8157.57  5388.30 3.45 3.10  42.9 -0.315 18.57 19.41 01a61088o0024c
61088.223172 -20.626  0.560   -20   11 c  0   1.62  47.79900  -8.46956  8177.04  5430.57 3.28 2.94  42.3 -0.331 19.16 20.55 01a61088o0036c
61088.229578  21.047  0.734    14   10 c  0   1.33  47.79900  -8.46956  8118.31  5353.21 3.22 2.94  46.5 -0.344 19.39 21.04 01a61088o0050c
61088.249246  20.907  0.707    16   11 c  0   1.12  47.79900  -8.46956  8090.26  5467.87 3.13 2.90  57.9 -0.350 19.50 21.20 01a61088o0093c
61089.309467 -21.402  2.290   -10   23 o  0   1.17  47.79900  -8.46956  2423.74  5191.41 3.35 3.33  21.1 -0.374 18.66 20.48 02a61089o0180o
61089.320910 -20.313  0.802   -27   22 o  0   1.23  47.79900  -8.46956  2445.26  5075.15 3.45 3.29   7.6 -0.437 18.62 20.44 02a61089o0205o
61090.262731  21.038  1.018    14   14 o  0   1.15  47.79900  -8.46956  2152.35  1268.83 2.19 2.00 -64.7 -0.463 19.29 20.59 02a61090o0112o
61090.266415 -22.446  4.037    -4   15 o  0   1.11  47.79900  -8.46956  2135.08  1229.54 2.28 2.10 -67.3 -0.455 19.21 20.60 02a61090o0120o
61090.275578 -20.183  0.466   -31   14 o  0   1.09  47.79900  -8.46956  2193.71  1309.29 2.21 2.07 -68.9 -0.455 19.23 20.61 02a61090o0140o
61090.285801 -20.302  0.521   -28   14 o  0   1.06  47.79900  -8.46956  2213.45  1189.77 2.48 2.30 -64.4 -0.443 19.11 20.59 02a61090o0162o
61096.261864  21.004  1.440    14   21 o  0   1.27  47.79900  -8.46956  4854.74  7495.84 2.18 1.97  46.5 -0.448 18.83 19.51 02a61096o0100o
61096.265991  22.159  3.925     5   20 o  0   1.14  47.79900  -8.46956  4835.37  7457.78 2.23 1.94  43.4 -0.439 18.79 19.49 02a61096o0109o
61096.273777 -21.339  1.927   -11   20 o  0   1.61  47.79900  -8.46956  4895.81  7534.75 2.28 1.97  42.1 -0.436 18.74 19.45 02a61096o0126o
61096.286119 -21.975  3.531    -6   21 o  0   1.59  47.79900  -8.46956  4916.31  7416.39 2.06 1.98  69.2 -0.441 18.69 19.36 02a61096o0153o
61101.018419 -20.474  1.583   -24   37 o  0   1.23  47.79900  -8.46956  5655.79  1099.41 2.36 2.23 -43.0 -0.425 18.19 18.93 04a61101o0037o
61101.023866 -23.335 20.286    -2   34 o  0   1.75  47.79900  -8.46956  5674.67  1138.44 2.30 2.25 -56.9 -0.447 18.17 18.96 04a61101o0049o
61101.026627 -20.921  2.565   -16   40 o  0   0.99  47.79900  -8.46956  5616.09  1062.86 2.42 2.27 -36.6 -0.421 18.19 18.98 04a61101o0055o
61101.036788 -20.112  1.200   -33   39 o  0   1.16  47.79900  -8.46956  5598.72  1181.93 2.36 2.26 -31.8 -0.439 18.15 18.90 04a61101o0077o
61101.779434  19.647  0.581    50   29 o  0   1.32  47.79900  -8.46956 10105.63  5444.97 2.64 2.16 -62.9 -0.373 18.35 18.91 03a61102o0079o
61101.784415 -20.087  0.910   -34   30 o  0   1.20  47.79900  -8.46956 10123.13  5484.42 2.71 2.20 -60.7 -0.372 18.31 18.87 03a61102o0090o
61101.799119  21.275  3.300    11   37 o  0   0.75  47.79900  -8.46956 10066.49  5403.53 2.61 2.14 -62.6 -0.379 18.23 18.71 03a61102o0122o
61101.801831 -19.549  0.598   -55   33 o  0   1.25  47.79900  -8.46956 10041.93  5517.85 2.65 2.14 -61.1 -0.385 18.18 18.68 03a61102o0128o
61104.757568 -20.627  1.204   -20   24 o  0   1.42  47.79900  -8.46956  9992.16  1558.96 2.42 2.03 -61.7 -0.415 18.70 19.28 03a61105o0035o
61104.762540 -22.163  4.200    -5   21 o  0   1.06  47.79900  -8.46956 10010.89  1598.67 2.42 1.99 -64.0 -0.418 18.83 19.51 03a61105o0046o
61104.765268  24.816 50.333     0   22 o  0   1.27  47.79900  -8.46956  9956.54  1518.32 2.41 2.00 -66.4 -0.426 18.83 19.52 03a61105o0052o
61104.779730 -21.154  1.767   -12   22 o  0   1.46  47.79900  -8.46956  9932.05  1635.45 2.42 2.02 -63.7 -0.415 18.67 19.29 03a61105o0084o
61106.224106 -17.861  0.666  -260  173 o  0   1.16  47.79900  -8.46956  3832.22  5136.78 2.89 2.40  50.9 -0.410 16.92 17.30 01a61106o0023o
61106.231556  21.419  2.080    10   20 o  0   0.98  47.79900  -8.46956  3769.01  5060.82 2.69 2.34  54.4 -0.425 18.80 19.77 01a61106o0039o
61106.245871 -20.653  0.835   -20   17 o  0   1.28  47.79900  -8.46956  3739.01  5174.46 2.61 2.36  62.2 -0.424 19.03 20.07 01a61106o0070o
