###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61084.275735 -22.008  3.116    -6   18 o  0   0.96  53.45058 -19.49570   501.62  6327.20 2.21 2.08  77.7 -0.414 19.03 20.08 02a61084o0127o
61084.283973  19.772  0.491    45   22 o  0   6.47  53.45058 -19.49570   480.94  6285.29 2.17 2.06  62.0 -0.410 18.98 20.01 02a61084o0145o
61084.287642  21.174  1.588    12   20 o  0   1.01  53.45058 -19.49570   539.58  6365.28 2.15 2.08  78.7 -0.411 19.00 20.00 02a61084o0153o
61084.298660 -23.179  9.188    -2   18 o  0   1.26  53.45058 -19.49570   561.56  6248.22 2.10 2.02  77.1 -0.410 18.95 19.93 02a61084o0177o
61084.789549  22.669  3.650     3   11 c  0   0.91  53.45058 -19.49570 10050.03  4354.73 2.75 2.16 -65.3 -0.382 19.60 21.65 03a61085o0048c
61084.792727  22.615  3.300     3   11 c  0   1.09  53.45058 -19.49570 10066.58  4392.20 2.84 2.20 -65.6 -0.378 19.58 21.68 03a61085o0055c
61084.805989  22.302  2.522     4   11 c  0   1.12  53.45058 -19.49570 10013.76  4313.25 2.99 2.39 -64.5 -0.378 19.45 21.63 03a61085o0084c
61084.812333 -20.479  0.483   -23   11 c  0   1.38  53.45058 -19.49570  9991.74  4429.73 2.97 2.40 -62.3 -0.383 19.46 21.61 03a61085o0098c
61086.051625 -21.863  2.889    -6   19 o  0   1.30  53.45058 -19.49570  1739.45  9987.50 2.86 2.04 -71.8 -0.410 18.97 20.35 04a61086o0083o
61086.054530  20.965  1.508    15   22 o  0   1.06  53.45058 -19.49570  1756.08 10025.20 2.97 2.08 -74.6 -0.396 18.96 20.31 04a61086o0089o
61086.073872  22.063  4.750     5   26 o  0   0.77  53.45058 -19.49570  1699.72  9952.07 2.83 2.01 -75.4 -0.410 18.91 20.14 04a61086o0130o
61086.079921  21.837  3.032     7   20 o  0   1.27  53.45058 -19.49570  1678.57 10069.98 2.77 1.93 -70.7 -0.406 18.93 20.23 04a61086o0143o
61087.316500 -21.122  1.595   -13   21 c  0   1.18  53.45058 -19.49570  1705.97 10032.34 3.51 3.25  81.1 -0.312 18.86 20.55 01a61087o0008c
61087.320666 -20.856  1.059   -16   18 c  0   1.39  53.45058 -19.49570  1720.76 10070.05 3.33 3.08  87.1 -0.330 19.05 20.70 01a61087o0017c
61087.326604 -20.681  0.928   -19   18 c  0   1.17  53.45058 -19.49570  1659.45  9991.62 3.29 3.02 -89.7 -0.334 18.85 20.37 01a61087o0030c
61087.339851 -15.614  0.495 -2063 1020 c  0   1.11  53.45058 -19.49570  1631.97 10111.32 3.31 3.06 -68.1 -0.301 16.02 17.50 01a61087o0059c
61089.314947  21.425  2.100    10   20 o  0   1.14  53.45058 -19.49570  4893.39  4073.56 2.93 2.85   6.8 -0.427 18.87 20.57 02a61089o0192o
61090.274658 -21.334  2.529   -11   27 o  0   0.85  53.45058 -19.49570  6146.38 10471.61 2.45 2.27 -67.0 -0.430 19.20 20.63 02a61090o0138o
