###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61085.256491  20.902  1.000    16   16 o  0   1.76  37.49987  28.63419  2548.17  8096.93 2.10 2.08 -13.8 -0.432 19.23 20.47 02a61085o0098o
61085.259704  19.688  0.387    48   19 o  0   1.84  37.49987  28.63419  2528.94  8058.36 2.19 2.16 -29.4 -0.430 19.15 20.47 02a61085o0105o
61085.265236  19.589  0.317    53   17 o  0   2.28  37.49987  28.63419  2587.71  8132.95 2.13 2.09 -14.3 -0.426 19.22 20.48 02a61085o0117o
61085.274878  20.288  0.507    28   14 o  0   3.34  37.49987  28.63419  2608.62  8016.24 2.12 2.09 -36.5 -0.426 19.15 20.46 02a61085o0138o
61086.253022  19.202  0.305    76   23 o  0   1.57  37.49987  28.63419  3302.91  2278.42 2.02 2.02 -78.9 -0.443 18.65 19.74 02a61086o0094o
61086.256366 -20.136  1.072   -32   34 o  0   1.27  37.49987  28.63419  3285.96  2237.63 1.96 1.89 -56.6 -0.448 18.19 19.23 02a61086o0101o
61086.261360 -19.205  0.268   -76   20 o  0   2.10  37.49987  28.63419  3345.12  2313.60 2.07 2.02 -87.6 -0.443 18.80 20.00 02a61086o0112o
61090.251932  19.563  0.229    54   12 c  0   1.65  37.49987  28.63419  1331.29  8553.09 3.26 3.05  69.0 -0.356 19.42 21.20 01a61090o0092c
61090.256524  21.553  1.220     9   11 c  0   2.21  37.49987  28.63419  1347.92  8591.54 3.08 2.95  62.1 -0.366 19.45 21.21 01a61090o0102c
61090.264331  20.723  0.602    19   11 c  0   1.84  37.49987  28.63419  1287.62  8510.63 3.04 2.92  72.5 -0.375 19.48 21.21 01a61090o0119c
61090.276692  21.739  1.634     7   12 c  0   1.58  37.49987  28.63419  1260.91  8627.00 3.06 2.96  79.6 -0.372 19.51 21.22 01a61090o0146c
61092.220138 -20.678  1.427   -19   28 o  0   2.13  37.49987  28.63419  7386.08  9779.26 2.37 2.28  57.5 -0.436 18.54 19.45 02a61092o0003o
61092.222853  22.985  9.562     2   22 o  0   1.40  37.49987  28.63419  7366.59  9739.93 2.32 2.27 -81.2 -0.438 18.91 20.05 02a61092o0009o
61092.231497  20.825  1.113    17   19 o  0   1.48  37.49987  28.63419  7418.98  9817.94 2.41 2.18 -57.0 -0.440 19.11 20.36 02a61092o0028o
61092.245417 -19.572  0.778   -54   42 o  0   1.11  37.49987  28.63419  7435.92  9700.97 2.52 2.17 -56.9 -0.445 18.33 19.53 02a61092o0055o
61096.250230 -22.172  4.100    -5   20 o  0   1.53  37.49987  28.63419  9883.40  2303.49 2.44 2.35 -45.2 -0.424 18.85 19.38 01a61096o0077o
61096.253425 -21.277  1.944   -11   22 o  0   1.27  37.49987  28.63419  9902.52  2344.25 2.54 2.18 -62.1 -0.464 18.90 19.35 01a61096o0084o
61096.260812 -20.306  0.799   -27   22 o  0   1.20  37.49987  28.63419  9843.22  2269.53 2.66 2.45 -60.7 -0.425 18.74 19.32 01a61096o0100o
61096.270962  19.707  0.472    48   22 o  0   1.58  37.49987  28.63419  9821.55  2389.06 2.57 2.41 -61.8 -0.422 18.76 19.26 01a61096o0122o
61099.228004 -20.109  0.808   -33   26 o  0   1.57  37.49987  28.63419  1434.41  4336.55 2.04 1.98  55.9 -0.464 18.64 19.20 02a61099o0031o
61099.231686 -21.059  1.861   -14   26 o  0   3.12  37.49987  28.63419  1415.82  4297.59 2.11 2.04  60.8 -0.456 18.60 19.13 02a61099o0039o
61099.237146 -21.018  1.948   -14   28 o  0   1.26  37.49987  28.63419  1475.58  4372.36 2.10 1.92 -64.8 -0.469 18.55 19.07 02a61099o0051o
61099.247864 -19.793  0.633   -44   28 o  0   0.88  37.49987  28.63419  1493.45  4252.62 2.07 1.90 -65.7 -0.475 18.65 19.27 02a61099o0074o
61103.229495 -20.628  2.196   -20   45 o  0   1.47  37.49987  28.63419  6332.99  5958.29 2.44 2.31  42.3 -0.433 18.05 18.60 02a61103o0038o
