###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61084.275268 -23.009  6.765    -2   15 o  0   1.58  59.30354 -25.40338  3316.17  5088.37 2.35 1.95  45.4 -0.446 19.05 20.12 02a61084o0126o
61084.284880  22.328  5.733     4   24 o  0   0.82  59.30354 -25.40338  3295.74  5048.50 2.16 1.93  60.3 -0.453 18.92 19.97 02a61084o0147o
61084.288105 -19.853  0.425   -42   18 o  0   1.32  59.30354 -25.40338  3353.88  5126.04 2.31 1.96  43.8 -0.441 18.98 20.05 02a61084o0154o
61084.303209  21.282  1.702    11   19 o  0   1.15  59.30354 -25.40338  3373.23  5014.30 2.32 1.97  44.5 -0.432 19.00 19.98 02a61084o0187o
61084.806889   0.000 21.307    -0   11 c  0   0.99  59.30354 -25.40338  7218.20  5524.37 2.90 2.51 -54.7 -0.396 19.56 21.78 03a61085o0086c
61084.810045   0.000 21.374     0   10 c  0   1.21  59.30354 -25.40338  7236.43  5564.60 2.88 2.50 -53.7 -0.398 19.54 21.77 03a61085o0093c
61084.815502 -24.448 17.333    -1   10 c  0   0.83  59.30354 -25.40338  7181.77  5486.33 2.93 2.53 -53.3 -0.395 19.53 21.77 03a61085o0105c
61084.837529  17.355  1.095   415  454 c  0   1.10  59.30354 -25.40338  7163.30  5597.05 2.86 2.44 -56.8 -0.400 15.21 17.30 03a61085o0153c
61086.054981 -20.596  1.099   -21   23 o  0   1.12  59.30354 -25.40338  5892.63  1061.80 2.36 2.29 -48.3 -0.431 18.98 20.39 04a61086o0090o
61086.058347  21.526  1.766     9   16 o  0   1.42  59.30354 -25.40338  5912.62  1102.26 2.26 2.12 -50.5 -0.450 18.98 20.36 04a61086o0097o
61086.065295 -20.038  0.415   -35   14 o  0   1.60  59.30354 -25.40338  5852.60  1023.21 2.12 2.04 -36.2 -0.449 19.07 20.36 04a61086o0112o
