###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61084.567291 -19.725  0.303   -47   14 o  0   1.06 231.20472 -21.38937   882.86  7899.72 2.11 1.93 -39.4 -0.446 19.23 20.47 02a61084o0759o
61084.570007 -21.168  0.931   -12   12 o  0   1.42 231.20472 -21.38937   900.20  7938.04 2.10 1.97 -20.0 -0.446 19.25 20.53 02a61084o0765o
61084.578209  24.740 23.000     0   11 o  0   2.97 231.20472 -21.38937   840.15  7860.74 2.05 1.92 -28.1 -0.444 19.25 20.56 02a61084o0783o
61084.591853 -19.905  0.387   -40   15 o  0   1.09 231.20472 -21.38937   816.41  7976.40 2.21 2.07 -17.5 -0.429 19.21 20.57 02a61084o0813o
61086.322162 -19.863  0.624   -41   26 o  0   1.24 231.20472 -21.38937  9384.45  7037.67 2.27 2.13 -35.7 -0.457 18.89 20.16 04a61086o0654o
61086.325385  20.720  0.967    19   18 o  0   2.03 231.20472 -21.38937  9365.51  6999.47 2.29 2.10 -22.2 -0.445 18.90 20.14 04a61086o0661o
61086.340722 -20.536  0.807   -22   18 o  0   1.28 231.20472 -21.38937  9423.07  7079.44 2.31 2.13 -26.8 -0.447 18.92 20.20 04a61086o0692o
61086.346270 -21.563  2.659    -9   23 o  0   0.81 231.20472 -21.38937  9444.66  6963.01 2.29 2.15 -23.2 -0.443 18.93 20.19 04a61086o0704o
61089.552219 -20.369  0.773   -26   20 o  0   0.97 231.20472 -21.38937  1622.12 10130.34 2.83 2.49 -49.0 -0.449 18.98 20.52 02a61089o0671o
61089.557274 -19.858  0.645   -41   27 o  0   0.93 231.20472 -21.38937  1637.61 10170.35 3.87 3.47 -49.4 -0.461 18.66 20.51 02a61089o0682o
61089.559997 -19.442  0.311   -61   19 o  0   1.38 231.20472 -21.38937  1579.78 10091.95 3.30 2.90 -49.6 -0.442 18.81 20.52 02a61089o0688o
61089.570876 -20.796  0.829   -17   14 o  0   2.03 231.20472 -21.38937  1557.21 10210.69 2.54 2.15 -42.6 -0.457 19.13 20.55 02a61089o0711o
61090.529153 -19.859  0.489   -41   20 o  0   0.91 231.20472 -21.38937  5310.64  3788.99 2.77 2.38  34.9 -0.421 18.76 20.13 02a61090o0691o
61090.532790  20.729  1.101    19   20 o  0   1.02 231.20472 -21.38937  5331.19  3827.00 2.73 2.37  34.6 -0.420 18.80 20.14 02a61090o0699o
61090.537810 -22.559  5.000    -3   17 o  0   1.20 231.20472 -21.38937  5270.58  3749.32 2.50 2.08  31.1 -0.438 18.95 20.16 02a61090o0710o
61090.552340 -22.144  3.862    -5   20 o  0   1.16 231.20472 -21.38937  5246.58  3864.26 2.50 2.06  33.1 -0.438 18.95 20.23 02a61090o0741o
61092.359716 -20.696  0.930   -19   18 o  0   0.97 231.20472 -21.38937  5479.53  4386.13 2.20 2.10 -62.3 -0.477 19.07 20.51 04a61092o0670o
61092.362030  20.466  0.951    24   22 o  0   2.72 231.20472 -21.38937  5460.63  4347.94 2.27 2.07 -48.2 -0.496 19.01 20.51 04a61092o0675o
61092.382280 -19.417  0.235   -62   15 o  0   2.08 231.20472 -21.38937  5517.64  4427.18 2.23 2.08 -56.8 -0.495 19.03 20.51 04a61092o0716o
61092.393272 -21.003  1.273   -14   18 o  0   1.08 231.20472 -21.38937  5534.71  4311.96 2.18 2.04 -62.7 -0.488 18.87 20.04 04a61092o0738o
61095.528776 -21.827  1.860    -7   13 o  0   2.11 231.20472 -21.38937  9290.88  9737.83 2.61 2.07 -59.0 -0.437 19.27 20.73 02a61095o0140o
61095.532420 -20.484  0.662   -23   15 o  0   1.33 231.20472 -21.38937  9309.98  9776.71 2.83 2.00 -58.4 -0.436 19.37 20.72 02a61095o0148o
61095.544657 -23.346 10.200    -2   17 o  0   0.98 231.20472 -21.38937  9246.86  9697.50 2.93 1.96 -62.3 -0.438 19.36 20.76 02a61095o0174o
