###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61084.426242  21.907  3.164     6   20 o  0   0.81 148.60796 -25.70310  3478.30  6044.88 2.15 1.85  22.7 -0.439 19.32 20.60 02a61084o0454o
61084.427600 -20.933  1.288   -15   20 o  0   0.64 148.60796 -25.70310  3496.28  6081.17 2.12 1.82  24.4 -0.443 19.36 20.59 02a61084o0457o
61084.432658 -20.779  0.975   -18   17 o  0   0.95 148.60796 -25.70310  3437.61  6005.10 2.16 1.81  25.0 -0.441 19.33 20.58 02a61084o0468o
61084.439959  20.875  0.753    16   12 o  0   1.71 148.60796 -25.70310  3416.01  6119.89 2.08 1.81  24.8 -0.446 19.39 20.69 02a61084o0484o
61086.199570  19.613  0.465    52   24 o  0   1.31 148.60796 -25.70310  9743.20  1676.38 2.46 2.29 -36.2 -0.421 19.10 20.69 04a61086o0400o
61086.231677 -19.698  0.492   -48   24 o  0   1.16 148.60796 -25.70310  9769.84  1717.25 2.51 2.36 -50.2 -0.419 19.03 20.46 04a61086o0467o
61086.234424 -22.047  4.125    -6   23 o  0   1.10 148.60796 -25.70310  9708.38  1637.58 2.59 2.34 -30.4 -0.396 19.06 20.45 04a61086o0473o
61086.254107 -21.192  1.979   -12   24 o  0   0.95 148.60796 -25.70310  9690.77  1756.18 2.51 2.29 -45.7 -0.416 19.03 20.42 04a61086o0512o
61089.414757 -22.269  3.038    -4   14 o  0   1.85 148.60796 -25.70310  1883.15  8286.99 2.60 2.42 -62.0 -0.417 19.27 21.07 02a61089o0373o
61089.416113 -20.553  0.709   -22   16 o  0   1.31 148.60796 -25.70310  1901.08  8324.04 2.52 2.33 -46.0 -0.427 19.29 21.08 02a61089o0376o
61089.421620 -22.915  7.143    -2   18 o  0   1.11 148.60796 -25.70310  1842.52  8246.43 2.59 2.47 -40.3 -0.427 19.31 21.12 02a61089o0388o
61089.426645 -21.437  2.167   -10   21 o  0   0.89 148.60796 -25.70310  1822.63  8361.90 3.02 2.76 -46.0 -0.429 19.16 21.13 02a61089o0399o
61090.454368  22.245  3.567     5   16 o  0   1.04 148.60796 -25.70310  6716.69  8589.45 2.41 2.22  44.4 -0.431 19.27 20.89 02a61090o0529o
