###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61090.562529  21.608  0.915     8    8 c  0   1.10 228.69186  31.22363  5269.87  6991.25 3.33 3.05  56.3 -0.286 19.68 21.93 01a61090o0740c
61090.565746 -21.170  0.534   -12    7 c  0   1.36 228.69186  31.22363  5250.61  6953.23 3.24 3.01  55.3 -0.295 19.70 21.94 01a61090o0747c
61090.568944 -24.046  8.600    -1    8 c  0   0.93 228.69186  31.22363  5310.21  7030.83 3.38 3.04  52.1 -0.281 19.68 21.93 01a61090o0754c
61090.579643  22.823  2.687     3    7 c  0   1.17 228.69186  31.22363  5326.05  6914.78 3.31 2.99  52.9 -0.286 19.73 21.94 01a61090o0776c
61096.551757 -20.866  0.523   -16    9 c  0   0.98 228.69186  31.22363   352.03  3078.90 3.44 3.21  49.2 -0.292 19.61 21.77 01a61096o0690c
61096.556657  21.735  1.150     7    8 c  0   1.06 228.69186  31.22363   330.15  3041.08 3.42 3.17  50.7 -0.283 19.60 21.79 01a61096o0700c
61096.557571  20.690  0.389    19    8 c  0   1.21 228.69186  31.22363 10498.76  3093.10 3.22 3.08 -24.6 -0.292 19.60 21.77 01a61096o0702c
61096.559399  21.638  1.133     8    9 c  0   0.91 228.69186  31.22363   391.84  3119.15 3.38 3.10  52.7 -0.284 19.65 21.79 01a61096o0706c
61096.559855  20.984  0.512    15    8 c  0   1.40 228.69186  31.22363 10477.66  3052.83 3.21 3.10 -16.5 -0.285 19.60 21.76 01a61096o0707c
61096.570949  23.260  5.000     2    9 c  0   0.90 228.69186  31.22363   409.07  3003.90 3.42 3.13  48.5 -0.285 19.65 21.81 01a61096o0730c
61097.528079  21.016  0.714    14   10 o  0   1.57 228.69186  31.22363   360.14  3072.80 2.57 2.39  40.9 -0.393 19.44 20.64 01a61097o0668o
61097.529917 -21.943  2.102    -6   13 o  0   0.92 228.69186  31.22363   339.98  3034.65 2.54 2.37  53.4 -0.382 19.46 20.68 01a61097o0672o
61097.532664 -24.481 19.250    -1   11 o  0   1.39 228.69186  31.22363   400.25  3111.74 2.86 2.56  39.4 -0.356 19.40 20.74 01a61097o0678o
61097.537231  21.984  1.725     6   10 o  0   1.51 228.69186  31.22363   419.53  2995.51 2.86 2.56  43.6 -0.357 19.42 20.83 01a61097o0688o
61097.541604  21.095  0.658    13    9 c  0   1.02 228.69186  31.22363 10504.82  3094.72 3.23 3.06  -4.8 -0.284 19.50 21.41 01a61097o0694c
61097.543431  20.505  0.380    23    9 c  0   1.04 228.69186  31.22363 10484.83  3053.42 3.17 2.99   3.8 -0.280 19.54 21.49 01a61097o0698c
61104.523463 -22.927 33.941    -2   83 o  0   0.32 228.69186  31.22363 10525.96  5774.01 2.41 2.09 -43.0 -0.475 18.76 19.40 02a61104o0664o
61104.524367 -21.021  1.488   -14   21 o  0   1.16 228.69186  31.22363   599.97  5835.59 2.16 1.97  26.6 -0.413 18.74 19.41 02a61104o0666o
61104.527576  19.717  0.428    47   20 o  0   1.44 228.69186  31.22363   619.30  5875.00 2.20 1.97  23.7 -0.416 18.73 19.42 02a61104o0673o
61104.529395 -19.651  0.902   -50   45 o  0   0.85 228.69186  31.22363 10504.36  5892.02 2.44 2.10 -48.1 -0.487 18.74 19.43 02a61104o0677o
61104.544042  20.927  1.331    16   21 o  0   1.23 228.69186  31.22363   554.82  5796.61 2.20 1.91  22.5 -0.415 18.78 19.47 02a61104o0706o
61104.548116  20.724  1.089    19   20 o  0   1.25 228.69186  31.22363   533.00  5912.06 2.25 1.96  18.6 -0.409 18.76 19.47 02a61104o0715o
61105.533578  20.796  2.234    17   39 o  0   1.20 228.69186  31.22363 10517.76  5775.13 2.73 2.44 -36.2 -0.455 18.74 19.64 02a61105o0684o
61105.535388 -22.027  4.026    -6   23 o  0   1.03 228.69186  31.22363   591.13  5834.93 2.51 2.23  27.5 -0.393 18.75 19.64 02a61105o0688o
61105.537650  22.078  4.436     5   24 o  0   0.94 228.69186  31.22363   610.54  5874.53 2.38 2.15  16.1 -0.405 18.75 19.64 02a61105o0693o
61105.539468  23.507 25.333     1   36 o  0   0.86 228.69186  31.22363 10494.30  5892.47 2.57 2.20 -55.2 -0.472 18.85 19.65 02a61105o0697o
61105.545468  21.479  2.329     9   22 o  0   0.88 228.69186  31.22363   543.76  5794.42 2.17 2.00  32.4 -0.415 18.86 19.64 02a61105o0708o
61105.550912 -22.804  7.435    -3   20 o  0   1.03 228.69186  31.22363   523.35  5911.44 2.20 2.03  25.1 -0.408 18.86 19.66 02a61105o0720o
61108.514109  20.689  0.579    19   11 o  0   1.60 228.69186  31.22363  1427.92  7225.06 2.52 2.31  63.1 -0.436 19.37 20.42 01a61108o0616o
61108.540975  20.358  0.507    26   13 o  0   1.30 228.69186  31.22363  1407.09  7190.20 2.56 2.31  56.8 -0.429 19.38 20.43 01a61108o0665o
61108.543716  22.013  2.068     6   12 o  0   1.18 228.69186  31.22363  1462.99  7265.89 2.61 2.33  60.9 -0.429 19.39 20.43 01a61108o0671o
61108.549023 -20.893  1.959   -16   31 o  0   1.20 228.69186  31.22363  1483.32  7150.19 2.66 2.33  60.7 -0.420 18.79 19.74 01a61108o0682o
61109.545065 -21.155  1.248   -12   16 o  0   1.01 228.69186  31.22363  9162.94  3330.80 2.18 1.89 -61.3 -0.438 19.40 20.71 02a61109o0447o
61109.548388  21.240  1.038    12   12 o  0   1.56 228.69186  31.22363  9180.41  3369.98 2.13 1.86 -57.9 -0.440 19.42 20.72 02a61109o0454o
61109.551608 -22.434  3.514    -4   14 o  0   0.87 228.69186  31.22363  9122.51  3293.59 2.12 1.84 -61.3 -0.438 19.39 20.70 02a61109o0461o
61109.557064 -22.154  3.314    -5   16 o  0   1.49 228.69186  31.22363  9104.03  3408.33 2.18 1.89 -57.8 -0.443 18.98 20.16 02a61109o0472o
