###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61085.479822 -22.109  3.606    -5   19 o  0   0.52 157.36662  22.01300  2999.87  5433.25 2.29 1.85  35.1 -0.446 19.22 20.92 02a61085o0567o
61085.507600  21.891  2.366     6   15 o  0   1.03 157.36662  22.01300  2973.34  5392.76 2.25 1.87  34.9 -0.444 19.25 20.97 02a61085o0623o
61085.511091  20.166  0.445    31   14 o  0   0.99 157.36662  22.01300  3033.38  5470.86 2.36 1.92  33.2 -0.437 19.33 21.19 02a61085o0629o
61085.517328 -22.869  5.412    -3   14 o  0   1.14 157.36662  22.01300  3051.63  5354.39 2.32 1.90  34.5 -0.446 19.26 21.08 02a61085o0642o
61090.454047 -21.627  1.217    -8   10 c  0   0.88 157.36662  22.01300  6329.44  1068.84 3.23 3.06  51.2 -0.344 19.63 21.68 01a61090o0522c
61090.457738 -21.192  0.746   -12    9 c  0   0.91 157.36662  22.01300  6349.29  1106.62 3.19 3.00  69.8 -0.340 19.65 21.68 01a61090o0528c
61090.488011  22.331  2.320     4   10 c  0   0.88 157.36662  22.01300  6296.10  1023.50 3.15 2.98  62.9 -0.353 19.66 21.67 01a61090o0591c
61090.494409  23.571  7.250     1   10 c  0   0.74 157.36662  22.01300  6276.69  1140.03 3.12 2.99  66.3 -0.351 19.62 21.65 01a61090o0605c
61092.403953  20.765  0.758    18   14 o  0   0.73 157.36662  22.01300  1687.86  3455.50 2.15 2.01  36.3 -0.452 19.47 20.88 02a61092o0338o
61092.406998 -23.025  5.750    -2   13 o  0   1.00 157.36662  22.01300  1706.23  3496.57 2.06 1.96  35.8 -0.451 19.47 20.87 02a61092o0344o
61092.422746 -22.452  2.647    -4   10 o  0   1.22 157.36662  22.01300  1645.28  3417.74 2.06 1.95  37.0 -0.453 19.43 20.90 02a61092o0374o
61092.428246  21.154  0.796    12   10 o  0   1.76 157.36662  22.01300  1625.52  3534.32 2.08 1.92  36.9 -0.451 19.44 20.90 02a61092o0385o
61096.356487  23.546  8.091     1   11 o  0   1.43 157.36662  22.01300  1114.77  5532.40 2.55 2.39  46.3 -0.410 19.29 20.29 01a61096o0295o
61096.358770  21.374  1.354    10   14 o  0   1.06 157.36662  22.01300  1094.77  5493.94 2.55 2.38  52.3 -0.408 19.30 20.28 01a61096o0300o
61096.370849 -22.535  3.759    -4   13 o  0   1.16 157.36662  22.01300  1154.53  5573.87 2.51 2.35  48.0 -0.409 19.31 20.30 01a61096o0325o
61096.375466 -20.798  0.777   -17   14 o  0   1.33 157.36662  22.01300  1171.88  5456.37 2.67 2.45  48.7 -0.403 19.28 20.30 01a61096o0335o
61099.445934  19.656  0.483    50   24 o  0   1.23 157.36662  22.01300  5225.85  1654.39 1.94 1.84  34.0 -0.441 18.44 18.89 02a61099o0410o
61099.449144 -22.547  6.917    -4   24 o  0   1.04 157.36662  22.01300  5206.51  1616.00 1.91 1.83  36.5 -0.455 18.57 19.06 02a61099o0415o
61104.436810  19.312  0.446    68   30 o  0   0.90 157.36662  22.01300  6926.27  7187.62 2.59 2.15  20.4 -0.430 18.52 19.21 02a61104o0483o
61104.439989 -20.158  0.843   -31   26 o  0   1.55 157.36662  22.01300  6907.96  7150.40 2.53 2.16  27.0 -0.416 18.55 19.21 02a61104o0490o
61104.448378  20.012  0.691    36   25 o  0   0.87 157.36662  22.01300  6964.38  7227.34 2.37 2.02  36.8 -0.433 18.69 19.27 02a61104o0507o
61104.459792  20.774  1.303    18   23 o  0   0.88 157.36662  22.01300  6984.64  7112.12 2.29 1.95  34.0 -0.436 18.71 19.32 02a61104o0531o
61105.420991  21.055  1.360    14   19 o  0   0.94 157.36662  22.01300  6926.58  7187.97 2.30 1.99  28.6 -0.432 18.97 19.76 02a61105o0447o
61105.455195  19.583  0.407    53   22 o  0   1.03 157.36662  22.01300  6903.09  7147.42 2.28 1.94  38.9 -0.433 18.99 19.73 02a61105o0520o
61105.458366 -20.158  0.654   -31   20 o  0   0.74 157.36662  22.01300  6961.42  7226.47 2.26 1.97  41.0 -0.432 18.94 19.73 02a61105o0527o
61105.463838 -21.125  1.480   -13   19 o  0   0.91 157.36662  22.01300  6981.67  7113.16 2.29 2.03  37.5 -0.434 18.97 19.72 02a61105o0539o
61108.404819  21.319  0.990    11   11 o  0   1.49 157.36662  22.01300 10184.99   799.08 2.39 2.12 -51.0 -0.437 19.49 20.79 01a61108o0400o
61108.407559 -21.201  0.963   -12   12 o  0   0.88 157.36662  22.01300 10203.62   837.28 2.40 2.14 -39.8 -0.434 19.50 20.76 01a61108o0406o
61108.417928  21.322  1.237    11   13 o  0   0.86 157.36662  22.01300 10148.45   759.61 2.34 2.13 -50.0 -0.450 19.48 20.70 01a61108o0425o
61108.419382 -21.413  1.272   -10   13 o  0   1.10 157.36662  22.01300   310.98   831.28 2.42 2.30  56.8 -0.440 19.42 20.60 01a61108o0428o
61108.425235 -23.328  7.133    -2   12 o  0   0.97 157.36662  22.01300   333.16   869.08 2.34 2.20  61.7 -0.448 19.42 20.59 01a61108o0440o
61108.426488 -22.289  4.906    -4   22 o  0   1.17 157.36662  22.01300   326.68  9757.54 2.12 1.78 -42.3 -0.490 19.00 20.07 02a61108o0457o
61108.429129 -20.556  0.591   -22   13 o  0   0.85 157.36662  22.01300   272.13   788.12 2.38 2.26  60.4 -0.436 19.37 20.51 01a61108o0448o
