###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59577.993461 -20.797  0.921   -17   16 o  0   0.95 116.30992 -71.40390  6522.03  6084.48 2.99 2.62 -51.2 -0.405 19.18 21.01 03a59578o0257o
59577.997570  20.234  0.703    29   21 o  0   0.65 116.30992 -71.40390  6565.94  6116.12 3.15 2.71 -49.4 -0.381 19.08 20.99 03a59578o0265o
59578.003412  21.081  1.241    13   17 o  0   0.90 116.30992 -71.40390  6557.57  6024.73 3.04 2.63 -54.0 -0.391 19.12 21.03 03a59578o0276o
59578.014490  21.482  1.975     9   18 o  0   0.80 116.30992 -71.40390  6612.32  6123.72 2.99 2.74 -50.0 -0.383 19.15 20.99 03a59578o0297o
59578.992929 -20.512  0.843   -23   19 o  0   0.90 116.30992 -71.40390  6538.53  6080.43 2.83 2.49 -37.5 -0.400 19.10 20.78 03a59579o0334o
59578.996686  21.518  1.791     9   16 o  0   0.88 116.30992 -71.40390  6578.23  6112.52 2.81 2.52 -46.3 -0.394 19.07 20.77 03a59579o0342o
59579.002331  20.810  0.974    17   17 o  0   1.18 116.30992 -71.40390  6567.09  6023.94 2.98 2.58 -41.7 -0.390 19.05 20.86 03a59579o0353o
59579.017738  20.432  0.697    24   17 o  0   1.08 116.30992 -71.40390  9245.80  4071.84 2.98 2.57 -61.8 -0.379 19.14 20.83 03a59579o0384o
59579.021611  22.337  3.950     4   17 o  0   0.95 116.30992 -71.40390  9290.23  4111.79 2.84 2.54 -60.0 -0.386 19.14 20.77 03a59579o0392o
59579.027354 -21.436  1.761   -10   17 o  0   1.17 116.30992 -71.40390  9278.90  4027.90 2.84 2.54 -60.8 -0.380 19.12 20.76 03a59579o0404o
59579.038032  21.206  1.646    12   20 o  0   0.73 116.30992 -71.40390  9327.60  4141.66 2.99 2.88  51.7 -0.369 19.01 20.74 03a59579o0426o
59579.995027  20.864  1.162    16   19 o  0   0.68 116.30992 -71.40390  4276.58  3593.56 3.11 2.73 -70.2 -0.387 19.19 21.28 03a59580o0430o
59579.997943  21.290  1.306    11   14 o  0   0.91 116.30992 -71.40390  4314.12  3623.29 2.88 2.67 -56.5 -0.412 19.27 21.23 03a59580o0436o
59580.005472 -24.021 17.250    -1   15 o  0   0.72 116.30992 -71.40390  4318.40  3533.60 2.87 2.64 -62.6 -0.411 19.27 21.22 03a59580o0450o
59580.016944  21.967  2.423     6   14 o  0   1.18 116.30992 -71.40390  4386.47  3637.46 2.97 2.63 -77.4 -0.405 19.24 21.24 03a59580o0470o
59586.012884 -22.512  4.333    -4   16 c  0   0.87 116.30992 -71.40390  3382.32  6155.78 3.42 2.87  -7.4 -0.407 19.29 21.66 03a59586o0476c
