LSQ14fmg 0.065923 334.192083 15.353917
filter B
56925.142 17.896 0.011
56926.074 17.871 0.009
56927.094 17.811 0.009
56928.048 17.765 0.009
56929.055 17.729 0.009
56930.067 17.737 0.032
56930.069 17.721 0.050
56930.072 17.702 0.010
56931.094 17.659 0.011
56932.078 17.647 0.010
56936.081 17.574 0.017
56938.060 17.535 0.024
56939.065 17.529 0.019
56940.063 17.548 0.013
56941.043 17.549 0.008
56942.036 17.568 0.009
56943.022 17.592 0.010
56944.058 17.636 0.013
56947.057 17.757 0.009
56949.059 17.907 0.010
56950.055 17.995 0.013
56954.011 18.505 0.014
56955.053 18.617 0.017
56956.055 18.784 0.020
56957.061 18.892 0.016
56958.046 18.946 0.020
56963.008 19.322 0.052
56965.039 19.500 0.071
56971.034 19.796 0.026
56972.028 19.847 0.028
56973.032 19.851 0.030
56974.025 19.882 0.028
56975.029 19.971 0.030
56976.028 20.088 0.030
56977.029 20.060 0.037
56978.027 20.202 0.038
56979.031 20.253 0.043
56980.085 20.355 0.046
56981.026 20.392 0.044
56982.059 20.545 0.046
56983.039 20.652 0.044
56984.056 20.698 0.049
56994.045 20.977 0.252
filter H
56929.110 16.999 0.013
56931.154 16.932 0.015
56942.075 16.704 0.014
56942.989 16.710 0.016
57267.161 19.397 0.308
filter J
56929.127 17.033 0.010
56931.171 16.981 0.007
56942.091 16.754 0.009
56943.006 16.783 0.010
57267.164 20.535 0.323
filter V
56925.145 17.655 0.014
56926.077 17.594 0.012
56927.098 17.566 0.011
56928.052 17.515 0.010
56929.052 17.483 0.010
56930.058 17.443 0.025
56930.062 17.436 0.008
56931.097 17.420 0.017
56932.072 17.403 0.010
56936.077 17.327 0.014
56938.062 17.379 0.020
56939.068 17.320 0.020
56940.061 17.291 0.016
56941.045 17.332 0.009
56942.038 17.326 0.010
56943.024 17.369 0.009
56944.056 17.378 0.019
56947.054 17.497 0.011
56949.056 17.607 0.010
56950.052 17.658 0.014
56954.008 17.979 0.015
56955.050 18.065 0.016
56956.051 18.160 0.019
56957.057 18.191 0.014
56958.053 18.268 0.016
56963.005 18.594 0.035
56965.032 18.653 0.038
56971.028 18.797 0.022
56972.034 18.867 0.025
56973.027 18.912 0.022
56974.020 18.935 0.022
56975.024 18.990 0.024
56976.023 19.093 0.023
56977.024 19.149 0.027
56978.022 19.244 0.027
56979.026 19.286 0.029
56980.080 19.387 0.028
56981.031 19.399 0.028
56982.053 19.485 0.028
56983.046 19.628 0.034
56984.062 19.744 0.041
56986.062 19.686 0.156
56994.049 20.395 0.224
56997.024 20.494 0.344
56997.026 20.609 0.387
56997.028 20.550 0.334
56997.031 20.326 0.247
filter Y
56929.096 17.202 0.007
56931.146 17.121 0.009
56942.067 16.917 0.008
56942.982 16.944 0.009
57267.158 20.426 0.246
filter i
56925.153 17.570 0.015
56926.084 17.560 0.013
56927.104 17.494 0.019
56928.057 17.441 0.014
56929.049 17.454 0.014
56930.079 17.393 0.013
56931.100 17.377 0.017
56932.067 17.343 0.012
56936.072 17.292 0.014
56938.066 17.240 0.022
56939.072 17.188 0.016
56940.059 17.216 0.014
56941.050 17.210 0.012
56942.042 17.210 0.012
56943.030 17.243 0.015
56944.053 17.268 0.018
56947.051 17.265 0.015
56949.052 17.364 0.010
56950.049 17.437 0.014
56954.004 17.644 0.015
56955.046 17.700 0.016
56956.048 17.727 0.019
56957.054 17.757 0.014
56958.059 17.791 0.013
56963.001 17.852 0.021
56965.028 17.973 0.019
56971.025 18.052 0.020
56972.040 18.135 0.018
56973.023 18.161 0.021
56974.016 18.229 0.019
56975.020 18.252 0.025
56976.020 18.359 0.019
56977.020 18.392 0.026
56978.019 18.477 0.024
56979.023 18.512 0.024
56980.076 18.566 0.026
56981.038 18.589 0.025
56982.049 18.679 0.025
56984.071 18.964 0.029
56986.056 19.151 0.103
56994.053 19.225 0.069
56996.048 19.534 0.085
56996.050 19.380 0.076
filter r
56925.149 17.588 0.015
56926.081 17.520 0.012
56927.101 17.495 0.012
56928.055 17.448 0.011
56929.046 17.424 0.010
56930.076 17.390 0.011
56931.103 17.373 0.017
56932.069 17.315 0.012
56936.075 17.249 0.012
56938.064 17.246 0.020
56939.070 17.254 0.019
56940.057 17.209 0.015
56941.048 17.223 0.010
56942.040 17.234 0.012
56943.028 17.255 0.014
56944.051 17.260 0.015
56947.048 17.330 0.013
56949.050 17.418 0.011
56950.046 17.479 0.013
56954.001 17.765 0.014
56955.044 17.805 0.017
56956.045 17.861 0.017
56957.051 17.893 0.013
56958.057 17.914 0.011
56962.998 18.082 0.023
56965.026 18.186 0.020
56971.022 18.308 0.021
56972.038 18.371 0.020
56973.020 18.401 0.017
56974.013 18.465 0.019
56975.017 18.530 0.018
56976.017 18.601 0.021
56977.017 18.621 0.020
56978.016 18.756 0.024
56979.020 18.756 0.022
56980.073 18.871 0.021
56981.035 18.879 0.023
56982.045 18.985 0.025
56984.067 19.248 0.030
56986.052 19.626 0.049
56994.051 19.736 0.107
56996.044 19.826 0.102
56996.046 19.936 0.117
