SN1999cl 0.0075870743899125 187.98337 14.426472
filter H2m
51340.15 12.98 0.02
51341.18 13.02 0.02
51351.28 13.29 0.04
51360.13 12.84 0.02
51367.12 12.77 0.04
filter J2m
51337.17 12.96 0.02
51340.15 12.8 0.02
51341.18 12.89 0.02
51351.28 14.27 0.04
51360.13 14.01 0.02
51367.12 13.49 0.04
filter Rkait
51335.75 13.609 0.019
51336.75 13.496 0.01
51337.75 13.457 0.014
51338.75 13.407 0.011
51341.75 13.35 0.016
51343.75 13.339 0.01
51344.75 13.344 0.01
51345.75 13.378 0.01
51346.75 13.435 0.01
51347.75 13.49 0.01
51350.75 13.73 0.05
51352.75 13.834 0.011
51354.75 13.859 0.013
51356.75 13.923 0.015
51358.75 13.951 0.01
51364.75 14.085 0.025
51367.75 14.227 0.01
51371.75 14.561 0.046
51376.75 14.802 0.048
51379.75 15.015 0.018
51382.75 15.113 0.016
filter Ks2m
51337.17 12.74 0.02
51340.15 12.58 0.02
51341.18 12.59 0.02
51351.28 13.11 0.06
51360.13 12.7 0.03
51367.12 12.77 0.05
filter Bkait
51335.75 15.331 0.01
51336.75 15.226 0.01
51337.75 15.142 0.01
51338.75 15.099 0.01
51341.75 15.091 0.015
51343.75 15.141 0.021
51344.75 15.187 0.017
51345.75 15.237 0.018
51346.75 15.293 0.01
51347.75 15.399 0.013
51350.75 15.623 0.06
51352.75 15.866 0.022
51354.75 16.065 0.019
51356.75 16.337 0.027
51358.75 16.528 0.028
51361.75 16.93 0.073
51364.75 17.153 0.028
51367.75 17.339 0.035
51371.75 17.917 0.386
51376.75 17.752 0.142
51379.75 17.953 0.075
51382.75 17.999 0.07
filter Bs
51336.195 15.287 0.013
51337.285 15.213 0.024
51340.191 15.032 0.011
filter Ikait
51335.75 13.325 0.022
51336.75 13.251 0.021
51337.75 13.226 0.015
51338.75 13.226 0.012
51341.75 13.262 0.031
51343.75 13.275 0.01
51344.75 13.323 0.01
51345.75 13.359 0.01
51346.75 13.393 0.011
51347.75 13.461 0.01
51350.75 13.615 0.156
51352.75 13.664 0.01
51354.75 13.659 0.039
51356.75 13.573 0.013
51358.75 13.543 0.01
51361.75 13.509 0.011
51364.75 13.521 0.014
51367.75 13.577 0.01
51376.75 14.075 0.092
51379.75 14.385 0.019
51382.75 14.529 0.02
filter Is
51336.195 13.219 0.016
51337.285 13.265 0.029
51340.191 13.13 0.012
filter Vkait
51335.75 14.273 0.027
51336.75 14.124 0.024
51337.75 14.052 0.03
51338.75 13.981 0.027
51341.75 13.89 0.018
51343.75 13.897 0.035
51344.75 13.879 0.024
51345.75 13.909 0.03
51346.75 13.925 0.021
51347.75 13.947 0.026
51350.75 14.128 0.036
51352.75 14.258 0.027
51354.75 14.382 0.033
51356.75 14.481 0.03
51358.75 14.596 0.023
51361.75 14.73 0.017
51364.75 14.897 0.042
51367.75 15.098 0.025
51371.75 15.377 0.036
51376.75 15.612 0.05
51379.75 15.762 0.028
51382.75 15.845 0.027
filter Vs
51336.195 14.215 0.007
51337.285 14.138 0.014
51340.191 13.902 0.006
