SN2014dt 0.0052240000 185.48988 4.4718060
filter ps1_r
57420.57 19.67 0.09
57420.58 19.62 0.09
57420.59 19.65 0.07
57420.6 19.59 0.09
57447.5 20.16 0.07
57447.52 20.35 0.08
57447.53 20.32 0.08
57447.54 20.84 0.11
filter Rkait
56987.57 14.931 0.024
56999.58 15.204 0.051
57036.59 16.116 0.042
57040.6 16.139 0.074
57044.55 16.228 0.055
57048.53 16.322 0.052
57052.5 16.436 0.05
57056.48 16.483 0.061
57063.56 16.56 0.059
57067.49 16.658 0.06
57071.46 16.668 0.055
57079.46 16.749 0.058
57083.41 16.786 0.062
57084.4 16.71 0.061
57091.47 16.866 0.253
57095.46 16.832 0.074
57099.39 16.926 0.07
57107.42 17.0 0.061
57111.37 17.039 0.07
57134.33 17.249 0.114
57138.36 17.169 0.134
57147.32 17.224 0.142
57151.23 17.271 0.103
57163.2 17.329 0.219
57167.19 17.348 0.09
57173.19 17.379 0.127
57181.21 17.469 0.164
57185.2 17.549 0.114
57189.21 17.671 0.286
57193.21 17.47 0.287
57204.2 17.411 0.169
57208.22 17.678 0.592
filter U_UVOT
56975.46 16.96 0.11
56982.77 17.34 0.14
56987.92 17.46 0.16
filter ps1_w
57071.54 16.7 0.01
57071.55 16.71 0.01
57071.56 16.69 0.01
57071.57 16.7 0.01
57163.26 17.43 0.01
57163.27 17.5 0.01
57163.28 17.47 0.01
57163.28 17.52 0.01
57163.29 17.44 0.01
57163.31 17.51 0.02
57403.56 19.6 0.09
57403.57 19.54 0.05
57403.58 19.61 0.05
57403.59 19.57 0.08
57427.49 19.87 0.07
57427.51 19.91 0.06
57427.52 19.93 0.06
57427.53 19.99 0.08
57434.57 20.05 0.11
57481.43 21.18 0.1
filter V_UVOT
56975.47 14.97 0.06
56982.81 15.27 0.07
56987.92 15.45 0.07
filter Vkait
56987.57 15.348 0.031
56999.58 15.508 0.066
57036.59 16.334 0.038
57040.6 16.347 0.069
57044.55 16.472 0.046
57048.53 16.494 0.042
57052.5 16.643 0.037
57056.48 16.676 0.082
57063.56 16.753 0.064
57067.49 16.808 0.053
57071.46 16.836 0.048
57079.46 16.981 0.063
57083.41 17.023 0.053
57084.4 16.948 0.06
57091.47 17.079 0.263
57095.46 17.227 0.082
57099.39 17.223 0.059
57107.42 17.297 0.079
57111.37 17.415 0.098
57134.33 17.55 0.117
57134.37 17.525 0.122
57138.36 17.693 0.181
57147.32 17.52 0.172
57151.23 17.749 0.108
57163.2 17.763 0.208
57167.19 17.965 0.127
57173.19 17.955 0.148
57181.21 18.179 0.197
57185.2 18.154 0.177
57189.21 18.186 0.344
57193.21 18.046 0.265
57204.2 18.117 0.31
57208.22 18.171 0.197
filter ps1_y
57209.25 17.36 0.21
filter Ikait
56987.57 14.442 0.028
56999.58 14.767 0.034
57036.59 15.554 0.047
57040.6 15.623 0.047
57044.55 15.691 0.039
57048.53 15.736 0.037
57052.5 15.824 0.033
57056.48 15.869 0.045
57063.56 15.953 0.045
57067.49 16.011 0.042
57071.46 16.015 0.038
57079.46 16.102 0.046
57083.41 16.18 0.037
57084.4 16.153 0.166
57091.47 16.166 0.173
57095.46 16.232 0.057
57099.39 16.285 0.05
57107.42 16.343 0.045
57111.37 16.373 0.051
57134.33 16.621 0.081
57134.37 16.5 0.064
57138.36 16.551 0.103
57147.32 16.582 0.113
57151.23 16.672 0.086
57163.2 16.741 0.137
57167.19 16.697 0.06
57173.19 16.764 0.083
57181.21 16.87 0.109
57185.2 16.762 0.073
57189.21 16.821 0.194
57193.21 16.777 0.156
57204.2 16.857 0.139
57208.22 16.932 0.065
filter B_UVOT
56975.46 16.77 0.09
56982.77 17.08 0.11
56987.92 17.33 0.13
filter ps1_i
57164.27 17.11 0.01
57164.29 17.12 0.01
57164.3 17.13 0.01
57164.31 17.1 0.01
57408.64 19.12 0.1
57408.65 19.13 0.09
57408.65 19.08 0.07
57408.66 19.12 0.08
filter UVM2
56975.47 19.54 0.1
56982.77 17.29 0.1
56987.93 19.38 0.1
filter Bkait
56987.57 16.745 0.091
56999.58 17.287 0.16
57036.59 17.415 0.115
57040.6 17.757 0.223
57044.55 17.613 0.125
57048.53 17.776 0.103
57052.5 17.632 0.083
57056.48 17.92 0.256
57063.56 17.935 0.141
57067.49 17.819 0.108
57071.46 18.095 0.105
57079.46 18.031 0.109
57083.41 17.888 0.255
57084.4 18.168 0.151
57091.47 18.613 0.362
57095.46 18.314 0.177
57099.39 18.329 0.147
57107.42 18.349 0.193
57111.37 18.469 0.184
57134.33 18.946 0.245
57134.37 18.772 0.529
57138.36 18.547 0.349
57147.32 18.828 0.769
57151.23 18.736 0.264
57163.2 18.899 0.269
57167.19 19.004 0.368
57173.19 19.116 0.489
57181.21 19.061 0.359
57185.2 18.894 0.68
57189.21 19.1 0.696
57193.21 19.204 0.488
57204.2 18.879 0.56
57208.22 19.709 0.522
filter UVW2
56975.47 19.32 0.41
56982.8 19.35 0.45
56987.92 19.46 0.1
filter UVW1
56975.46 18.52 0.24
56982.77 18.77 0.3
56987.92 19.15 0.1
