SN2018yu 0.008000 80.634879 -11.487182
filter ztfg
58204.153 14.270 0.027
58360.478 18.674 0.074
58363.503 18.683 0.061
58366.479 18.696 0.038
58369.500 18.687 0.034
58372.479 18.778 0.035
58377.519 18.909 0.044
58380.486 18.856 0.034
58383.458 18.929 0.042
58386.501 19.011 0.099
58389.457 19.098 0.085
58397.500 19.140 0.044
58422.441 19.602 0.093
58425.416 19.602 0.083
58428.329 19.542 0.049
58430.359 19.591 0.046
58431.435 19.712 0.124
58434.396 19.667 0.095
58438.431 19.700 0.088
58439.532 19.638 0.116
58443.323 19.622 0.122
58443.324 19.625 0.123
58462.353 20.036 0.109
58466.311 20.024 0.098
58469.175 20.274 0.223
58472.232 19.917 0.198
58480.272 20.391 0.192
58487.229 20.349 0.131
58491.209 20.470 0.142
58495.271 20.621 0.285
58509.229 20.736 0.245
58514.206 21.110 0.312
filter ztfr
58363.481 19.369 0.106
58366.502 19.527 0.072
58369.502 19.599 0.069
58377.453 19.721 0.075
58380.478 19.884 0.088
58386.423 20.058 0.194
58397.457 20.131 0.097
58422.378 20.249 0.229
58425.418 20.692 0.272
58428.358 20.761 0.145
58429.392 20.660 0.133
58432.372 21.074 0.205
58434.354 20.806 0.302
59221.385 20.334 0.229
59221.385 20.771 0.309
59221.386 20.669 0.279
60628.347 20.315 0.217
