SN2018zz 0.013935 210.912750 -33.978500
filter ATri
61089.493 18.073 0.120
61089.509 18.237 0.143
61089.513 17.979 0.116
61090.513 18.063 0.116
61092.268 17.571 0.090
61092.304 17.792 0.100
61092.304 16.643 0.137
61092.312 16.369 0.111
61096.498 17.750 0.092
61096.508 18.028 0.095
61096.518 18.280 0.161
61098.258 18.901 0.330
61098.261 17.756 0.095
61099.563 17.688 0.247
61102.994 17.710 0.226
61108.526 18.298 0.260
61108.527 18.144 0.142
61108.531 17.877 0.137
61108.546 18.616 0.288
61109.065 18.371 0.147
61111.991 18.061 0.095
