SN2019np 0.004520 157.341583 29.510639
filter ztfg
58494.483 16.306 0.027
58502.441 13.814 0.028
58507.469 13.374 0.027
58507.510 13.380 0.027
58522.411 13.866 0.028
58522.429 13.844 0.028
58526.423 14.226 0.027
58541.269 15.463 0.028
58556.356 16.067 0.027
58559.309 16.125 0.028
58567.206 16.219 0.027
58572.206 16.335 0.027
58575.275 16.341 0.027
58581.210 16.454 0.027
58587.248 16.532 0.029
58591.183 16.579 0.029
58597.255 16.748 0.027
58605.212 16.853 0.027
58608.207 16.878 0.027
58612.176 16.960 0.028
58633.223 17.270 0.028
58634.218 17.258 0.029
58634.219 17.289 0.028
58637.222 17.324 0.028
58640.173 17.402 0.030
58662.203 17.675 0.033
58765.506 19.196 0.061
58770.536 19.365 0.159
58776.540 19.277 0.137
58784.492 19.578 0.124
58789.507 19.628 0.062
58792.537 19.583 0.057
58802.557 19.718 0.140
58827.545 20.325 0.114
58830.548 20.151 0.149
58836.552 20.129 0.099
58849.497 20.465 0.106
58852.518 20.544 0.108
58852.541 20.680 0.124
58853.496 20.452 0.096
58854.516 20.544 0.178
58855.520 20.462 0.128
58866.400 20.802 0.137
58874.351 21.108 0.159
58876.360 20.961 0.143
58877.358 20.840 0.207
58877.372 21.063 0.201
58878.381 20.844 0.215
58880.444 20.990 0.227
58880.444 21.045 0.192
58881.444 20.961 0.163
58886.422 20.602 0.269
58893.249 21.543 0.241
58894.318 21.186 0.190
58895.211 21.177 0.238
58898.277 21.276 0.205
58898.288 21.245 0.178
58899.381 21.073 0.172
58900.331 21.485 0.282
58900.331 21.316 0.213
58903.275 21.119 0.176
58903.276 21.513 0.247
58904.258 21.313 0.252
58904.289 21.589 0.288
58906.288 21.239 0.248
58906.289 21.186 0.255
58913.277 20.967 0.281
filter ztfr
58493.441 16.941 0.038
58502.519 13.914 0.037
58510.284 13.468 0.037
58511.392 13.446 0.037
58559.243 15.504 0.038
58572.227 15.973 0.038
58581.235 16.223 0.038
58584.185 16.352 0.038
58587.256 16.393 0.038
58591.358 16.575 0.041
58594.158 16.652 0.038
58597.347 16.740 0.038
58601.261 16.861 0.038
58608.216 17.052 0.038
58612.196 17.178 0.038
58617.247 17.250 0.040
58633.185 17.753 0.039
58634.172 17.766 0.039
58634.173 17.751 0.039
58637.177 17.825 0.039
58640.222 17.950 0.041
58644.260 18.029 0.052
58647.238 18.134 0.056
58650.248 18.161 0.061
58757.523 20.002 0.163
58761.517 20.615 0.235
58761.522 20.200 0.175
58761.527 20.301 0.217
58763.520 20.385 0.172
58763.525 20.707 0.245
58763.529 20.705 0.290
58765.523 20.445 0.217
58765.528 20.533 0.232
58765.533 20.563 0.310
58767.523 20.360 0.208
58767.528 20.386 0.283
58769.526 20.148 0.209
58769.531 20.441 0.266
58789.528 20.613 0.177
58792.508 20.750 0.210
58846.423 21.450 0.268
58852.442 21.595 0.259
filter ztfi
58543.332 14.627 0.064
58558.265 15.471 0.064
58558.268 15.488 0.063
58585.248 16.596 0.064
58585.250 16.555 0.064
58855.393 20.368 0.205
58893.351 21.040 0.282
59257.423 20.351 0.284
60335.379 18.665 0.288
