SN2020ejm 0.009716 154.078542 -33.563658
filter ATgr
61091.030 19.165 0.191
61091.034 19.308 0.208
61091.075 18.715 0.114
61096.949 19.836 0.340
61096.955 18.893 0.125
filter ATri
61084.427 18.519 0.145
61084.434 18.083 0.084
61084.447 18.124 0.103
61086.257 18.122 0.112
61086.261 18.605 0.207
61089.436 18.600 0.143
61089.451 18.899 0.167
61090.429 18.488 0.124
61090.430 18.533 0.148
61090.433 18.177 0.109
61090.440 18.141 0.110
61090.453 18.569 0.131
61090.489 17.895 0.069
61090.518 19.004 0.220
61095.458 19.438 0.298
61096.455 18.198 0.140
61096.483 18.587 0.158
61098.186 18.057 0.100
61098.189 18.630 0.185
61098.194 18.021 0.098
61098.229 18.450 0.176
61104.214 17.874 0.227
61108.412 19.280 0.307
61108.431 18.862 0.275
61108.946 18.763 0.152
61108.964 19.518 0.261
61110.187 17.769 0.105
61110.190 17.617 0.092
61110.194 18.860 0.259
61110.206 17.942 0.095
61111.930 18.448 0.110
61111.933 18.540 0.110
