SN2020ftl 0.007349 185.015642 5.342686
filter ztfg
58941.267 19.308 0.084
58944.248 16.487 0.029
58955.296 14.215 0.027
58955.299 14.203 0.027
58956.246 14.206 0.027
58956.250 14.210 0.027
58962.231 14.520 0.027
58962.232 14.505 0.027
58962.249 14.554 0.027
58963.223 14.642 0.027
58964.189 14.748 0.027
58965.230 14.859 0.027
58965.231 14.857 0.027
58967.222 15.125 0.027
58967.247 15.171 0.027
58967.249 15.119 0.027
58967.252 15.144 0.027
58968.272 15.241 0.027
58968.273 15.270 0.027
58969.233 15.374 0.027
58971.274 15.687 0.027
58971.275 15.700 0.027
58975.250 16.092 0.028
58978.192 16.361 0.027
58978.193 16.362 0.027
58979.252 16.419 0.027
58980.190 16.509 0.027
58981.199 16.586 0.027
58981.200 16.606 0.027
58986.191 16.798 0.027
58986.192 16.799 0.027
58987.232 16.826 0.027
58991.170 16.976 0.027
58992.192 17.041 0.027
58992.193 16.989 0.027
58993.249 17.128 0.030
58994.222 17.055 0.027
58995.201 17.054 0.027
58995.201 17.081 0.027
58997.186 17.086 0.028
58998.193 17.148 0.028
58998.194 17.124 0.028
59005.187 17.259 0.032
59009.231 17.390 0.031
59014.200 17.517 0.029
59020.198 17.615 0.028
59023.214 17.654 0.029
59033.198 17.822 0.050
59176.516 20.559 0.198
59194.549 20.893 0.208
59204.466 20.926 0.202
59225.465 20.927 0.265
59231.459 21.447 0.258
59268.436 21.206 0.306
59291.294 21.428 0.312
59914.496 19.749 0.184
60044.295 17.662 0.267
60380.312 21.006 0.299
filter ztfr
58941.374 18.783 0.055
58944.341 16.490 0.038
58954.255 14.279 0.037
58955.253 14.256 0.037
58955.269 14.263 0.037
58956.298 14.248 0.037
58962.279 14.481 0.038
58962.280 14.481 0.037
58964.253 14.685 0.038
58965.288 14.719 0.037
58965.289 14.708 0.037
58967.170 14.823 0.038
58968.202 14.838 0.037
58968.204 14.810 0.037
58970.191 14.921 0.037
58971.211 14.956 0.037
58971.212 14.945 0.037
58975.203 15.169 0.038
58978.248 15.412 0.038
58978.249 15.369 0.038
58981.249 15.760 0.037
58981.250 15.738 0.037
58986.256 16.045 0.038
58987.298 16.105 0.038
58991.228 16.324 0.038
58992.233 16.344 0.038
58992.234 16.336 0.038
58995.211 16.444 0.038
58995.229 16.514 0.038
58996.255 16.519 0.038
58998.225 16.582 0.038
58999.286 16.691 0.039
59017.235 17.366 0.039
59020.236 17.467 0.040
59033.176 17.933 0.058
59163.532 20.677 0.261
59163.537 20.370 0.205
59251.462 21.371 0.311
59934.425 19.943 0.213
59934.472 20.230 0.264
60680.399 19.965 0.298
60851.174 20.242 0.245
