SN2021adlv 0.033000 127.765958 -4.194219
filter ztfg
58207.278 18.848 0.212
59521.504 20.606 0.186
59522.503 19.874 0.073
59523.524 19.352 0.053
59523.525 19.405 0.056
59524.523 18.810 0.035
59524.543 18.814 0.036
59525.482 18.397 0.032
59527.482 17.759 0.029
59529.392 17.412 0.030
59531.396 17.149 0.028
59531.465 17.131 0.027
59536.358 17.039 0.036
59537.481 17.009 0.041
59538.400 17.093 0.033
59540.391 17.262 0.035
59550.421 18.655 0.036
59550.440 18.599 0.034
59550.460 18.607 0.034
59600.402 20.170 0.181
59622.342 20.520 0.310
59623.296 20.229 0.209
59624.226 20.379 0.270
59640.300 21.160 0.268
59678.153 21.176 0.283
filter ztfr
59521.461 20.444 0.235
59522.482 19.611 0.078
59523.483 19.156 0.058
59523.521 19.140 0.056
59524.445 18.704 0.048
59524.446 18.626 0.047
59525.444 18.272 0.042
59526.500 17.972 0.041
59526.503 17.995 0.042
59528.493 17.568 0.040
59529.484 17.375 0.040
59530.395 17.242 0.043
59530.461 17.307 0.041
59532.441 17.109 0.038
59532.461 17.126 0.038
59536.394 16.968 0.041
59536.484 16.935 0.038
59537.367 17.027 0.039
59537.560 16.998 0.047
59540.503 17.029 0.039
59550.341 17.471 0.039
59550.378 17.502 0.039
59550.398 17.473 0.038
59600.323 19.550 0.096
59600.355 19.862 0.109
59622.292 20.291 0.184
59622.321 20.509 0.290
59623.344 20.337 0.191
59624.317 20.293 0.187
59624.337 20.729 0.298
59629.323 20.373 0.199
59629.359 20.348 0.245
59636.329 20.722 0.308
59639.160 20.900 0.308
59640.254 21.274 0.302
59694.164 21.176 0.304
filter ztfi
59525.524 18.420 0.077
59531.505 17.582 0.065
59540.481 17.629 0.066
59600.379 19.977 0.177
