SN2021afkk 0.013800 37.499868 28.634186
filter ztfg
2458332.982 19.133 0.312
2458431.741 20.387 0.227
2458721.924 19.453 0.267
2459079.976 19.606 0.181
2459082.949 21.117 0.304
2459110.845 20.979 0.277
2459229.706 20.901 0.301
2459233.651 21.063 0.254
2459622.660 19.471 0.129
2459627.701 19.606 0.196
2459640.658 19.792 0.119
2459787.954 21.151 0.241
2459852.906 21.430 0.250
2459903.715 21.217 0.309
2459967.676 20.486 0.282
2460292.630 21.836 0.308
2460314.623 21.168 0.297
2460624.860 21.291 0.285
filter ztfr
2458355.889 17.109 0.087
2458386.833 20.455 0.293
2458721.957 18.610 0.094
2458721.960 20.840 0.260
2458721.961 18.457 0.195
2458727.982 20.741 0.243
2458782.706 20.593 0.259
2458784.937 20.055 0.300
2458785.919 20.372 0.267
2458811.802 19.198 0.154
2458836.599 20.128 0.196
2458892.737 21.258 0.290
2459023.967 20.530 0.238
2459144.911 21.212 0.227
2459222.694 21.373 0.309
2459276.641 20.775 0.282
2459298.631 19.267 0.249
2459302.636 19.633 0.286
2459384.976 18.525 0.103
2459384.979 17.823 0.106
2459424.906 20.800 0.309
2459622.674 18.356 0.063
2459624.662 18.301 0.053
2459627.639 18.412 0.063
2459629.637 18.484 0.056
2459631.640 18.307 0.092
2459638.706 18.043 0.290
2459747.974 20.117 0.303
2459747.979 19.855 0.271
2459749.973 20.374 0.310
2459749.977 20.190 0.292
2459755.964 20.571 0.247
2459755.966 20.669 0.275
2459755.968 20.301 0.213
2459755.970 20.296 0.205
2459756.963 20.787 0.270
2459756.965 20.702 0.230
2459756.967 20.661 0.237
2459756.969 20.899 0.295
2459756.971 20.645 0.236
2459798.962 21.153 0.293
2459811.882 21.078 0.296
2459824.967 20.682 0.164
2459846.927 20.857 0.199
2459848.978 21.243 0.266
2459852.831 21.159 0.244
2459856.888 20.933 0.239
2459870.802 21.168 0.301
2459874.837 21.344 0.259
2459897.788 20.655 0.237
2459905.762 20.728 0.255
2459928.715 20.734 0.274
2459967.635 20.331 0.241
2460020.634 20.809 0.311
2460020.641 20.414 0.258
2460021.640 20.351 0.294
2460031.630 19.689 0.238
2460113.976 20.478 0.307
2460114.978 20.215 0.295
2460171.921 21.342 0.312
2460261.792 20.564 0.192
2460322.740 20.523 0.291
2460472.977 19.954 0.286
2460482.972 20.179 0.298
2460607.789 21.009 0.283
2460649.866 21.221 0.312
2460904.880 21.015 0.278
2460919.880 20.680 0.174
2460949.819 20.832 0.270
2460981.819 20.676 0.286
2460986.888 20.260 0.281
2461006.689 20.117 0.205
2461008.828 20.366 0.229
2461016.753 19.940 0.305
2461022.787 19.578 0.197
2461028.755 21.053 0.270
2461057.644 20.096 0.255
