SN2021bmw 0.012782 206.915450 -29.431844
filter g
59250.217 17.818 0.010
59251.363 17.837 0.008
59253.370 17.831 0.008
59254.275 17.808 0.008
59255.293 17.854 0.008
59256.349 17.848 0.009
59257.297 17.868 0.009
59258.250 17.917 0.009
59259.221 18.001 0.009
59261.236 18.016 0.008
59263.332 18.075 0.009
59267.218 18.186 0.010
59270.281 18.331 0.016
59272.339 18.392 0.023
59276.340 18.445 0.017
59277.396 18.506 0.020
59280.407 18.556 0.021
59282.196 18.555 0.011
59285.222 18.620 0.015
59286.276 18.655 0.014
59287.281 18.652 0.014
59288.282 18.658 0.011
59289.220 18.669 0.014
59290.344 18.654 0.012
59294.373 18.765 0.012
59297.391 18.796 0.014
59298.390 18.789 0.012
59299.393 18.805 0.014
59300.396 18.825 0.014
59301.396 18.759 0.034
59302.380 20.144 0.138
59303.355 18.803 0.045
59305.374 19.023 0.029
59306.355 18.952 0.019
59307.388 19.013 0.031
59309.147 18.963 0.012
59311.257 19.095 0.019
59313.418 19.154 0.031
59314.257 19.158 0.018
filter i
59250.212 17.630 0.010
59251.358 17.561 0.009
59253.365 17.557 0.009
59254.270 17.533 0.011
59255.290 17.628 0.008
59256.347 17.610 0.012
59257.300 17.590 0.013
59258.247 17.638 0.011
59259.219 17.732 0.009
59261.239 17.726 0.009
59263.330 17.751 0.010
59267.221 17.742 0.011
59270.276 17.791 0.013
59272.333 17.784 0.011
59276.336 17.780 0.012
59277.393 17.761 0.014
59280.404 17.856 0.014
59282.194 17.822 0.010
59285.217 17.884 0.015
59286.270 17.842 0.011
59287.275 17.843 0.012
59288.275 17.828 0.009
59289.215 17.857 0.009
59290.341 17.851 0.011
59294.370 17.853 0.009
59297.385 17.868 0.011
59298.384 17.890 0.010
59299.387 17.898 0.011
59300.403 17.864 0.009
59301.402 17.941 0.018
59302.386 17.861 0.018
59303.350 17.905 0.017
59305.368 17.951 0.013
59306.351 17.959 0.010
59307.385 17.996 0.017
59309.136 17.969 0.009
59311.255 18.013 0.010
59313.414 18.018 0.011
59314.253 18.068 0.011
filter r
59250.215 17.579 0.009
59251.361 17.524 0.008
59253.368 17.520 0.007
59254.272 17.531 0.009
59256.344 17.578 0.010
59257.307 17.567 0.010
59258.257 17.598 0.008
59259.228 17.667 0.007
59261.223 17.606 0.038
59261.227 17.640 0.007
59263.324 17.637 0.033
59263.327 17.682 0.007
59267.211 17.735 0.040
59267.215 17.692 0.008
59270.279 17.743 0.010
59272.336 17.768 0.012
59276.349 17.794 0.010
59277.391 17.793 0.011
59280.401 17.842 0.011
59282.206 17.843 0.008
59285.219 17.880 0.011
59286.273 17.865 0.009
59287.279 17.857 0.009
59288.279 17.849 0.007
59289.218 17.868 0.007
59290.338 17.876 0.009
59294.367 17.900 0.007
59297.388 17.938 0.008
59298.387 17.927 0.008
59299.390 17.938 0.009
59300.399 17.947 0.008
59301.399 18.000 0.017
59302.383 17.991 0.019
59303.353 18.058 0.020
59305.371 17.949 0.012
59306.365 17.983 0.009
59307.381 18.023 0.013
59309.151 17.994 0.007
59313.411 18.072 0.009
59314.249 18.080 0.010
