SN2021cgu 0.026000 165.765458 5.098169
filter g
59254.199 18.103 0.006
59254.308 17.980 0.006
59255.229 17.744 0.006
59256.205 17.563 0.005
59257.246 17.428 0.005
59258.198 17.358 0.005
59259.166 17.240 0.005
59260.214 17.259 0.005
59261.192 17.361 0.006
59262.190 17.223 0.006
59263.180 17.205 0.006
59265.158 17.275 0.006
59266.156 17.244 0.006
59267.169 17.262 0.007
59267.175 17.241 0.007
59270.238 17.416 0.011
59271.187 17.329 0.025
59278.201 17.457 0.007
59286.149 17.509 0.007
59287.144 17.713 0.008
59289.139 17.446 0.008
59291.103 17.468 0.009
59295.088 17.910 0.009
59298.123 18.086 0.015
59299.129 18.151 0.017
59302.155 18.282 0.027
59304.136 18.132 0.016
59306.105 17.758 0.011
59308.115 18.193 0.009
59310.089 18.258 0.008
59313.083 18.186 0.010
59315.043 18.018 0.010
59317.058 18.207 0.009
filter i
59254.193 18.084 0.010
59254.302 18.023 0.010
59255.225 17.963 0.008
59256.201 17.649 0.008
59257.255 17.445 0.006
59258.195 17.315 0.006
59259.163 17.191 0.006
59260.211 17.342 0.005
59261.189 16.986 0.007
59262.188 17.236 0.006
59263.178 17.183 0.006
59265.156 16.867 0.006
59266.154 17.097 0.006
59267.167 17.101 0.007
59270.234 17.034 0.009
59271.182 17.074 0.016
59278.198 17.074 0.006
59286.153 17.103 0.006
59287.148 17.146 0.006
59289.143 16.846 0.007
59291.102 16.924 0.007
59295.086 17.234 0.007
59298.119 17.255 0.008
59299.124 17.277 0.008
59302.161 17.305 0.010
59304.134 17.316 0.008
59306.103 17.082 0.007
59308.113 17.341 0.008
59310.086 17.391 0.006
59313.081 17.408 0.007
59315.041 17.206 0.007
59317.056 17.450 0.007
filter r
59254.196 18.012 0.007
59254.305 17.920 0.007
59255.219 17.746 0.036
59255.222 17.834 0.006
59256.195 17.622 0.032
59256.198 17.561 0.006
59257.259 17.371 0.005
59258.207 17.248 0.005
59259.175 17.114 0.005
59260.223 17.292 0.005
59261.183 16.860 0.025
59261.187 17.193 0.006
59262.196 17.218 0.005
59263.172 17.217 0.024
59263.176 17.168 0.006
59265.149 16.882 0.024
59265.151 16.886 0.006
59266.148 17.201 0.024
59266.152 17.161 0.006
59267.159 17.153 0.025
59267.161 17.171 0.025
59267.164 17.139 0.006
59270.236 17.574 0.008
59271.185 17.494 0.019
59278.207 17.169 0.006
59286.151 17.156 0.006
59287.146 17.224 0.006
59289.141 16.967 0.006
59291.099 17.003 0.006
59295.095 17.325 0.006
59298.121 17.391 0.009
59299.127 17.389 0.009
59302.158 17.410 0.012
59304.142 17.464 0.009
59306.113 17.158 0.007
59308.110 17.481 0.012
59310.096 17.474 0.006
59313.089 17.500 0.006
59315.038 17.269 0.007
59317.053 17.515 0.006
