SN2021csp 0.083000 216.592143 5.859216
filter g
59258.272 17.786 0.006
59259.241 17.853 0.007
59260.357 17.953 0.006
59261.327 18.060 0.007
59262.350 18.174 0.007
59263.313 18.279 0.007
59264.337 18.375 0.008
59265.316 18.446 0.008
59266.324 18.574 0.009
59267.339 18.724 0.009
59268.359 18.799 0.009
59269.341 18.912 0.009
59270.340 19.031 0.015
59273.351 19.120 0.031
59274.358 19.085 0.028
59277.358 19.262 0.029
59278.354 19.308 0.017
59278.369 19.324 0.017
59279.311 19.271 0.013
59280.296 19.328 0.014
59281.398 19.375 0.013
59282.392 19.395 0.013
59283.301 19.507 0.016
59285.337 19.601 0.018
59286.347 19.702 0.017
59287.355 19.754 0.018
59288.357 19.862 0.018
59290.268 20.018 0.016
59291.250 20.113 0.018
59294.261 20.319 0.018
59295.291 20.392 0.019
59296.319 20.152 0.023
59297.313 20.348 0.027
59298.318 20.470 0.028
59299.314 20.854 0.081
59300.294 21.265 0.170
59301.303 20.613 0.136
59302.282 21.161 0.287
59304.269 21.328 0.227
59304.273 21.598 0.365
59305.343 21.936 0.342
59305.346 20.772 0.113
59306.269 20.739 0.072
59306.273 21.056 0.099
59307.345 20.966 0.125
59307.350 20.979 0.103
59309.384 21.181 0.062
59310.307 22.365 0.128
59311.303 21.610 0.065
59313.305 21.624 0.056
59314.356 22.600 0.147
filter i
59258.269 18.418 0.012
59259.238 18.461 0.013
59260.354 18.430 0.010
59260.364 18.478 0.011
59261.325 18.485 0.011
59262.348 18.525 0.011
59263.311 18.540 0.013
59264.334 18.637 0.012
59265.313 18.668 0.013
59266.322 18.715 0.012
59267.336 18.849 0.014
59268.356 18.905 0.015
59269.334 19.004 0.016
59270.333 18.987 0.018
59271.368 19.078 0.029
59272.348 19.258 0.034
59273.338 19.284 0.032
59274.347 19.257 0.031
59275.344 19.240 0.037
59275.350 19.269 0.040
59277.355 19.247 0.030
59278.348 19.536 0.027
59278.364 19.460 0.028
59279.305 19.426 0.018
59280.281 19.414 0.019
59281.392 19.511 0.019
59282.385 19.524 0.026
59283.293 19.528 0.024
59285.329 19.654 0.031
59286.339 19.879 0.030
59287.347 19.892 0.036
59288.348 19.979 0.040
59290.262 20.194 0.032
59291.244 20.256 0.039
59294.254 20.551 0.042
59295.284 20.446 0.033
59296.312 20.242 0.043
59297.304 20.279 0.038
59298.309 20.471 0.043
59299.304 20.513 0.061
59305.358 21.030 0.146
59305.362 21.151 0.173
59306.257 20.622 0.065
59309.377 20.953 0.067
59310.300 20.968 0.069
59311.296 21.172 0.076
59313.297 25.000 1.000
filter r
59258.266 18.148 0.007
59259.232 18.462 0.042
59259.235 18.182 0.008
59260.351 18.213 0.007
59261.336 18.268 0.007
59262.360 18.371 0.007
59263.321 18.425 0.008
59264.328 18.842 0.053
59264.331 18.541 0.008
59264.345 18.504 0.008
59265.301 18.833 0.053
59265.302 18.770 0.051
59265.310 18.553 0.009
59266.315 18.910 0.057
59266.319 18.649 0.009
59267.329 18.910 0.056
59267.332 18.791 0.009
59268.367 18.891 0.010
59269.338 18.935 0.010
59270.336 19.036 0.015
59271.372 19.233 0.036
59272.352 19.215 0.031
59273.346 19.254 0.029
59274.352 19.202 0.028
59275.354 19.260 0.036
59275.358 19.166 0.029
59277.351 18.908 0.019
59278.342 19.350 0.019
59278.359 19.339 0.020
59280.273 19.285 0.012
59281.384 19.431 0.012
59282.378 19.283 0.013
59283.297 19.526 0.017
59285.333 19.648 0.019
59286.343 19.716 0.019
59287.351 19.797 0.021
59288.353 19.794 0.020
59290.285 19.990 0.019
59291.237 20.074 0.022
59294.268 20.253 0.020
59295.310 20.249 0.022
59296.305 19.982 0.023
59297.309 20.381 0.030
59298.314 20.435 0.031
59299.310 20.573 0.057
59300.289 20.674 0.088
59302.277 20.508 0.145
59304.251 20.805 0.135
59304.256 20.842 0.145
59305.350 21.053 0.144
59305.354 20.298 0.069
59306.249 21.061 0.073
59306.279 20.973 0.075
59307.318 20.903 0.076
59307.326 20.738 0.076
59310.292 20.802 0.040
59311.289 21.239 0.058
59313.289 21.338 0.056
59314.349 21.497 0.080
