SN2021dbg 0.020000 141.111625 -6.581431
filter g
59261.152 17.256 0.005
59262.141 16.770 0.004
59263.118 16.520 0.004
59264.157 16.348 0.004
59265.069 16.239 0.004
59266.099 16.167 0.004
59267.081 16.131 0.004
59268.284 16.106 0.004
59269.206 16.107 0.005
59270.169 16.131 0.006
59271.107 16.139 0.011
59272.142 16.176 0.009
59273.143 16.245 0.007
59274.120 16.265 0.006
59275.127 16.326 0.005
59276.162 16.407 0.005
59277.099 16.439 0.005
59278.130 16.503 0.004
59279.081 16.556 0.005
59280.108 16.621 0.004
59281.077 16.662 0.005
59282.092 16.716 0.005
59283.108 16.776 0.005
59285.106 16.856 0.005
59286.081 16.908 0.005
59287.079 16.959 0.005
59288.082 17.001 0.005
59289.067 17.048 0.006
59290.097 17.097 0.005
59291.059 17.133 0.006
59293.246 17.209 0.005
59294.055 17.234 0.006
59295.064 17.286 0.006
59296.044 17.321 0.007
59297.082 17.341 0.008
59298.071 17.399 0.010
59299.071 17.464 0.012
59300.075 17.447 0.012
59301.068 17.485 0.013
59302.083 17.525 0.015
59303.066 17.546 0.012
59304.045 17.498 0.009
59305.053 17.559 0.007
59306.041 17.570 0.007
59307.048 17.584 0.006
59308.050 17.620 0.007
59309.032 17.652 0.007
59310.032 17.649 0.007
59311.055 17.657 0.008
59313.041 17.703 0.007
59314.078 17.740 0.008
59315.004 17.733 0.008
59316.044 17.747 0.007
59317.040 17.782 0.007
filter i
59261.149 17.956 0.009
59262.139 17.458 0.008
59263.116 17.164 0.007
59264.155 16.903 0.006
59265.068 16.761 0.008
59266.098 16.621 0.007
59267.080 16.510 0.007
59268.282 16.428 0.006
59269.202 16.413 0.007
59270.165 16.395 0.009
59271.104 16.394 0.012
59272.139 16.341 0.010
59273.140 16.399 0.008
59274.116 16.395 0.007
59275.124 16.439 0.007
59276.159 16.463 0.006
59277.097 16.465 0.006
59278.128 16.524 0.006
59279.082 16.567 0.006
59280.106 16.585 0.006
59281.075 16.627 0.006
59282.094 16.670 0.006
59283.104 16.714 0.006
59285.102 16.747 0.006
59286.085 16.788 0.006
59287.083 16.847 0.006
59288.086 16.850 0.006
59289.071 16.875 0.006
59290.095 16.905 0.006
59291.057 16.911 0.006
59293.244 16.956 0.006
59294.053 16.972 0.007
59295.062 16.976 0.006
59296.042 16.986 0.006
59297.087 16.981 0.007
59298.075 17.011 0.008
59299.076 17.020 0.008
59300.079 17.075 0.008
59301.072 17.074 0.009
59302.087 17.060 0.008
59303.070 17.045 0.008
59304.043 17.065 0.007
59305.051 17.050 0.006
59306.039 17.076 0.007
59307.046 17.058 0.006
59308.048 17.095 0.009
59309.030 17.081 0.006
59310.030 17.085 0.006
59311.053 17.115 0.007
59313.039 17.094 0.006
59314.076 17.103 0.006
59315.002 17.117 0.007
59316.042 17.129 0.006
59317.037 17.124 0.006
filter r
59261.131 17.691 0.034
59261.143 17.668 0.034
59261.146 17.692 0.006
59262.128 17.102 0.022
59262.136 17.190 0.005
59263.123 16.884 0.004
59264.151 16.633 0.017
59264.153 16.653 0.004
59265.063 16.768 0.017
59265.066 16.523 0.004
59267.086 16.328 0.004
59268.288 16.274 0.004
59269.204 16.259 0.004
59270.167 16.250 0.005
59271.106 16.278 0.008
59272.141 16.286 0.007
59273.142 16.283 0.005
59274.118 16.324 0.005
59275.126 16.337 0.004
59276.166 16.397 0.004
59277.104 16.425 0.004
59278.134 16.476 0.004
59279.079 16.507 0.004
59280.114 16.550 0.004
59281.073 16.581 0.004
59282.087 16.614 0.004
59283.106 16.660 0.004
59285.104 16.709 0.004
59286.083 16.738 0.004
59287.081 16.753 0.004
59288.083 16.777 0.004
59289.069 16.799 0.004
59290.087 16.823 0.004
59291.055 16.840 0.005
59293.253 16.869 0.005
59294.051 16.878 0.005
59295.059 16.890 0.005
59296.040 16.922 0.005
59297.084 16.929 0.006
59298.073 16.940 0.006
59299.073 16.981 0.007
59300.077 16.973 0.007
59301.070 16.985 0.007
59302.085 16.998 0.008
59303.068 16.998 0.007
59305.059 16.994 0.005
59306.037 16.986 0.005
59307.055 17.009 0.004
59308.046 17.019 0.007
59309.027 17.038 0.005
59310.039 17.021 0.005
59313.048 17.048 0.005
59314.084 17.051 0.005
59315.000 17.046 0.005
59316.039 17.065 0.005
59317.046 17.074 0.005
