SN2021dov 0.012000 134.077958 -0.442139
filter ztfg
59267.275 18.119 0.054
59269.253 17.117 0.038
59271.310 16.244 0.040
59271.311 16.219 0.038
59271.366 16.186 0.034
59273.303 15.637 0.030
59275.190 15.277 0.027
59278.236 14.958 0.027
59293.150 15.042 0.027
59296.289 15.269 0.028
59302.151 15.735 0.028
59304.329 15.993 0.030
59307.153 16.173 0.027
59309.169 16.344 0.028
59311.191 16.531 0.028
59313.155 16.721 0.028
59315.190 16.857 0.028
59317.171 17.019 0.028
59323.160 17.278 0.032
59325.192 17.367 0.036
59329.174 17.501 0.049
59335.215 17.527 0.037
59340.171 17.606 0.034
59342.212 17.682 0.038
59348.215 17.663 0.036
59509.517 20.071 0.243
59517.496 20.346 0.182
59523.525 19.883 0.105
59525.482 20.433 0.165
59526.479 20.104 0.147
59527.482 19.898 0.114
59532.499 19.887 0.115
59550.461 20.371 0.154
59640.301 20.480 0.218
59932.442 20.265 0.186
filter ztfr
58513.411 20.790 0.309
58875.273 20.629 0.256
59222.354 20.501 0.242
59250.408 20.115 0.283
59267.334 17.982 0.058
59269.265 16.886 0.044
59269.265 16.906 0.044
59271.253 16.189 0.041
59273.235 15.651 0.039
59275.274 15.318 0.038
59278.171 15.064 0.038
59291.224 14.969 0.038
59291.224 14.947 0.038
59291.232 14.965 0.038
59293.199 15.104 0.038
59293.200 15.116 0.038
59293.210 15.108 0.038
59296.212 15.364 0.038
59302.243 15.551 0.038
59304.152 15.586 0.038
59309.214 15.630 0.038
59315.156 15.808 0.038
59317.157 15.963 0.038
59321.191 16.251 0.038
59323.208 16.325 0.038
59329.212 16.618 0.041
59335.176 16.805 0.040
59338.167 16.919 0.040
59340.238 16.963 0.042
59344.194 17.144 0.041
59487.520 19.358 0.210
59525.504 20.379 0.254
59531.440 20.567 0.287
59532.441 19.971 0.193
59701.193 20.569 0.260
59850.509 19.908 0.278
59851.510 20.322 0.250
59851.513 20.469 0.293
59852.520 20.365 0.293
filter ztfi
59270.268 16.775 0.068
59270.269 16.772 0.068
59274.274 15.758 0.065
59280.316 15.316 0.063
59291.257 15.638 0.064
59296.253 16.028 0.064
59303.170 16.059 0.064
59307.190 15.889 0.064
59312.158 15.788 0.064
59315.172 15.802 0.064
59355.179 17.547 0.094
