SN2021gno 0.006211 183.042875 13.249181
filter g
59294.115 17.427 0.006
59294.304 17.427 0.006
59295.166 17.577 0.007
59295.322 17.631 0.007
59296.104 18.008 0.011
59296.289 18.054 0.008
59297.166 18.302 0.014
59297.285 18.277 0.009
59298.149 18.266 0.015
59298.289 18.361 0.013
59299.148 18.180 0.016
59299.283 18.150 0.017
59300.229 18.102 0.022
59302.213 17.698 0.021
59303.140 17.669 0.017
59304.215 17.577 0.012
59305.181 17.524 0.009
59306.172 17.548 0.009
59307.124 17.582 0.009
59309.201 17.761 0.007
59310.182 17.922 0.008
59311.139 18.084 0.008
59313.171 18.454 0.009
59314.179 18.583 0.010
59315.132 18.762 0.013
59316.133 18.891 0.013
59317.110 18.981 0.014
filter i
59294.112 17.969 0.010
59294.297 17.964 0.010
59295.164 17.876 0.010
59295.320 17.860 0.009
59296.100 18.002 0.011
59296.287 18.051 0.009
59297.161 18.140 0.011
59297.280 18.031 0.009
59298.144 18.083 0.011
59298.283 18.055 0.011
59299.142 17.830 0.011
59299.277 17.845 0.011
59300.223 17.835 0.014
59302.207 17.531 0.014
59303.145 17.420 0.010
59304.213 17.249 0.008
59305.178 17.134 0.007
59306.170 17.081 0.007
59307.120 17.130 0.007
59309.199 17.053 0.006
59310.180 17.137 0.006
59311.136 17.123 0.005
59313.168 17.297 0.006
59314.176 17.418 0.006
59315.130 17.426 0.007
59316.131 17.512 0.007
59317.108 17.626 0.008
filter r
59294.122 17.767 0.007
59294.294 17.690 0.006
59295.172 17.687 0.007
59295.318 17.717 0.007
59296.111 18.003 0.009
59296.296 17.987 0.008
59297.163 18.080 0.010
59297.283 18.072 0.008
59298.147 18.137 0.012
59298.286 18.023 0.010
59299.145 17.925 0.011
59299.280 17.939 0.012
59300.226 17.751 0.014
59302.210 17.427 0.014
59303.142 17.381 0.010
59304.211 17.324 0.008
59305.187 17.225 0.006
59306.168 17.195 0.006
59307.117 17.179 0.005
59309.208 17.206 0.005
59310.177 17.234 0.006
59311.134 17.307 0.005
59313.165 17.499 0.005
59314.187 17.613 0.006
59315.139 17.688 0.006
59316.140 17.824 0.007
59317.105 17.857 0.007
