SN2022esa 0.023000 253.490000 -9.702850
filter ztfg
59674.482 17.354 0.029
59676.462 17.327 0.031
59678.482 17.274 0.028
59690.440 17.197 0.031
59694.397 17.208 0.031
59700.441 16.958 0.028
59702.442 16.934 0.028
59710.304 16.977 0.030
59712.423 16.971 0.029
59714.314 16.945 0.033
59717.334 17.025 0.034
59725.336 17.122 0.028
59729.401 17.131 0.028
59736.290 17.177 0.028
59736.294 17.097 0.028
59738.378 17.114 0.028
59742.313 17.293 0.037
59747.317 17.465 0.032
59749.294 17.560 0.030
59751.316 17.580 0.030
59753.274 17.568 0.029
59759.254 17.461 0.028
59761.273 17.449 0.028
59763.211 17.466 0.029
59765.253 17.410 0.028
59768.295 17.442 0.029
59768.314 17.417 0.030
59781.252 17.969 0.031
59784.232 17.833 0.031
59786.229 18.116 0.031
59788.190 18.123 0.035
59793.253 18.284 0.034
59803.194 18.313 0.051
59806.173 18.265 0.033
59808.234 18.260 0.040
59812.235 18.624 0.050
59816.192 18.837 0.045
59818.209 18.968 0.053
59823.191 18.911 0.058
59828.192 18.827 0.109
59830.151 18.653 0.084
60430.341 21.407 0.281
60444.357 21.515 0.272
filter ztfr
58301.353 20.957 0.270
59674.476 16.883 0.038
59678.465 16.767 0.038
59682.373 16.760 0.039
59684.419 16.758 0.039
59690.461 16.687 0.039
59694.317 16.609 0.038
59696.442 16.536 0.038
59698.398 16.540 0.038
59700.398 16.461 0.038
59708.356 16.442 0.038
59708.420 16.442 0.038
59710.377 16.446 0.038
59712.375 16.446 0.038
59714.356 16.471 0.039
59719.358 16.489 0.038
59719.420 16.506 0.038
59723.315 16.513 0.038
59734.252 16.448 0.038
59738.292 16.479 0.038
59740.315 16.485 0.038
59742.272 16.643 0.039
59747.339 16.696 0.038
59749.337 16.789 0.038
59751.357 16.874 0.038
59756.339 16.796 0.038
59759.295 16.787 0.038
59763.295 16.773 0.038
59765.318 16.735 0.038
59772.296 16.895 0.039
59774.273 17.030 0.040
59776.231 17.055 0.038
59776.316 17.054 0.038
59779.255 17.193 0.038
59779.296 17.208 0.039
59790.253 17.499 0.040
59808.169 17.585 0.039
59810.175 17.793 0.041
59814.234 17.991 0.044
59816.158 18.046 0.041
59818.213 18.106 0.042
59820.157 18.256 0.050
59823.170 18.280 0.046
59828.150 18.141 0.051
59865.115 18.647 0.061
59865.118 18.692 0.063
59866.105 18.656 0.059
59866.108 18.606 0.057
59866.111 18.733 0.066
59866.114 18.674 0.061
59866.117 18.538 0.067
59867.104 18.623 0.057
59867.107 18.655 0.054
59867.110 18.667 0.058
59867.113 18.609 0.055
59867.116 18.589 0.056
59877.086 18.632 0.110
59877.091 18.953 0.114
59877.094 18.892 0.088
60051.420 21.213 0.218
60087.368 21.761 0.310
60318.578 19.421 0.308
60319.574 20.149 0.300
