SN2022vqz 0.016875 12.774092 29.536711
filter ztfg
59846.369 18.305 0.032
59848.402 19.107 0.045
59850.388 18.008 0.030
59852.348 17.331 0.028
59854.385 16.872 0.027
59856.333 16.479 0.027
59858.407 16.134 0.027
59860.329 16.035 0.027
59860.331 16.018 0.027
59860.340 15.941 0.028
59862.384 15.843 0.028
59864.387 15.810 0.028
59865.429 15.875 0.027
59866.269 15.821 0.027
59867.300 15.959 0.027
59870.354 16.070 0.027
59872.321 16.250 0.027
59872.322 16.328 0.027
59872.323 16.359 0.027
59873.271 16.473 0.027
59873.361 16.438 0.027
59874.216 16.475 0.027
59876.302 16.778 0.028
59876.303 16.771 0.028
59877.409 16.797 0.028
59879.338 17.119 0.027
59880.237 17.095 0.028
59882.185 17.341 0.028
59882.186 17.381 0.028
59882.223 17.296 0.028
59887.261 17.668 0.033
59887.262 17.725 0.035
59888.245 17.669 0.047
59888.259 17.702 0.040
59888.262 17.807 0.042
59896.221 17.976 0.034
59898.228 18.017 0.031
59902.279 18.272 0.043
59903.250 18.301 0.034
59903.270 18.294 0.034
59904.175 18.230 0.034
59905.220 18.344 0.043
59906.190 18.270 0.032
59909.195 18.327 0.033
59914.219 18.382 0.045
59923.218 18.524 0.052
59928.198 18.739 0.054
59932.196 18.747 0.041
59936.174 18.728 0.051
59968.129 19.437 0.093
59970.157 19.389 0.120
59977.145 19.746 0.202
59980.139 19.531 0.153
59982.102 19.509 0.140
59984.138 19.959 0.187
59991.138 19.699 0.169
59994.144 19.875 0.198
filter ztfr
58343.465 21.418 0.299
58435.269 19.832 0.213
58457.200 20.697 0.255
58774.134 20.519 0.291
59005.473 20.347 0.308
59086.400 21.167 0.232
59846.425 18.407 0.044
59848.346 18.808 0.049
59850.275 17.940 0.041
59852.320 17.228 0.039
59854.288 16.758 0.038
59856.348 16.353 0.038
59858.320 16.059 0.038
59860.221 15.911 0.038
59864.324 15.685 0.038
59865.367 15.763 0.038
59866.359 15.678 0.038
59866.395 15.691 0.038
59867.364 15.779 0.038
59867.365 15.745 0.038
59870.297 15.758 0.038
59872.366 15.834 0.038
59874.274 15.926 0.038
59874.319 15.975 0.038
59874.320 15.992 0.038
59877.351 16.074 0.038
59880.220 16.227 0.038
59882.309 16.315 0.063
59882.310 16.383 0.038
59883.346 16.374 0.038
59885.240 16.477 0.038
59894.303 16.931 0.039
59896.283 16.998 0.039
59901.240 17.257 0.039
59902.165 17.283 0.039
59904.193 17.321 0.039
59906.152 17.371 0.039
59909.247 17.441 0.040
59910.243 17.612 0.039
59910.244 17.640 0.040
59914.152 17.674 0.043
59928.152 18.150 0.050
59932.225 18.312 0.054
59934.239 18.322 0.053
59936.199 18.338 0.044
59942.208 18.783 0.093
59966.146 19.679 0.181
59968.159 19.887 0.185
59980.123 19.679 0.151
59982.180 18.596 0.144
59994.156 19.992 0.254
60099.462 20.211 0.293
filter ztfi
58312.392 20.409 0.280
58709.434 20.510 0.308
59789.429 20.252 0.248
59845.309 19.738 0.107
59846.295 18.690 0.072
59846.337 18.575 0.078
59849.383 18.372 0.073
59853.408 17.040 0.064
59856.365 16.460 0.064
59859.380 16.164 0.064
59862.361 15.948 0.064
59865.312 15.969 0.064
59870.277 16.048 0.064
59877.321 16.215 0.064
59879.229 16.301 0.063
59880.298 16.293 0.064
59880.309 16.346 0.063
59883.254 16.403 0.064
59887.234 16.578 0.065
59887.319 16.530 0.064
59895.260 16.896 0.065
59898.341 17.073 0.068
59902.214 17.208 0.066
59907.202 17.377 0.066
59913.299 17.640 0.078
59969.225 18.716 0.126
60145.465 20.750 0.309
60591.367 19.523 0.217
