SN2023abqf 0.019932 146.583792 3.071272
filter ztfg
59699.197 21.564 0.301
60314.411 15.847 0.027
60321.467 15.781 0.027
60324.377 15.858 0.027
60341.254 17.047 0.028
60352.257 17.952 0.030
60354.330 18.030 0.031
60357.379 18.180 0.031
60380.254 18.662 0.034
60388.275 18.812 0.051
60403.290 19.027 0.049
60407.280 19.255 0.065
60416.256 19.391 0.107
60420.210 19.229 0.090
60422.156 19.544 0.125
60429.186 19.532 0.057
60433.194 19.617 0.069
60447.196 19.639 0.153
60626.505 21.671 0.180
60708.289 22.210 0.295
60728.269 20.797 0.240
filter ztfr
59196.481 20.896 0.276
59851.528 20.499 0.303
60314.439 15.872 0.038
60324.458 15.851 0.037
60326.400 15.936 0.037
60341.298 16.651 0.038
60352.359 16.975 0.038
60352.404 16.966 0.038
60354.338 17.053 0.038
60357.333 17.293 0.038
60374.364 17.979 0.042
60388.228 18.360 0.047
60397.275 18.651 0.050
60403.248 18.961 0.050
60407.250 19.063 0.059
60416.211 19.262 0.081
60420.250 19.270 0.101
60422.255 19.499 0.113
60429.212 19.689 0.083
60433.173 19.721 0.080
filter ztfi
60055.161 20.833 0.290
60311.408 16.421 0.064
60314.415 16.288 0.064
60321.441 16.461 0.063
60324.419 16.613 0.064
60327.421 16.823 0.064
60353.328 17.102 0.064
60356.380 17.273 0.064
60368.370 17.944 0.071
60378.255 18.362 0.070
60398.268 19.050 0.104
60404.269 19.134 0.095
60408.214 19.421 0.106
60412.234 19.575 0.108
60421.208 19.989 0.195
60434.212 20.113 0.144
60440.215 20.159 0.174
60452.197 20.125 0.303
