iPTF13dyt 0.111413 75.451083 2.697139
filter B
56602.301 18.262 0.061
56603.293 18.172 0.054
56604.262 18.128 0.062
56605.290 18.189 0.069
56608.286 18.218 0.052
56611.245 18.354 0.037
56614.295 18.385 0.038
56619.311 18.527 0.054
56622.327 18.473 0.034
57427.103 18.684 0.051
57434.059 18.744 0.045
57451.073 18.579 0.037
57451.075 18.618 0.036
57451.077 18.657 0.041
filter V
56602.307 17.380 0.063
56603.299 17.306 0.054
56604.268 17.273 0.056
56605.284 17.235 0.070
56608.292 17.331 0.054
56611.240 17.539 0.036
56614.301 17.479 0.042
56619.317 17.500 0.061
56622.333 17.583 0.035
57427.102 17.742 0.052
57434.054 17.806 0.042
57451.065 17.694 0.040
57451.068 17.726 0.043
57451.070 17.701 0.041
filter Y
56607.325 16.068 0.026
56612.230 15.872 0.029
56617.279 16.007 0.029
57267.354 16.104 0.030
filter i
56602.319 16.497 0.070
56603.312 16.354 0.056
56604.281 16.321 0.062
56605.277 16.107 0.063
56608.303 16.695 0.059
56611.228 16.878 0.043
56614.307 16.923 0.050
56619.328 16.595 0.066
57427.105 17.047 0.058
57434.073 17.043 0.049
57451.051 16.959 0.054
57451.054 16.952 0.051
57451.056 16.986 0.050
filter r
56602.313 17.013 0.064
56603.306 16.830 0.055
56604.275 16.830 0.063
56605.271 16.593 0.071
56608.298 17.002 0.057
56611.234 17.243 0.040
56614.313 17.223 0.049
56619.323 17.060 0.061
57427.104 17.381 0.056
57434.069 17.433 0.046
57451.058 17.360 0.052
57451.060 17.364 0.045
57451.062 17.375 0.045
