# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.9 on 2026-03-15 at 10:40:59
#
# Requested input R.A. = 155.38291667 degrees
# Requested input Dec. = 8.40586667 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2461143.29969 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# diffimgstatus = Difference-image quality filtering (0=bad,1=good)
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 521 4 3 ZTF_g 448272361515 0 2.4923 121.72 7.57344 26.2307 3.00934e-05 0.0390505 -0.0148382 4.47221e-05 344 30. 0.059208 0.055179 20.146 26.2307 1 2458202.7723611 521120115 1 24.8820141957757 39.9100007057709 0.69351937595155 1.06911403601846 -36.9840938251854 63.3716029341554 -0.587537352710815 1.08746515488751 1.19088824672329 18.1650001525879 0.0640000030398369 6.34899997711182 0.319000005722046 2458166.814259 2458442.018808 0
 1 521 4 3 ZTF_g 454261461515 1 1.9757 78.897 30.1663 25.7703 8.2339e-05 0.0330621 -0.0211132 0.000180158 114 30. 0.058224 0.056278 18.2553 25.7703 1 2458208.7614699 521120115 1 -36.3655164706117 145.630496119736 -0.277774408813017 0.961040919254036 -245.603836032638 261.342557856084 -0.946106879903089 1.06594252181792 1.19088824672329 18.1650001525879 0.0640000030398369 6.34899997711182 0.319000005722046 2458166.814259 2458442.018808 0
 2 521 4 3 ZTF_g 454280901515 1 2.5644 73.3765 33.2147 25.8212 0.000132914 0.0373351 -0.0401767 0.000290191 91 30. 0.072389 0.06167 18.01 25.8212 1 2458208.7809028 521120115 1 354.55355388617 179.713987229347 2.19459691426154 0.950864742287058 375.299637946497 288.819336947314 1.30817869258463 1.08114462925006 1.19088824672329 18.1650001525879 0.0640000030398369 6.34899997711182 0.319000005722046 2458166.814259 2458442.018808 0
 3 521 4 3 ZTF_r 460197341515 48 2.6911 6.0401 11.4067 22.4727 0.00138385 0.0439599 0.0452337 0.00265118 18 30. 0.087293 0.063662 15.7821 22.4727 1 2458214.6973495 521120215 1 -2.29720497232387 63.3312499066217 -0.0403493450249775 1.04344718029088 -36.6789683057679 99.9518672427949 -0.369437853301236 1.117953262981 1.19672183050785 17.6390003204346 0.105999998748302 7.66300010681152 1.02699995040894 2458155.816817 2458257.729456 0
 4 521 4 3 ZTF_r 460218811515 33554464 3.8687 21.7323 11.2023 23.5887 0.000976498 0.108605 0.176863 0.00155592 107 30. 0.080746 0.059128 16.9752 23.5887 1 2458214.7188194 521120215 1 46.9562005034358 52.2383613039049 0.99990376727682 1.05798143305496 120.207882104568 85.455959309634 1.41613867639361 1.0672810409017 1.19672183050785 17.6390003204346 0.105999998748302 7.66300010681152 1.02699995040894 2458155.816817 2458257.729456 0
 5 521 4 3 ZTF_r 463202161515 0 1.4804 157.009 7.41128 25.7741 2.03259e-05 0.0330054 0.113908 2.73017e-05 383 30. 0.063518 0.055598 20.005 25.7741 1 2458217.7021644 521120215 1 -54.2832982995432 30.3513521631838 -1.98949561001061 0.970290068775381 -126.611937516351 62.5525954859476 -2.03772002120622 1.03695969025609 1.19672183050785 17.6390003204346 0.105999998748302 7.66300010681152 1.02699995040894 2458155.816817 2458257.729456 0
 6 521 4 3 ZTF_r 463217591515 0 1.5586 186.748 6.64189 26.006 1.47663e-05 0.027719 0.100746 1.96934e-05 380 30. 0.060826 0.055876 20.3463 26.006 1 2458217.7175926 521120215 1 -19.5455854266078 24.9664312150694 -0.870857340131789 1.08594294330295 -10.6965902127912 50.7962075555731 -0.211996778529586 1.03212460053715 1.19672183050785 17.6390003204346 0.105999998748302 7.66300010681152 1.02699995040894 2458155.816817 2458257.729456 0
 7 521 4 3 ZTF_r 467204871515 0 4.7232 151.918 7.95513 25.7731 4.51223e-05 0.0459556 0.119068 6.08324e-05 338 30. 0.083762 0.078625 19.0874 25.7731 1 2458221.7048727 521120215 1 14.4628365211985 52.6731054652411 0.305435388719486 1.0775045955415 75.6546359965685 67.6021438823872 1.12665323832476 1.15829242435799 1.19672183050785 17.6390003204346 0.105999998748302 7.66300010681152 1.02699995040894 2458155.816817 2458257.729456 0
 8 521 4 3 ZTF_r 470180401515 0 2.1802 165.943 6.47377 25.8621 1.62899e-05 0.0290889 0.110561 2.16637e-05 379 30. 0.054414 0.052245 20.1178 25.8621 1 2458224.6804051 521120215 1 -2.50383194569284 27.3760593426941 -0.101739369913324 1.02372631881153 111.371455327048 50.7245999803399 2.21039788445605 1.04549146332603 1.19672183050785 17.6390003204346 0.105999998748302 7.66300010681152 1.02699995040894 2458155.816817 2458257.729456 0
