# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.9 on 2026-03-15 at 10:25:21
#
# Requested input R.A. = 226.47717500 degrees
# Requested input Dec. = 12.74536944 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2461143.29969 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# diffimgstatus = Difference-image quality filtering (0=bad,1=good)
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 531 12 0 ZTF_r 444437074415 0 1.9781 203.247 5.80995 26.3156 3.9154e-06 0.0216942 0.110294 7.28001e-06 668 30. 0.051873 0.050584 20.7012 26.3156 1 2458198.9370718 531120244 1 -45.6838683224253 30.502170244196 -1.66604578219675 1.75966862110242 -35.4707786759698 54.2007653342921 -0.658840815086561 1.0705304451846 1.40181889591131 17.9329999923706 0.131999999284744 8.97500038146973 0.591000020503998 2458186.939896 2458226.876562 0
 1 531 12 0 ZTF_r 444479164415 0 1.7324 198.766 5.88174 26.2887 4.814e-06 0.0242384 0.112361 8.88937e-06 675 30. 0.054511 0.053904 20.751 26.2887 1 2458198.9791667 531120244 1 -42.5586573392918 30.2866412306034 -1.56311743147128 2.51593273484401 -25.2210571096163 54.4421720477396 -0.466383346316084 1.0664498495807 1.40181889591131 17.9329999923706 0.131999999284744 8.97500038146973 0.591000020503998 2458186.939896 2458226.876562 0
 2 531 12 0 ZTF_g 450421054415 0 2.9875 90.9388 8.11261 26.3148 1.29325e-05 0.0372255 -0.0423081 2.86788e-05 597 30. 0.060113 0.057871 19.9367 26.3148 1 2458204.9210532 531120144 1 -103.125426641411 53.7934813531013 -2.13250917293452 1.12515039521279 -174.837991423659 79.7958076674103 -2.20582434717397 1.10771062129369 0.853658284539415 18.614999961853 0.0860000029206276 4.00899982452393 0.569000005722046 2458204.921053 2458334.676528 0
 3 531 12 0 ZTF_g 450441284415 0 2.9172 91.9957 7.3514 26.3171 1.01903e-05 0.0333797 -0.0336117 2.19031e-05 616 30. 0.067761 0.061401 20.0546 26.3171 1 2458204.9412847 531120144 1 -135.354262482811 46.3366591171396 -3.24939135022794 1.26111359735232 -288.915538354116 68.9886381043351 -4.21607686598734 1.10917082358074 0.853658284539415 18.614999961853 0.0860000029206276 4.00899982452393 0.569000005722046 2458204.921053 2458334.676528 0
 4 531 12 0 ZTF_g 453386754415 0 2.1442 91.4468 15.7563 26.3074 1.88963e-05 0.0422442 -0.0208403 4.77316e-05 528 30. 0.050655 0.050082 19.4533 26.3074 1 2458207.8867593 531120144 1 -58.2954185649162 83.337239270778 -0.778126339885177 1.02824550543212 -44.6396044556084 140.703087425835 -0.319397787085807 1.09672189992029 0.853658284539415 18.614999961853 0.0860000029206276 4.00899982452393 0.569000005722046 2458204.921053 2458334.676528 0
 5 531 12 0 ZTF_g 453406374415 0 1.9317 92.5583 15.3842 26.3137 1.61692e-05 0.0395696 -0.0327665 3.90874e-05 540 30. 0.049445 0.048906 19.566 26.3137 1 2458207.9063773 531120144 1 96.4515240177136 77.1671364717095 1.3903735927557 1.10606098060831 208.910834071538 133.966557511027 1.56992808105384 1.09576823608119 0.853658284539415 18.614999961853 0.0860000029206276 4.00899982452393 0.569000005722046 2458204.921053 2458334.676528 0
 6 531 12 0 ZTF_g 456388904415 0 2.3855 82.3801 22.3475 26.1973 3.42674e-05 0.040801 -0.0185132 0.000100811 315 30. 0.054628 0.058552 18.8691 26.1973 1 2458210.8889005 531120144 1 56.0136702242437 125.297404280355 0.497286600523349 1.00050971881003 128.343167742916 196.230971849228 0.658446345876287 1.12195689299936 0.853658284539415 18.614999961853 0.0860000029206276 4.00899982452393 0.569000005722046 2458204.921053 2458334.676528 0
 7 531 12 0 ZTF_g 456408134415 0 2.1003 85.8699 22.7384 26.2427 2.48599e-05 0.038574 -0.0348034 7.09942e-05 359 30. 0.054857 0.05944 19.001 26.2427 1 2458210.9081366 531120144 1 27.5542200110137 126.393172722555 0.242504223759282 0.939690662439146 -79.8742846923897 207.752555483687 -0.38705777846216 1.11710026156779 0.853658284539415 18.614999961853 0.0860000029206276 4.00899982452393 0.569000005722046 2458204.921053 2458334.676528 0
 8 531 12 0 ZTF_i 460393964415 48 2.6652 18.3632 15.4232 22.6438 0.000985248 0.0610727 0.0118735 0.00470965 16 30. 0.085507 0.082999 15.6065 22.6438 2 2458214.8939699 531120344 1 -96.3720168137103 89.4398724383207 -1.19860083988152 1.04849137035137 -172.982543628762 139.803246524938 -1.24566199527829 1.11337487758921 null null null null null 2458173.984468 2458332.659340 57
