# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.9 on 2026-03-15 at 10:26:04
#
# Requested input R.A. = 33.64095833 degrees
# Requested input Dec. = -0.76576944 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2461143.29969 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# diffimgstatus = Difference-image quality filtering (0=bad,1=good)
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 1445 6 2 ZTF_r 599388932215 0 2.0044 576.707 9.20212 26.2639 1.26161e-05 0.0254211 0.107514 1.71423e-05 362 30. 0.057656 0.056151 20.1004 26.2639 2 2458353.8889352 1445120222 1 227.429573521196 45.4338533435558 5.56829411196186 13.5657374857015 1093.20522818924 88.3293671737805 12.4598201426405 1.0326875737532 1.3537399370985 17.4229997634888 0.11599999666214 8.82299995422363 0.639999985694885 2458353.888935 2458774.774537 0
 1 1445 6 2 ZTF_r 602383692215 0 2.3083 581.96 14.5974 26.2957 1.43679e-05 0.0277885 0.096985 1.97562e-05 373 30. 0.060029 0.059812 19.5231 26.2957 2 2458356.8836921 1445120222 1 322.390228682266 71.6144909257881 5.00767070015177 5.64235298805688 1004.36520793874 132.194708782394 7.64879074747753 1.03551481010836 1.3537399370985 17.4229997634888 0.11599999666214 8.82299995422363 0.639999985694885 2458353.888935 2458774.774537 0
 2 1445 6 2 ZTF_r 603395682215 0 1.8905 593.915 13.738 26.2926 1.52378e-05 0.0283688 0.112025 2.06393e-05 371 30. 0.054804 0.054564 19.8256 26.2926 2 2458357.8956829 1445120222 1 302.626419858769 52.6916894990999 6.38880330052216 12.4503441210395 1390.22984746047 102.779436695262 13.6174430457292 1.03599107880689 1.3537399370985 17.4229997634888 0.11599999666214 8.82299995422363 0.639999985694885 2458353.888935 2458774.774537 0
 3 1445 6 2 ZTF_g 610476752215 0 2.3962 115.084 6.83738 26.1888 2.13894e-05 0.0329765 0.00544241 3.11537e-05 346 30. 0.059566 0.063113 20.3073 26.1888 2 2458364.9767593 1445120122 1 51.4380175535717 44.5401321082789 1.2846579906383 7.8950057128038 130.18067812243 72.5608700536161 1.80617256081244 1.08395383448234 1.63398007613171 17.7740003585815 0.119999997317791 5.74300003051758 0.533999979496002 2458364.976759 2458749.881018 0
 4 1445 6 2 ZTF_r 629356412215 0 1.6008 568.465 11.2668 26.2488 1.26974e-05 0.0252726 0.107377 1.74424e-05 357 30. 0.055272 0.057689 19.9407 26.2488 2 2458383.856412 1445120222 1 45.2044649490315 45.6977995545808 1.10037533203509 5.83653925336835 4.20936607989715 95.5297810587578 0.0443601603150775 1.02592979090497 1.3537399370985 17.4229997634888 0.11599999666214 8.82299995422363 0.639999985694885 2458353.888935 2458774.774537 0
 5 1445 6 2 ZTF_g 630356122215 0 2.1637 97.3883 17.3234 26.0265 0.000203748 0.0870195 -0.0499943 0.000370645 241 30. 0.06904 0.060433 19.0466 26.0265 2 2458384.8561227 1445120122 1 158.314188779776 74.7357113273914 2.35638618850067 1.38171520245457 782.750839380543 139.937782635785 5.63123622853341 1.03184379902932 1.63398007613171 17.7740003585815 0.119999997317791 5.74300003051758 0.533999979496002 2458364.976759 2458749.881018 0
 6 1445 6 2 ZTF_g 636381352215 0 1.8615 117.365 12.281 26.2829 2.57874e-05 0.0348442 -0.0586217 4.00824e-05 318 30. 0.052813 0.053288 19.9599 26.2829 2 2458390.8813542 1445120122 1 49.4323415060657 49.7794693574781 1.10462716929943 1.49226482841444 345.504884238689 99.4643958421629 3.4970491356987 1.02770107989878 1.63398007613171 17.7740003585815 0.119999997317791 5.74300003051758 0.533999979496002 2458364.976759 2458749.881018 0
 7 1445 6 2 ZTF_r 670287952215 0 2.5103 239.285 10.3665 25.3026 3.99376e-05 0.043343 0.117718 5.45476e-05 330 30. 0.070441 0.066745 18.8117 25.3026 2 2458424.7879514 1445120222 1 -36.360535637022 58.9913061271387 -0.685641444811901 1.39563041083635 154.167115359817 97.0237944146835 1.59966367722542 1.06459441696271 1.3537399370985 17.4229997634888 0.11599999666214 8.82299995422363 0.639999985694885 2458353.888935 2458774.774537 0
 8 1445 6 2 ZTF_r 671281552215 0 2.0436 584.735 6.49882 26.2869 1.43648e-05 0.0275561 0.116101 1.95823e-05 371 30. 0.060224 0.051596 20.4142 26.2869 2 2458425.7815509 1445120222 1 50.3497455583022 39.3899755404921 1.42189121229475 4.36701758270685 288.600047981032 74.4532365847677 3.90236609227817 1.03446246406722 1.3537399370985 17.4229997634888 0.11599999666214 8.82299995422363 0.639999985694885 2458353.888935 2458774.774537 0
