# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.9 on 2026-03-15 at 10:25:25
#
# Requested input R.A. = 37.49986769 degrees
# Requested input Dec. = 28.63418576 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2461143.29969 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# diffimgstatus = Difference-image quality filtering (0=bad,1=good)
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 605 15 2 ZTF_r 544452815815 0 3.013 188.871 13.9715 26.0773 1.66372e-05 0.0414892 0.108048 2.44938e-05 717 30. 0.071542 0.057239 19.0637 26.0773 1 2458298.9528125 605120258 1 -2.23915628239063 85.013634001402 -0.0292988535151817 1.01893424576962 -177.005997323228 124.084994396335 -1.43609744084001 1.08868680354856 1.51762835787664 16.7579998016357 0.100000001490116 6.85799980163574 0.667999982833862 2458298.952812 2458447.855336 0
 1 605 15 2 ZTF_r 547445375815 0 2.3865 189.491 10.4397 26.0975 1.00645e-05 0.0325939 0.0996331 1.47577e-05 748 30. 0.065375 0.062143 19.5953 26.0975 1 2458301.9453704 605120258 1 -84.5334535692881 53.8469889076038 -1.74631261184704 1.07382289116833 -131.702347372843 94.9251729685546 -1.39677775782198 1.04034205871957 1.51762835787664 16.7579998016357 0.100000001490116 6.85799980163574 0.667999982833862 2458298.952812 2458447.855336 0
 2 605 15 2 ZTF_g 547476165815 0 2.3177 93.3091 12.5022 26.2008 1.53774e-05 0.0355257 -0.0557152 2.86824e-05 600 30. 0.056802 0.050619 19.5012 26.2008 1 2458301.976169 605120158 1 82.4747697527559 60.0930144417879 1.52669373298773 1.13315150639106 49.6521310583091 104.7654677445 0.477128027907286 1.05764261977297 1.37656280808352 17.5090000152588 0.0989999994635582 6.70800018310547 0.711000025272369 2458304.965961 2458425.888160 0
 3 605 15 2 ZTF_g 550465965815 0 2.8995 96.0921 8.74755 26.2444 1.64446e-05 0.038553 -0.101516 2.86055e-05 648 30. 0.053905 0.055333 19.7695 26.2444 1 2458304.9659606 605120158 1 56.896441265755 48.6455694308356 1.30105786620346 1.06461017158958 158.437630345289 78.8390450467376 2.02316906308036 1.05185140371448 1.37656280808352 17.5090000152588 0.0989999994635582 6.70800018310547 0.711000025272369 2458304.965961 2458425.888160 0
 4 605 15 2 ZTF_r 556451905815 0 1.9855 171.582 5.87162 25.9566 5.6662e-06 0.0248798 0.109493 8.37459e-06 772 30. 0.058059 0.062787 20.3427 25.9566 1 2458310.9519097 605120258 1 -49.7280730338484 29.5375825811817 -1.87275723206215 1.13569256220073 -0.0357575380625972 54.3746301666987 -0.000662043438794778 1.05912193891222 1.51762835787664 16.7579998016357 0.100000001490116 6.85799980163574 0.667999982833862 2458298.952812 2458447.855336 0
 5 605 15 2 ZTF_g 566466725815 0 2.0714 72.7994 4.76795 25.8749 1.16914e-05 0.0343622 -0.0251024 1.81402e-05 716 30. 0.050141 0.046767 20.5486 25.8749 1 2458320.9667245 605120158 1 -21.227051064566 26.5934834536045 -0.887910592263641 1.05168565172237 -112.806156783378 45.5002635382107 -2.49593966954135 1.10728457334263 1.37656280808352 17.5090000152588 0.0989999994635582 6.70800018310547 0.711000025272369 2458304.965961 2458425.888160 0
 6 605 15 2 ZTF_r 566488715815 0 1.2931 198.247 6.12502 26.1257 6.8009e-06 0.0269336 0.0945977 9.92376e-06 753 30. 0.071336 0.065323 20.6333 26.1257 1 2458320.9887153 605120258 1 -158.972075170545 28.3334236888643 -6.24132199166109 1.04772005484389 -262.395827554969 57.8821087480877 -4.56381227747164 1.04020003368434 1.51762835787664 16.7579998016357 0.100000001490116 6.85799980163574 0.667999982833862 2458298.952812 2458447.855336 0
 7 605 15 2 ZTF_g 569445775815 0 1.9755 98.8011 4.72747 26.2223 8.6014e-06 0.0304 -0.0254497 1.27411e-05 750 30. 0.054092 0.048873 20.8289 26.2223 1 2458323.9457755 605120158 1 4.29760167960613 27.6104867249152 0.173143781849 1.0447284766698 22.7267137998352 46.8262410536921 0.488610211069941 1.11497964219042 1.37656280808352 17.5090000152588 0.0989999994635582 6.70800018310547 0.711000025272369 2458304.965961 2458425.888160 0
 8 605 15 2 ZTF_r 569487035815 0 1.7429 211.973 6.39581 26.2018 4.6908e-06 0.0226279 0.102189 6.84551e-06 765 30. 0.0429 0.037735 20.5298 26.2018 1 2458323.987037 605120258 1 7.2869563450175 28.5751391302742 0.283669481732702 1.17260045266463 -30.1154170975473 56.0055640498491 -0.541343466113502 1.04330266152627 1.51762835787664 16.7579998016357 0.100000001490116 6.85799980163574 0.667999982833862 2458298.952812 2458447.855336 0
