sn_name,reqid,ra_job_deg,dec_job_deg,sep_to_target_arcsec,created,started,ended,exitcode,lightcurve_path,status,message,output_file,n_lines
ASASSN-14ba,467123,155.38291667,8.40586667,1.6879710977433874e-05,2026-03-13 12:13:27.617449,2026-03-15 10:40:59.727326,2026-03-15 11:09:55.243899,62,/ztf/ops/forcedphot/lc/0/467/req467123/cksum6279bf354329deacd356c688bbc601b9/forcedphotometry_req00467123_lc.txt,downloaded,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ZTF/raw/ZTF_ASASSN-14ba_forcedphot.txt,1151
ASASSN-14cu,467118,191.76116667,-24.24480556,1.9383494592785612e-05,2026-03-13 12:13:27.071861,2026-03-15 10:26:16.706943,2026-03-15 10:28:04.455862,63,/ztf/ops/forcedphot/lc/0/467/req467118/cksum09fa4f6aede37d5ef7eb66ef43100402/forcedphotometry_req00467118_lc.txt,downloaded,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ZTF/raw/ZTF_ASASSN-14cu_forcedphot.txt,0
ASASSN-14dz,467115,226.477175,12.74536944,1.599999660282056e-05,2026-03-13 12:13:26.809266,2026-03-15 10:25:21.636299,2026-03-15 11:21:53.821457,62,/ztf/ops/forcedphot/lc/0/467/req467115/cksum73b9d684def21f97d02072cdeaacd403/forcedphotometry_req00467115_lc.txt,downloaded,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ZTF/raw/ZTF_ASASSN-14dz_forcedphot.txt,1944
ASASSN-14mg,467114,43.49208333,-21.64801667,1.638300219351641e-05,2026-03-13 12:13:26.724591,2026-03-15 10:22:12.055496,2026-03-15 10:27:11.755023,62,/ztf/ops/forcedphot/lc/0/467/req467114/cksum3eacf98ecc91c2c69948b1cc5d638ac1/forcedphotometry_req00467114_lc.txt,downloaded,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ZTF/raw/ZTF_ASASSN-14mg_forcedphot.txt,227
SN2014dm,467121,62.02970833,-8.827,1.1857900403859592e-05,2026-03-13 12:13:27.29966,2026-03-15 10:27:09.476206,2026-03-15 11:08:45.750646,62,/ztf/ops/forcedphot/lc/0/467/req467121/cksum246bd20971ef373f64481214e5471a8d/forcedphotometry_req00467121_lc.txt,downloaded,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ZTF/raw/ZTF_SN2014dm_forcedphot.txt,1534
SN2016ecm,467124,35.06041667,-40.88475,9.072333270434665e-06,2026-03-13 12:13:28.038084,2026-03-15 10:44:52.676057,2026-03-15 10:44:53.234315,63,/ztf/ops/forcedphot/lc/0/467/req467124/cksum0c51daa8e6c6c372d0dba28131ee6459/forcedphotometry_req00467124_lc.txt,downloaded,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ZTF/raw/ZTF_SN2016ecm_forcedphot.txt,0
SN2017cyy,467125,144.150833,-63.948389,0.0,2026-03-13 12:13:28.879138,2026-03-15 10:44:50.566792,2026-03-15 10:44:50.856326,63,/ztf/ops/forcedphot/lc/0/467/req467125/cksum552223f1a6738aa23a78f860823e3745/forcedphotometry_req00467125_lc.txt,downloaded,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ZTF/raw/ZTF_SN2017cyy_forcedphot.txt,0
SN2017dps,467116,204.16682917,-33.967025,9.952375626165613e-06,2026-03-13 12:13:26.886639,2026-03-15 10:25:19.07255,2026-03-15 10:25:19.413526,63,/ztf/ops/forcedphot/lc/0/467/req467116/cksum92f59f32ec999eb85fdd274f99f85859/forcedphotometry_req00467116_lc.txt,downloaded,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ZTF/raw/ZTF_SN2017dps_forcedphot.txt,0
SN2018djd,467119,33.64095833,-0.76576944,1.999935770568075e-05,2026-03-13 12:13:27.140775,2026-03-15 10:26:04.480417,2026-03-15 10:32:56.620557,62,/ztf/ops/forcedphot/lc/0/467/req467119/cksumc094193029cd38f30bc1c8ce0f5d4271/forcedphotometry_req00467119_lc.txt,downloaded,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ZTF/raw/ZTF_SN2018djd_forcedphot.txt,224
SN2018xx,467122,193.451125,-39.6971,0.0,2026-03-13 12:13:27.48133,2026-03-15 10:41:02.838994,2026-03-15 10:41:03.747732,63,/ztf/ops/forcedphot/lc/0/467/req467122/cksumaf67978d37d6a5a530f0c1943ec935da/forcedphotometry_req00467122_lc.txt,downloaded,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ZTF/raw/ZTF_SN2018xx_forcedphot.txt,0
