atlas_file,atlas_name,sample_sn,status,message,output_file,n_points_total,n_ATgr,n_ATri
/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/ASASSN-14ba_atlas_forcedphot.txt,ASASSN-14ba,ASASSN-14ba,skipped_no_new_filters_or_points,,,0,0,0
/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/ASASSN-14cu_atlas_forcedphot.txt,ASASSN-14cu,ASASSN-14cu,skipped_no_new_filters_or_points,,,0,0,0
/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/ASASSN-14db_atlas_forcedphot.txt,ASASSN-14db,ASASSN-14db,skipped_no_new_filters_or_points,,,0,0,0
/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/ASASSN-14dd_atlas_forcedphot.txt,ASASSN-14dd,ASASSN-14dd,skipped_no_new_filters_or_points,,,0,0,0
/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/ASASSN-14dz_atlas_forcedphot.txt,ASASSN-14dz,ASASSN-14dz,skipped_no_new_filters_or_points,,,0,0,0
/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/ASASSN-14mg_atlas_forcedphot.txt,ASASSN-14mg,ASASSN-14mg,skipped_no_new_filters_or_points,,,0,0,0
/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/ASASSN-15ho_atlas_forcedphot.txt,ASASSN-15ho,ASASSN-15ho,skipped_no_new_filters_or_points,,,0,0,0
/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/SN2014bz_atlas_forcedphot.txt,SN2014bz,SN2014bz,skipped_no_new_filters_or_points,,,0,0,0
/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/SN2014cr_atlas_forcedphot.txt,SN2014cr,SN2014cr,skipped_no_new_filters_or_points,,,0,0,0
/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/SN2014dm_atlas_forcedphot.txt,SN2014dm,SN2014dm,skipped_no_new_filters_or_points,,,0,0,0
