obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
26572279,HST,image,hst_12582_05_wfc3_uvis_f275w_ibxb05,HAP fits science image,D,mast:HST/product/hst_12582_05_wfc3_uvis_f275w_ibxb05_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,12582,hst_12582_05_wfc3_uvis_f275w_ibxb05_drc.fits,100431360,26572279,PUBLIC,3,F275W
26690488,HST,image,hst_14668_42_wfc3_uvis_f275w_id9642,HAP fits science image,D,mast:HST/product/hst_14668_42_wfc3_uvis_f275w_id9642_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14668,hst_14668_42_wfc3_uvis_f275w_id9642_drc.fits,410304960,26690488,PUBLIC,3,F275W
26651728,HST,image,hst_14779_03_wfc3_uvis_f275w_id7603,HAP fits science image,D,mast:HST/product/hst_14779_03_wfc3_uvis_f275w_id7603_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_03_wfc3_uvis_f275w_id7603_drc.fits,363415680,26651728,PUBLIC,3,F275W
26651623,HST,image,hst_14779_05_wfc3_uvis_f275w_id7605,HAP fits science image,D,mast:HST/product/hst_14779_05_wfc3_uvis_f275w_id7605_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_05_wfc3_uvis_f275w_id7605_drc.fits,299185920,26651623,PUBLIC,3,F275W
26655851,HST,image,hst_14779_06_wfc3_uvis_f275w_id7606,HAP fits science image,D,mast:HST/product/hst_14779_06_wfc3_uvis_f275w_id7606_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_06_wfc3_uvis_f275w_id7606_drc.fits,433010880,26655851,PUBLIC,3,F275W
26658993,HST,image,hst_14779_15_wfc3_uvis_f275w_id7615,HAP fits science image,D,mast:HST/product/hst_14779_15_wfc3_uvis_f275w_id7615_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_15_wfc3_uvis_f275w_id7615_drc.fits,352261440,26658993,PUBLIC,3,F275W
26651586,HST,image,hst_14779_19_wfc3_uvis_f275w_id7619,HAP fits science image,D,mast:HST/product/hst_14779_19_wfc3_uvis_f275w_id7619_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_19_wfc3_uvis_f275w_id7619_drc.fits,236736000,26651586,PUBLIC,3,F275W
26659390,HST,image,hst_14779_20_wfc3_uvis_f275w_id7620,HAP fits science image,D,mast:HST/product/hst_14779_20_wfc3_uvis_f275w_id7620_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_20_wfc3_uvis_f275w_id7620_drc.fits,319360320,26659390,PUBLIC,3,F275W
26659090,HST,image,hst_14779_25_wfc3_uvis_f275w_id7625,HAP fits science image,D,mast:HST/product/hst_14779_25_wfc3_uvis_f275w_id7625_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_25_wfc3_uvis_f275w_id7625_drc.fits,433592640,26659090,PUBLIC,3,F275W
26659130,HST,image,hst_14779_30_wfc3_uvis_f275w_id7630,HAP fits science image,D,mast:HST/product/hst_14779_30_wfc3_uvis_f275w_id7630_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_30_wfc3_uvis_f275w_id7630_drc.fits,321909120,26659130,PUBLIC,3,F275W
26651674,HST,image,hst_14779_34_wfc3_uvis_f275w_id7634,HAP fits science image,D,mast:HST/product/hst_14779_34_wfc3_uvis_f275w_id7634_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_34_wfc3_uvis_f275w_id7634_drc.fits,353047680,26651674,PUBLIC,3,F275W
26659126,HST,image,hst_14779_36_wfc3_uvis_f275w_id7636,HAP fits science image,D,mast:HST/product/hst_14779_36_wfc3_uvis_f275w_id7636_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_36_wfc3_uvis_f275w_id7636_drc.fits,220440960,26659126,PUBLIC,3,F275W
26659155,HST,image,hst_14779_41_wfc3_uvis_f275w_id7641,HAP fits science image,D,mast:HST/product/hst_14779_41_wfc3_uvis_f275w_id7641_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_41_wfc3_uvis_f275w_id7641_drc.fits,319800960,26659155,PUBLIC,3,F275W
26659401,HST,image,hst_14779_43_wfc3_uvis_f275w_id7643,HAP fits science image,D,mast:HST/product/hst_14779_43_wfc3_uvis_f275w_id7643_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_43_wfc3_uvis_f275w_id7643_drc.fits,233340480,26659401,PUBLIC,3,F275W
26660157,HST,image,hst_14779_44_wfc3_uvis_f275w_id7644,HAP fits science image,D,mast:HST/product/hst_14779_44_wfc3_uvis_f275w_id7644_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_44_wfc3_uvis_f275w_id7644_drc.fits,422115840,26660157,PUBLIC,3,F275W
26659091,HST,image,hst_14779_48_wfc3_uvis_f275w_id7648,HAP fits science image,D,mast:HST/product/hst_14779_48_wfc3_uvis_f275w_id7648_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_48_wfc3_uvis_f275w_id7648_drc.fits,405967680,26659091,PUBLIC,3,F275W
26659305,HST,image,hst_14779_52_wfc3_uvis_f275w_id7652,HAP fits science image,D,mast:HST/product/hst_14779_52_wfc3_uvis_f275w_id7652_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_52_wfc3_uvis_f275w_id7652_drc.fits,433442880,26659305,PUBLIC,3,F275W
