obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
26572279,HST,image,hst_12582_05_wfc3_uvis_f275w_ibxb05,HAP fits science image,D,mast:HST/product/hst_12582_05_wfc3_uvis_f275w_ibxb05_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,12582,hst_12582_05_wfc3_uvis_f275w_ibxb05_drc.fits,100431360,24807146,PUBLIC,3,F275W
26572255,HST,image,hst_12582_05_wfc3_uvis_f275w_ibxb05h0,HAP fits science image,D,mast:HST/product/hst_12582_05_wfc3_uvis_f275w_ibxb05h0_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,12582,hst_12582_05_wfc3_uvis_f275w_ibxb05h0_drc.fits,100428480,24807146,PUBLIC,2,F275W
26572234,HST,image,hst_12582_05_wfc3_uvis_f275w_ibxb05h4,HAP fits science image,D,mast:HST/product/hst_12582_05_wfc3_uvis_f275w_ibxb05h4_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,12582,hst_12582_05_wfc3_uvis_f275w_ibxb05h4_drc.fits,100428480,24807146,PUBLIC,2,F275W
26572284,HST,image,hst_12582_05_wfc3_uvis_total_ibxb05,HAP fits science image,D,mast:HST/product/hst_12582_05_wfc3_uvis_total_ibxb05_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,12582,hst_12582_05_wfc3_uvis_total_ibxb05_drc.fits,100454400,24807146,PUBLIC,3,detection
26572275,HST,image,hst_12582_07_wfc3_uvis_f275w_ibxb07,HAP fits science image,D,mast:HST/product/hst_12582_07_wfc3_uvis_f275w_ibxb07_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,12582,hst_12582_07_wfc3_uvis_f275w_ibxb07_drc.fits,100431360,24807149,PUBLIC,3,F275W
26572245,HST,image,hst_12582_07_wfc3_uvis_f275w_ibxb07j2,HAP fits science image,D,mast:HST/product/hst_12582_07_wfc3_uvis_f275w_ibxb07j2_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,12582,hst_12582_07_wfc3_uvis_f275w_ibxb07j2_drc.fits,100428480,24807149,PUBLIC,2,F275W
26572260,HST,image,hst_12582_07_wfc3_uvis_f275w_ibxb07j6,HAP fits science image,D,mast:HST/product/hst_12582_07_wfc3_uvis_f275w_ibxb07j6_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,12582,hst_12582_07_wfc3_uvis_f275w_ibxb07j6_drc.fits,100428480,24807149,PUBLIC,2,F275W
26572281,HST,image,hst_12582_07_wfc3_uvis_total_ibxb07,HAP fits science image,D,mast:HST/product/hst_12582_07_wfc3_uvis_total_ibxb07_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,12582,hst_12582_07_wfc3_uvis_total_ibxb07_drc.fits,100454400,24807149,PUBLIC,3,detection
24807146,HST,image,ibxb05010,DADS DRC file - CTE-corrected calibrated combined image ACS/WFC3,D,mast:HST/product/ibxb05010_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,CALWF3,3.7.2 (Apr-15-2024),12582,ibxb05010_drc.fits,53343360,24807146,PUBLIC,3,F275W
24807146,HST,image,ibxb05010,DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS,D,mast:HST/product/ibxb05010_drz.fits,SCIENCE,Minimum Recommended Products,DRZ,,CALWF3,3.7.2 (Apr-15-2024),12582,ibxb05010_drz.fits,53343360,24807146,PUBLIC,3,F275W
24807149,HST,image,ibxb07010,DADS DRC file - CTE-corrected calibrated combined image ACS/WFC3,D,mast:HST/product/ibxb07010_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,CALWF3,3.7.2 (Apr-15-2024),12582,ibxb07010_drc.fits,53343360,24807149,PUBLIC,3,F275W
24807149,HST,image,ibxb07010,DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS,D,mast:HST/product/ibxb07010_drz.fits,SCIENCE,Minimum Recommended Products,DRZ,,CALWF3,3.7.2 (Apr-15-2024),12582,ibxb07010_drz.fits,53343360,24807149,PUBLIC,3,F275W
26690488,HST,image,hst_14668_42_wfc3_uvis_f275w_id9642,HAP fits science image,D,mast:HST/product/hst_14668_42_wfc3_uvis_f275w_id9642_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14668,hst_14668_42_wfc3_uvis_f275w_id9642_drc.fits,410304960,25051199,PUBLIC,3,F275W
26690480,HST,image,hst_14668_42_wfc3_uvis_f275w_id9642x0,HAP fits science image,D,mast:HST/product/hst_14668_42_wfc3_uvis_f275w_id9642x0_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14668,hst_14668_42_wfc3_uvis_f275w_id9642x0_drc.fits,410299200,25051199,PUBLIC,2,F275W
26658500,HST,image,hst_14668_42_wfc3_uvis_f275w_id9642x3,HAP fits science image,D,mast:HST/product/hst_14668_42_wfc3_uvis_f275w_id9642x3_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14668,hst_14668_42_wfc3_uvis_f275w_id9642x3_drc.fits,410299200,25051199,PUBLIC,2,F275W
26690507,HST,image,hst_14668_42_wfc3_uvis_total_id9642,HAP fits science image,D,mast:HST/product/hst_14668_42_wfc3_uvis_total_id9642_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14668,hst_14668_42_wfc3_uvis_total_id9642_drc.fits,410319360,25051199,PUBLIC,3,detection
25051199,HST,image,id9642010,DADS DRC file - CTE-corrected calibrated combined image ACS/WFC3,D,mast:HST/product/id9642010_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,CALWF3,3.7.2 (Apr-15-2024),14668,id9642010_drc.fits,217463040,25051199,PUBLIC,3,F275W
25051199,HST,image,id9642010,DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS,D,mast:HST/product/id9642010_drz.fits,SCIENCE,Minimum Recommended Products,DRZ,,CALWF3,3.7.2 (Apr-15-2024),14668,id9642010_drz.fits,217460160,25051199,PUBLIC,3,F275W
26651728,HST,image,hst_14779_03_wfc3_uvis_f275w_id7603,HAP fits science image,D,mast:HST/product/hst_14779_03_wfc3_uvis_f275w_id7603_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_03_wfc3_uvis_f275w_id7603_drc.fits,363415680,25851477,PUBLIC,3,F275W
26651696,HST,image,hst_14779_03_wfc3_uvis_f275w_id7603d0,HAP fits science image,D,mast:HST/product/hst_14779_03_wfc3_uvis_f275w_id7603d0_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_03_wfc3_uvis_f275w_id7603d0_drc.fits,363409920,25851477,PUBLIC,2,F275W
26651710,HST,image,hst_14779_03_wfc3_uvis_f275w_id7603d4,HAP fits science image,D,mast:HST/product/hst_14779_03_wfc3_uvis_f275w_id7603d4_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_03_wfc3_uvis_f275w_id7603d4_drc.fits,363409920,25851477,PUBLIC,2,F275W
26651748,HST,image,hst_14779_03_wfc3_uvis_total_id7603,HAP fits science image,D,mast:HST/product/hst_14779_03_wfc3_uvis_total_id7603_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_03_wfc3_uvis_total_id7603_drc.fits,363415680,25851477,PUBLIC,3,detection
26651623,HST,image,hst_14779_05_wfc3_uvis_f275w_id7605,HAP fits science image,D,mast:HST/product/hst_14779_05_wfc3_uvis_f275w_id7605_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_05_wfc3_uvis_f275w_id7605_drc.fits,299185920,25858700,PUBLIC,3,F275W
26651612,HST,image,hst_14779_05_wfc3_uvis_f275w_id7605gu,HAP fits science image,D,mast:HST/product/hst_14779_05_wfc3_uvis_f275w_id7605gu_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_05_wfc3_uvis_f275w_id7605gu_drc.fits,299180160,25858700,PUBLIC,2,F275W
26651619,HST,image,hst_14779_05_wfc3_uvis_f275w_id7605gv,HAP fits science image,D,mast:HST/product/hst_14779_05_wfc3_uvis_f275w_id7605gv_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_05_wfc3_uvis_f275w_id7605gv_drc.fits,299180160,25858700,PUBLIC,2,F275W
26651625,HST,image,hst_14779_05_wfc3_uvis_total_id7605,HAP fits science image,D,mast:HST/product/hst_14779_05_wfc3_uvis_total_id7605_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_05_wfc3_uvis_total_id7605_drc.fits,299185920,25858700,PUBLIC,3,detection
26655851,HST,image,hst_14779_06_wfc3_uvis_f275w_id7606,HAP fits science image,D,mast:HST/product/hst_14779_06_wfc3_uvis_f275w_id7606_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_06_wfc3_uvis_f275w_id7606_drc.fits,433010880,25066246,PUBLIC,3,F275W
26655811,HST,image,hst_14779_06_wfc3_uvis_f275w_id7606ba,HAP fits science image,D,mast:HST/product/hst_14779_06_wfc3_uvis_f275w_id7606ba_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_06_wfc3_uvis_f275w_id7606ba_drc.fits,433005120,25066246,PUBLIC,2,F275W
26655826,HST,image,hst_14779_06_wfc3_uvis_f275w_id7606bb,HAP fits science image,D,mast:HST/product/hst_14779_06_wfc3_uvis_f275w_id7606bb_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_06_wfc3_uvis_f275w_id7606bb_drc.fits,433005120,25066246,PUBLIC,2,F275W
