sn_name,sn_ra_deg,sn_dec_deg,sep_arcsec,obs_id,target_name,instrument_name,filters,proposal_id,proposal_pi,obs_title,t_min,t_max,t_exptime,calib_level
ASAS14lo,177.971292,18.541389,2.3000433378447447,hst_skycell-p1721x19y13_wfc3_uvis_f275w_all,ASASSN-14LO,WFC3/UVIS,F275W,,,,57809.02187303,57809.03335431,858.0,3
ASAS14lo,177.971292,18.541389,2.3000433378447447,hst_14779_03_wfc3_uvis_f275w_id7603,ASASSN-14LO,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",,57809.02187303,57809.03335431,858.0,3
ASAS14lo,177.971292,18.541389,2.3000433378447447,id7603010,ASASSN-14LO,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,57809.021873032405,57809.03335431713,858.0,3
ASAS14lq,344.330875,-20.966878,0.03920000400855722,hst_skycell-p0876x05y15_wfc3_uvis_f275w_all,ASASSN-14LQ,WFC3/UVIS,F275W,,,,57874.83398123,57874.84546251,858.0,3
ASAS14lq,344.330875,-20.966878,0.03920000400855722,hst_14779_05_wfc3_uvis_f275w_id7605,ASASSN-14LQ,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",,57874.83398123,57874.84546251,858.0,3
ASAS14lq,344.330875,-20.966878,0.03920000400855722,id7605010,ASASSN-14LQ,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,57874.83398121528,57874.8454625,858.0,3
ASAS14lw,16.704875,-46.983322,0.8592000120177955,hst_skycell-p0358x11y07_wfc3_uvis_f275w_all,ASASSN-14LW,WFC3/UVIS,F275W,,,,57780.80731179,57780.81879343,858.0,3
ASAS14lw,16.704875,-46.983322,0.8592000120177955,hst_skycell-p0358x12y07_wfc3_uvis_f275w_all,ASASSN-14LW,WFC3/UVIS,F275W,,,,57780.80731179,57780.81879343,858.0,3
ASAS14lw,16.704875,-46.983322,0.8592000120177955,hst_14779_06_wfc3_uvis_f275w_id7606,ASASSN-14LW,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",,57780.80731179,57780.81879343,858.0,3
ASAS14lw,16.704875,-46.983322,0.8592000120177955,id7606010,ASASSN-14LW,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,57780.807311805554,57780.8187934375,858.0,3
CSP12G,135.50975,10.300028,2.0700918885918504,hst_skycell-p1534x03y12_wfc3_uvis_f275w_all,CSS121114090202101800-HOST,WFC3/UVIS,F275W,,,,59669.658067,59669.68038197,1650.0,3
CSP12G,135.50975,10.300028,2.0700918885918504,hst_skycell-p1535x19y12_wfc3_uvis_f275w_all,CSS121114090202101800-HOST,WFC3/UVIS,F275W,,,,59669.658067,59669.68038197,1650.0,3
CSP12G,135.50975,10.300028,2.0700918885918504,hst_skycell-p1535x20y12_wfc3_uvis_f275w_all,CSS121114090202101800-HOST,WFC3/UVIS,F275W,,,,59669.658067,59669.68038197,1650.0,3
CSP14abn,209.017458,-43.586083,25.111370350449754,hst_skycell-p0458x03y04_wfc3_uvis_f275w_all,CSP14ABN-HOST,WFC3/UVIS,F275W,,,,60037.00980404,60037.03211864,1650.0,3
CSP14acy,10.619792,-64.764167,0.06345149278979625,hst_skycell-p0107x08y16_wfc3_uvis_f275w_all,OGLE-2014-SN-107,WFC3/UVIS,F275W,,,,57712.86498016,57712.87646143,858.0,3
CSP14acy,10.619792,-64.764167,0.06345149278979625,hst_skycell-p0107x09y16_wfc3_uvis_f275w_all,OGLE-2014-SN-107,WFC3/UVIS,F275W,,,,57712.86498016,57712.87646143,858.0,3
CSP14acy,10.619792,-64.764167,0.06345149278979625,hst_14779_19_wfc3_uvis_f275w_id7619,OGLE-2014-SN-107,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",,57712.86498016,57712.87646143,858.0,3
CSP14acy,10.619792,-64.764167,0.06345149278979625,id7619010,OGLE-2014-SN-107,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,57712.86498017361,57712.87646142361,858.0,3
