sn_name,sn_ra_deg,sn_dec_deg,best_sep_arcsec,n_obs,n_programs,proposal_ids,best_obs_id,best_program_id
PTF14gnl,5.951375,-3.85775,0.0,2,1,14779,hst_14779_52_wfc3_uvis_f275w_id7652,14779
CSP14ade,84.327667,-75.721389,0.0004975843417689,2,1,14779,hst_14779_20_wfc3_uvis_f275w_id7620,14779
SN2015F,114.065667,-69.506389,0.0005800562503405,2,1,14779,hst_14779_41_wfc3_uvis_f275w_id7641,14779
SNhunt281,226.375292,1.634,0.0011993920705889,2,1,14779,hst_14779_43_wfc3_uvis_f275w_id7643,14779
SN2014I,85.5825,-25.544417,0.0011999879860647,2,1,14779,hst_14779_44_wfc3_uvis_f275w_id7644,14779
PTF14fpg,7.05,7.162083,0.0011999988005868,2,1,14779,hst_14779_55_wfc3_uvis_f275w_id7655,14779
PTF13ebh,35.499917,33.270472,0.0012831969735958,2,1,14779,hst_14779_30_wfc3_uvis_f275w_id7630,14779
SN2013hh,172.268208,17.235972,0.0013976033646832,2,1,14779,hst_14779_34_wfc3_uvis_f275w_id7634,14779
PS15sv,243.298917,1.591972,0.0014417348888364,2,1,14779,hst_14779_25_wfc3_uvis_f275w_id7625,14779
SN2014dl,247.442042,8.641833,0.0016873661042332,2,1,14779,hst_14779_36_wfc3_uvis_f275w_id7636,14779
SN2012bl,305.980333,-48.354806,0.0017876517932456,4,1,12582,hst_12582_05_wfc3_uvis_f275w_ibxb05,12582
LSQ15aae,247.565417,5.932981,0.0316225296315968,2,1,14779,hst_14779_15_wfc3_uvis_f275w_id7615,14779
ASAS14lq,344.330875,-20.966878,0.0392000040085572,2,1,14779,hst_14779_05_wfc3_uvis_f275w_id7605,14779
CSP14acy,10.619792,-64.764167,0.0634514927897962,2,1,14779,hst_14779_19_wfc3_uvis_f275w_id7619,14779
PTF13duj,318.436583,13.575861,0.2553224910405436,2,1,15166,hst_15166_58_wfc3_uvis_f275w_idi158,15166
ASAS14lw,16.704875,-46.983322,0.8592000120177955,2,1,14779,hst_14779_06_wfc3_uvis_f275w_id7606,14779
SN2013gv,47.488792,19.213667,0.90220764232256,2,1,14779,hst_14779_48_wfc3_uvis_f275w_id7648,14779
ASAS14lo,177.971292,18.541389,2.3000433378447447,2,1,14779,hst_14779_03_wfc3_uvis_f275w_id7603,14779
SN2008ha,353.719542,18.2265,4.415557927090853,2,1,14668,hst_14668_42_wfc3_uvis_f275w_id9642,14668
PTF11qnr,341.106042,-0.167222,16.18328749024408,2,1,16287,iebj36010,16287
SN2013fz,65.9435,-51.596194,18.01241990367502,2,1,15166,hst_15166_57_wfc3_uvis_f275w_idi157,15166
SN2006mr,50.679333,-37.208139,23.167003444923782,1,1,16569,iel30npgq,16569
SN2007af,215.587625,-0.393778,40.74899649305542,2,1,16287,hst_16287_28_wfc3_uvis_f275w_iebj28,16287
SN2006X,185.724958,15.809194,45.95147789338886,4,2,15654;16657,hst_15654_27_wfc3_uvis_f275w_idxr27,15654
